"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199388379600","puck","64","53","1.21","10","0.75","0.62","6","0","1","1","319","27","{""Ж | OG Panda"":2,""Ж | Rowdy"":1,""[OP] Madcap"":1,""Ж︎ | <𝓑𝓮𝓽𝓪>樱桃酱奈子🍒"":1,""Ж | zest Ψ"":1,""Ж | DankNugz"":1,""Жan"":2,""》Sherby"":2,""Ж | I※nS"":4,""Ж | Joe※450"":4,""Ж︎ | MuddBorne"":1,""Ж | exel"":2,""D' Bearz"":1,""Draznik"":1,""Ж TREMORZ.EXE"":1,""Ж | Zoomer"":1,""Ж | Sciz"":2,""Ж WIDOW"":1,""Ж︎ | nes"":2,""gibbs"":1,""Ж | Rath"":1,""нѕ | DJ"":2,""chosen"":4,""Mongo"":3,""• The China Guy"":1,""Ж︎ | J-walk-"":1,""Ж︎ | =KaPk="":1,""✿ Seely"":7,""Hagrid"":1}","{""ᄿ Matty Daddy"":3,""Ж | OG Panda"":6,""Ж | Rowdy"":2,""Жan"":4,""》Sherby"":1,""Ж | I※nS"":2,""Ж | Joe※450"":5,""Ж︎ | Foxhole Norman"":1,""Ж | exel"":3,""D' Bearz"":4,""Ж TREMORZ.EXE"":5,""Ж | KLOK"":1,""✿ Peace"":2,""Ж WIDOW"":2,""Ж︎ | nes"":2,""Ж | Rath"":1,""chosen"":4,""Mongo"":3,""Ж︎ | Poptart"":1,""• The China Guy"":1,""Ж︎ | J-walk-"":1,""Ж︎ | =KaPk="":2,""Ж Will b"":3,""✿ Seely"":4,""Hagrid"":1}","559","2985","240","920","{""MG42"":7,""MP40"":2,""STG44"":16,""GEWEHR 43"":39}","{""IS-1"":1,""DP-27"":3,""SVT40"":35,""PPSH 41"":8,""SCOPED SVT40"":1,""PPSH 41 W/DRUM"":2,""MOSIN NAGANT M38"":1,""122MM HOWITZER [M1938 (M-30)]"":2}"
"76561199066043295","'-TL- ☂Bu𝓣𝓣eryBi𝓣s☂","1","9","0.11","1","0.01","0.11","5","0","0","0","2130","71","{""gibbs"":1,""Hagrid"":1,""Ж | Sciz"":1,""✿ Peace"":1,""Ж | GasMask"":1,""Ж | zest Ψ"":2,""Ж | y U h ※"":1,""Ж︎ | <𝓑𝓮𝓽𝓪>樱桃酱奈子🍒"":1}","{""Ж︎ | Poptart"":1}","117","155","1160","100","{""GEWEHR 43"":1}","{""SVT40"":2,""BAZOOKA"":2,""PPSH 41"":2,""SATCHEL CHARGE"":1,""D-5T 85MM [IS-1]"":1,""MOSIN NAGANT 91/30"":1}"
"76561198264196248","GBI • Centigram ⊙","69","61","1.13","11","0.81","0.71","6","1","1","1","498","16","{""Ж | bones"":2,""Ж︎ | <𝓑𝓮𝓽𝓪>樱桃酱奈子🍒"":2,""Ж | zest Ψ"":2,""Ж | y U h ※"":1,""》Sherby"":2,""WIЖ"":2,""Ж | I※nS"":1,""Ж | Joe※450"":1,""Ж | exel"":1,""D' Bearz"":2,""Draznik"":5,""Ж TREMORZ.EXE"":1,""✿ Peace"":2,""Ж | Sciz"":1,""Ж︎ | nes"":5,""gibbs"":3,""Ж | Rath"":2,""нѕ | DJ"":2,""chosen"":1,""Mongo"":5,""Ж︎ | Poptart"":1,""• The China Guy"":3,""Ж︎ | J-walk-"":2,""Ж | GasMask"":3,""Ж︎ | =KaPk="":1,""Ж Will b"":1,""✿ Seely"":6,""Hagrid"":1}","{""ᄿ Matty Daddy"":6,""Ж | OG Panda"":1,""Ж | Rowdy"":1,""[OP] Madcap"":1,""Ж | Propaganda"":1,""Ж | bones"":2,""Ж︎ | <𝓑𝓮𝓽𝓪>樱桃酱奈子🍒"":4,""Ж | zest Ψ"":1,""Ж | Sh(-)gun!"":2,""Ж | Trots"":1,""Ж | y U h ※"":1,""》Sherby"":3,""WIЖ"":1,""Ж | I※nS"":3,""Ж | Joe※450"":1,""Ж | exel"":3,""Draznik"":1,""Ж TREMORZ.EXE"":2,""Ж | KLOK"":1,""✿ Peace"":1,""Ж | Sciz"":3,""Ж WIDOW"":2,""Ж︎ | nes"":1,""gibbs"":6,""chosen"":2,""Mongo"":2,""Ж︎ | Poptart"":3,""• The China Guy"":6,""Ж︎ | =KaPk="":2,""✿ Seely"":4,""Hagrid"":1}","677","0","480","680","{""MG42"":42,""STG44"":20,""SATCHEL"":3,""UNKNOWN"":1,""KARABINER 98K"":3}","{""DP-27"":10,""SVT40"":30,""PPSH 41"":12,""HULL DT [IS-1]"":2,""PPSH 41 W/DRUM"":3,""D-5T 85MM [IS-1]"":1,""MOSIN NAGANT M38"":1,""122MM HOWITZER [M1938 (M-30)]"":2}"
"76561198052251885","Ж | Joe※450","53","46","1.15","7","0.62","0.54","6","3","0","0","290","20","{""Farquaad's hairline"":4,""GBI • Centigram ⊙"":1,""Hellbro"":2,""=LordFarquaad="":1,""(WTH) Guinness"":6,""-TL- bic"":1,""(WTH) zZaro"":4,""(WTH) Desper"":1,""(WTH) Sheds"":6,""-TL- zemo"":2,""Wix"":2,""Lazei"":3,""-TL- JVCK"":1,""puck"":5,""вит | Pyrochemist"":1,""-TL- hippie"":2,""Reduktorius"":1,""-TL- Monster_Corndog"":1,""-TL- tacotastic"":1,""DooperDupinskie"":1}","{""Farquaad's hairline"":3,""GBI • Centigram ⊙"":1,""Hellbro"":6,""-TL- Slug"":2,""(WTH) Guinness"":4,""-TL- bic"":2,""(WTH) zZaro"":4,""(WTH) Sheds"":1,""-TL- zemo"":2,""Lazei"":5,""puck"":4,""dabs"":1,""(WTH) Cattle"":2,""MSAP"":2,""-TL- hippie"":3,""-TL- Zunshin"":3,""Reduktorius"":1,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":1,""(WTH) Critical"":2,""-TL- rik"":1,""-TL- wendler"":1,""DooperDupinskie"":1}","516","170","1200","140","{""SVT40"":20,""BAZOOKA"":12,""PPSH 41"":21}","{""KARABINER 98K x8"":1,""STG44"":7,""GEWEHR 43"":19,""M43 STIELHANDGRANATE"":1,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":1,""MG42"":3,""KARABINER 98K"":3,""FG42 x4"":6,""MP40"":5}"
"76561198143473980","Ж TREMORZ.EXE","13","52","0.25","2","0.16","0.62","14","1","0","0","597","21","{""Palustris"":1,""Farquaad's hairline"":2,""GBI • Centigram ⊙"":2,""(WTH) Guinness"":1,""-TL- bic"":2,""(WTH) zZaro"":1,""(WTH) Desper"":2,""(WTH) Sheds"":4,""-TL- zemo"":1,""Lazei"":3,""-TL- Mage"":9,""-TL- JVCK"":2,""puck"":5,""(WTH) ya boy"":2,""вит | Pyrochemist"":2,""(WTH) Cattle"":1,""-TL- hippie"":3,""-TL- Zunshin"":1,""Smurf | 我種藍莓"":1,""-TL- tacotastic"":1,""Galtia"":3,""-TL- Emmanation"":1,""-TL- Potato"":2}","{""GBI • Centigram ⊙"":1,""-TL- Squidbill"":1,""-TL- bic"":1,""(WTH) Desper"":1,""puck"":1,""(WTH) ya boy"":1,""вит | Pyrochemist"":1,""-TL- hippie"":1,""-TL- Monster_Corndog"":1,""-TL- tacotastic"":1,""Galtia"":2,""Agar312"":1}","96","300","660","220","{""SVT40"":7,""PPSH 41"":1,""MOSIN NAGANT M38"":4,""MOSIN NAGANT 1891"":1}","{""STG44"":6,""GEWEHR 43"":12,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""150MM HOWITZER [sFH 18]"":9,""M43 STIELHANDGRANATE"":1,""SATCHEL"":1,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":1,""MG42"":9,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":3,""FG42 x4"":4,""MP40"":3}"
"76561197960409371","Ж | GasMask","45","58","0.78","5","0.53","0.68","6","1","1","1","346","24","{""Palustris"":1,""Farquaad's hairline"":3,""-TL-GIRLCOCKSUPREME"":1,""-TL- 3fm"":1,""=LordFarquaad="":4,""♻ | Atrocity"":2,""(WTH) Guinness"":1,""(WTH) Desper"":4,""(WTH) Sheds"":2,""-TL- zemo"":3,""Wix"":2,""Lazei"":1,""-TL- Mage"":6,""-TL- Shane"":5,""(WTH) ya boy"":4,""*1nd MAJ KONIG*"":1,""вит | Pyrochemist"":1,""-TL- hippie"":1,""-TL- Zunshin"":2,""Reduktorius"":2,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":1,""-TL- tacotastic"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""DooperDupinskie"":1,""-TL- Potato"":4}","{""Palustris"":4,""TL NinxDrag"":1,""GBI • Centigram ⊙"":3,""-TL-GIRLCOCKSUPREME"":3,""Hellbro"":1,""=LordFarquaad="":4,""(WTH) Desper"":1,""-TL- zemo"":1,""Lazei"":1,""Spamdini"":1,""-TL- Shane"":1,""dabs"":1,""*1nd MAJ KONIG*"":1,""вит | Pyrochemist"":1,""(WTH) Cattle"":1,""-TL- hippie"":2,""-TL- ☂Bu𝓣𝓣eryBi𝓣s☂"":1,""Reduktorius"":1,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":1,""-TL- tacotastic"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""-TL- rik"":1,""Agar312"":2,""-TL- Potato"":5}","325","656","820","360","{""SVT40"":44,""RG-42 GRENADE"":1}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""KARABINER 98K x8"":1,""STG44"":3,""GEWEHR 43"":24,""BOMBING RUN"":1,""150MM HOWITZER [sFH 18]"":6,""COAXIAL MG34 [Sd.Kfz.234 Puma]"":1,""SATCHEL"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""MG42"":10,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":4,""FG42 x4"":3,""MP40"":1}"
"76561198057763100","'-TL- tacotastic","39","82","0.48","3","0.46","0.96","8","0","3","2","292","16","{""ᄿ Matty Daddy"":4,""Ж | OG Panda"":1,""[OP] Madcap"":1,""Ж | bones"":4,""Ж | DankNugz"":3,""Ж | y U h ※"":1,""》Sherby"":6,""Ж | I※nS"":1,""Ж | ※ Tits . McGee"":1,""Ж | exel"":10,""D' Bearz"":1,""Draznik"":1,""Ж TREMORZ.EXE"":1,""Ж | KLOK"":2,""✿ Peace"":3,""Ж︎ | nes"":1,""gibbs"":4,""Ж | Rath"":3,""нѕ | DJ"":12,""Mongo"":1,""Ж︎ | Poptart"":3,""• The China Guy"":4,""Ж︎ | J-walk-"":1,""Ж | Whiskey"":2,""Ж | GasMask"":3,""Ж︎ | =KaPk="":3,""✿ Seely"":4,""Hagrid"":1}","{""ᄿ Matty Daddy"":6,""Ж | bones"":1,""》Sherby"":3,""Ж | Joe※450"":1,""Ж | exel"":2,""D' Bearz"":2,""Ж TREMORZ.EXE"":1,""✿ Peace"":2,""gibbs"":5,""• The China Guy"":6,""Ж︎ | J-walk-"":1,""Ж | Whiskey"":2,""Ж | GasMask"":1,""Ж︎ | =KaPk="":4,""✿ Seely"":2}","336","3039","320","680","{""MG34"":1,""MG42"":2,""MP40"":1,""STG44"":25,""LUGER P08"":2,""KARABINER 98K"":6,""PANZERSCHRECK"":1,""M43 STIELHANDGRANATE"":1}","{""SCOPED MOSIN NAGANT 91/30"":3,""RG-42 GRENADE"":1,""45MM M1937 [T70]"":2,""DP-27"":2,""PPSH 41"":13,""Sd.Kfz.121 Luchs"":1,""SVT40"":44,""MOSIN NAGANT M38"":1,""MOSIN NAGANT 91/30"":3,""122MM HOWITZER [M1938 (M-30)]"":12}"
"76561198057851039","Ж | ※ KnightS※Untied","0","7","0","0","0","0.08","7","0","0","0","3157","39","{""Reduktorius"":1,""-TL- Zunshin"":1,""(WTH) Guinness"":2,""-TL- Monster_Corndog"":2,""вит | Pyrochemist"":1}","{}","449","170","1660","0","{}","{""MG42"":3,""SATCHEL"":1,""GEWEHR 43"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198043221756","D' Bearz","41","52","0.79","8","0.48","0.61","8","0","2","1","307","23","{""Palustris"":1,""Farquaad's hairline"":6,""Hellbro"":1,""=LordFarquaad="":1,""(WTH) Guinness"":3,""-TL- bic"":2,""(WTH) zZaro"":1,""(WTH) Desper"":6,""(WTH) Sheds"":2,""Wix"":1,""Lazei"":5,""-TL- Mage"":3,""puck"":4,""(WTH) ya boy"":2,""-TL- hippie"":5,""-TL- Monster_Corndog"":3,""-TL- tacotastic"":2,""Galtia"":3,""-TL- Emmanation"":1}","{""Palustris"":2,""Farquaad's hairline"":6,""GBI • Centigram ⊙"":2,""Hellbro"":2,""=LordFarquaad="":1,""(WTH) Guinness"":1,""-TL- bic"":5,""(WTH) zZaro"":1,""-TL- zemo"":2,""Wix"":2,""Lazei"":6,""puck"":1,""dabs"":2,""вит | Pyrochemist"":1,""(WTH) Cattle"":1,""-TL- hippie"":2,""-TL- Monster_Corndog"":1,""-TL- tacotastic"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""Agar312"":1}","295","795","1320","0","{""SVT40"":38,""RG-42 GRENADE"":2,""PPSH 41 W/DRUM"":1}","{""STG44"":5,""GEWEHR 43"":21,""S-MINE"":1,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""150MM HOWITZER [sFH 18]"":3,""M43 STIELHANDGRANATE"":1,""SATCHEL"":1,""MG42"":8,""KARABINER 98K"":3,""FG42 x4"":3,""MP40"":5}"
"76561198095401571","MSAP","7","12","0.58","5","0.08","0.14","7","1","1","1","843","61","{""Ж | Propaganda"":1,""Ж | bones"":1,""Ж | zest Ψ"":3,""Ж | Sh(-)gun!"":1,""Ж | Joe※450"":2,""✿ Peace"":1,""gibbs"":1,""HeyBalii_EH"":1,""Ж | Davako"":1}","{""Жan"":1,""Ж | Davako"":3,""Ж | DankNugz"":2,""Ж | Sh(-)gun!"":1}","480","125","1360","200","{""GEWEHR 43"":7}","{""SVT40"":1,""BAZOOKA"":3,""PPSH 41"":1,""PPSH 41 W/DRUM"":1,""SATCHEL CHARGE"":2,""D-5T 85MM [IS-1]"":2,""MOSIN NAGANT 1891"":1,""MOSIN NAGANT 91/30"":1}"
