"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199106632515","Sanzu ツ","129","67","1.93","9","1.56","0.81","4","2","1","1","349","25","{""вит | Gangin"":1,""Palustris"":4,""ﾒ ..... Did I Ask"":1,""ﾒ Bama"":3,""メ R☯︎nin"":2,""=Ikea="":2,""MS | Armin"":1,""P Diddy 유"":3,""DeathVice"":3,""℧ | Blackshooter"":4,""Data"":2,""HANGLOW SAXON"":2,""cidi"":1,""ﾒ Daddy"":3,""メKX99"":2,""ﾒ prank"":1,""σ Never"":4,""ﾒ waterjug"":1,""ﾒ Twad"":1,""σ Q"":1,""-TL- hippie"":4,""メ Richie B."":2,""MS | Brother9"":4,""🅶 I|I tscho²"":1,""Ж | GasMask"":1,""Smurf | 我種藍莓"":1,""ﾒ Viking"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MS | GAS"":3,""🅶 I|I f1ce"":3,""That Dog Won’t Hunt"":2}","{""ﾒ Keanu"":1,""ﾒ smiLk"":1,""вит | Gangin"":5,""Palustris"":5,""ﾒ ..... Did I Ask"":3,""ﾒ Bama"":6,""ﾒ Athens"":2,""MS | Armin"":5,""P Diddy 유"":5,""• PRBr • TeTris"":1,""DeathVice"":2,""℧ | Blackshooter"":4,""Data"":4,""HANGLOW SAXON"":1,""cidi"":1,""Xio-Luㄶ㊪"":1,""//sh4d0w"":1,""ﾒ Daddy"":5,""メKX99"":4,""- TL - Alex Von Doom"":3,""ﾒ prank"":4,""ﾒData_Transfer"":3,""σ Never"":4,""ﾒ waterjug"":10,""ﾒ Twad"":4,""-TL-BigLion"":2,""σ Q"":4,""-TL- hippie"":2,""メ Richie B."":1,""ﾒ Dimo the Mad"":1,""MS | Brother9"":2,""Ж | GasMask"":2,""Smurf | 我種藍莓"":3,""ﾒ Viking"":4,""Trump's Right Ear"":3,""ﾒ Bob!"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""MS | GAS"":6,""Original K"":5,""ﾒ robRRT"":2,""🅶 I|I f1ce"":3,""That Dog Won’t Hunt"":1}","1117","475","280","780","{""STG44"":36,""SATCHEL"":1,""GEWEHR 43"":65,""KARABINER 98K"":22,""PANZERSCHRECK"":1,""75MM CANNON [PAK 40]"":3,""M43 STIELHANDGRANATE"":1}","{""OQF 75MM [Churchill Mk.VII]"":1,""Rifle No.4 Mk I Sniper"":6,""Rifle No.4 Mk I"":10,""M1928A1 THOMPSON"":2,""Mills Bomb"":1,""OQF 75MM [Cromwell]"":1,""HULL BESA 7.92mm [Churchill Mk.VII]"":2,""QF 6-POUNDER [QF 6-Pounder]"":1,""SMLE No.1 Mk III"":25,""Bren Gun"":8,""Sten Gun Mk.V"":10}"
"76561197960830580",".spxnk","119","48","2.48","9","1.43","0.58","4","0","1","1","343","26","{""Palustris"":4,""ﾒ Bama"":1,""=Ikea="":1,""MS | Armin"":1,""P Diddy 유"":1,""• PRBr • TeTris"":3,""DeathVice"":2,""℧ | Blackshooter"":2,""Data"":4,""HANGLOW SAXON"":2,""Xio-Luㄶ㊪"":1,""σ Twisted Cards"":2,""ﾒ Daddy"":1,""メKX99"":1,""ﾒ prank"":5,""ﾒData_Transfer"":1,""σ Never"":1,""ﾒ waterjug"":1,""-TL- hippie"":1,""MS | Brother9"":2,""🅶 I|I tscho²"":1,""Smurf | 我種藍莓"":1,""Trump's Right Ear"":2,""MS | GAS"":1,""Original K"":1,""ﾒ robRRT"":1,""🅶 I|I f1ce"":3,""That Dog Won’t Hunt"":1}","{""ﾒ smiLk"":4,""вит | Gangin"":5,""Palustris"":13,""ﾒ ..... Did I Ask"":1,""ﾒ Bama"":2,""メ R☯︎nin"":1,""MS | Armin"":3,""P Diddy 유"":6,""• PRBr • TeTris"":7,""DeathVice"":2,""℧ | Blackshooter"":6,""Data"":5,""Xio-Luㄶ㊪"":4,""//sh4d0w"":1,""ﾒ Daddy"":4,""メKX99"":1,""- TL - Alex Von Doom"":3,""ﾒ prank"":2,""ﾒData_Transfer"":1,""-TL- Tigers0204"":1,""ﾒ waterjug"":4,""-TL-BigLion"":4,""σ Q"":2,""-TL- Use The PIAT!"":4,""-TL- hippie"":6,""メ Richie B."":1,""ﾒ Dimo the Mad"":2,""MS | Brother9"":4,""Ж | GasMask"":1,""Smurf | 我種藍莓"":3,""ﾒ Bob!"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""MS | GAS"":1,""Original K"":6,""ﾒ robRRT"":1,""🅶 I|I f1ce"":2,""That Dog Won’t Hunt"":2}","1009","125","660","560","{""MP40"":3,""STG44"":109,""SATCHEL"":2,""GEWEHR 43"":3,""M43 STIELHANDGRANATE"":2}","{""Webley MK VI"":1,""Churchill Mk.VII"":1,""OQF 75MM [Churchill Mk.VII]"":1,""Rifle No.4 Mk I Sniper"":4,""Rifle No.4 Mk I"":2,""Lewis Gun"":1,""M1928A1 THOMPSON"":4,""Mills Bomb"":2,""PIAT"":1,""COAXIAL BESA 7.92mm [Churchill Mk.VII]"":2,""QF 6-POUNDER [QF 6-Pounder]"":1,""SMLE No.1 Mk III"":15,""STRAFING RUN"":2,""Bren Gun"":5,""Sten Gun Mk.V"":6}"
"76561198079470277","MS | GAS","95","44","2.16","9","1.15","0.53","4","0","1","1","327","25","{""(WTH) Dorbian"":5,""-TL- Trance"":2,""=exel="":1,""MS | C o C o"":1,""아빠 쿠키"":2,""Ж | WAFL Zombie"":1,"".spxnk"":1,""-TL- JVCK"":1,""メChox"":1,""Ж | Rath"":3,""🅶 I|I bollerwagen."":3,""WЖIDЖOЖW"":2,""-TL- Monster_Corndog"":2,""Galtia"":2,""who me"":1,""-TL- Emmanation"":2,""🅶 I|I P0STAL"":3,""メ SnarkySnacks"":3,""Sanzu ツ"":6,""ﾒ unixdev"":2}","{""AB"":2,""(WTH) Dorbian"":7,""Bleicher Junge"":1,""メ Stormin' Mormon"":1,""-TL- bic"":4,""Evil Santa 28"":1,""-TL- Trance"":1,""MS | The 4 Time"":4,""=exel="":3,""MS | C o C o"":7,""-TL-Mik"":2,""아빠 쿠키"":7,""Ж | WAFL Zombie"":6,"".spxnk"":1,""ﾒ Bull➇t"":3,""メChox"":2,""=KaPk="":3,""Ж | Rath"":5,""🅶 I|I bollerwagen."":4,""Ж | Bert"":6,""WЖIDЖOЖW"":6,""Ж | Wix"":1,""Galtia"":3,""who me"":8,""🅶 I|I P0STAL"":2,""メ SnarkySnacks"":1,""Sanzu ツ"":3,""ﾒ unixdev"":1}","690","0","980","340","{""Rifle No.4 Mk I Sniper"":95}","{""MG42"":1,""STG44"":7,""FG42 x4"":3,""GEWEHR 43"":22,""KARABINER 98K"":8,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":1}"
"76561198312758285","아빠 쿠키","93","58","1.6","11","1.12","0.7","3","0","1","1","464","24","{""ﾒ Keanu"":1,""ﾒ smiLk"":1,""ﾒ ..... Did I Ask"":3,""ﾒ Bama"":1,""メ R☯︎nin"":1,""=Ikea="":1,""MS | Armin"":1,""P Diddy 유"":6,""• PRBr • TeTris"":3,""DeathVice"":2,""℧ | Blackshooter"":2,""Data"":1,""HANGLOW SAXON"":1,""//sh4d0w"":6,""ﾒ prank"":3,""σ Never"":2,""ﾒ waterjug"":1,""ﾒ Twad"":2,""σ Q"":3,""MS | Brother9"":5,""ﾒ Viking"":2,""MS | GAS"":7,""Original K"":1,""🅶 I|I f1ce"":2}","{""ﾒ Keanu"":1,""ﾒ smiLk"":8,""Palustris"":1,""ﾒ ..... Did I Ask"":5,""ﾒ Bama"":1,""メ R☯︎nin"":9,""MS | Armin"":3,""P Diddy 유"":4,""DeathVice"":2,""℧ | Blackshooter"":1,""Data"":2,""Xio-Luㄶ㊪"":1,""//sh4d0w"":11,""ﾒ Daddy"":4,""ﾒ prank"":3,""ﾒData_Transfer"":4,""σ Never"":1,""ﾒ waterjug"":7,""ﾒ Twad"":2,""-TL-BigLion"":1,""σ Q"":5,""-TL- hippie"":1,""メ Richie B."":2,""ﾒ Dimo the Mad"":1,""ﾒ Viking"":3,""MS | GAS"":2,""Original K"":5,""ﾒ robRRT"":3}","765","75","780","460","{""STG44"":7,""GEWEHR 43"":86}","{""HULL BESA [Cromwell]"":1,""Rifle No.4 Mk I Sniper"":9,""Rifle No.4 Mk I"":8,""M1928A1 THOMPSON"":4,""Mills Bomb"":2,""OQF 75MM [Cromwell]"":1,""SMLE No.1 Mk III"":19,""Bren Gun"":6,""Sten Gun Mk.V"":8}"
"76561198290878846","(WTH) Dorbian","89","49","1.82","16","1.07","0.59","9","0","0","0","303","16","{""вит | Gangin"":1,""メ R☯︎nin"":2,""MS | Armin"":1,""P Diddy 유"":1,""• PRBr • TeTris"":5,""DeathVice"":4,""℧ | Blackshooter"":2,""Data"":1,""ﾒ Daddy"":2,""ﾒ prank"":1,""σ Never"":1,""-TL-BigLion"":1,""-TL- Use The PIAT!"":2,""-TL- hippie"":1,""ﾒ Dimo the Mad"":1,""MS | Brother9"":1,""Ж | GasMask"":3,""Smurf | 我種藍莓"":4,""MS | GAS"":7,""ﾒ robRRT"":1,""🅶 I|I f1ce"":5,""That Dog Won’t Hunt"":2}","{""ﾒ smiLk"":1,""вит | Gangin"":6,""Palustris"":2,""ﾒ ..... Did I Ask"":1,""ﾒ Bama"":1,""メ R☯︎nin"":1,""MS | Armin"":3,""P Diddy 유"":2,""• PRBr • TeTris"":1,""DeathVice"":3,""℧ | Blackshooter"":6,""Data"":5,""ﾒ Daddy"":3,""- TL - Alex Von Doom"":4,""ﾒ prank"":1,""σ Never"":1,""ﾒ waterjug"":1,""σ Q"":2,""-TL- Use The PIAT!"":4,""-TL- hippie"":2,""メ Richie B."":1,""ﾒ Dimo the Mad"":3,""MS | Brother9"":4,""🅶 I|I tscho²"":3,""Ж | GasMask"":4,""Smurf | 我種藍莓"":6,""Trump's Right Ear"":2,""ﾒ Bob!"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MS | GAS"":5,""Original K"":4,""ﾒ robRRT"":1,""🅶 I|I f1ce"":2,""That Dog Won’t Hunt"":2}","734","958","880","400","{""UNKNOWN"":1,""GEWEHR 43"":84,""KARABINER 98K"":2,""M43 STIELHANDGRANATE"":2}","{""Rifle No.4 Mk I Sniper"":12,""Rifle No.4 Mk I"":3,""Lewis Gun"":1,""M1928A1 THOMPSON"":2,""PIAT"":1,""OQF 75MM [Cromwell]"":1,""SMLE No.1 Mk III"":16,""Bren Gun"":6,""Sten Gun Mk.V"":7}"
"76561198084140283","P Diddy 유","89","78","1.14","14","1.05","0.92","7","0","1","1","391","16","{""AB"":4,""(WTH) Dorbian"":2,""Bleicher Junge"":1,""メ Stormin' Mormon"":2,""-TL- bic"":1,""Evil Santa 28"":1,""MS | The 4 Time"":1,""=exel="":5,""(WTH) RisingValhalla"":1,""아빠 쿠키"":4,""Ж | WAFL Zombie"":1,"".spxnk"":6,""メ Nexity"":2,""ﾒ Bull➇t"":3,""メChox"":2,""=KaPk="":4,""-TL- Koleto"":1,""Ж | Rath"":2,""🅶 I|I bollerwagen."":4,""Ж | Bert"":2,""WЖIDЖOЖW"":4,""Ж | Xan"":2,""-TL- Monster_Corndog"":3,""Ж | Wix"":1,""who me"":1,""=LordBarst="":1,""🅶 I|I P0STAL"":7,""メ SnarkySnacks"":3,""Sanzu ツ"":5,""ﾒ unixdev"":2}","{""AB"":5,""(WTH) Dorbian"":1,""Bleicher Junge"":3,""メ Stormin' Mormon"":2,""-TL- bic"":3,""MS | The 4 Time"":2,""=exel="":8,""MS | C o C o"":1,""-TL-Mik"":1,""아빠 쿠키"":6,""Ж | WAFL Zombie"":4,"".spxnk"":1,""メ Nexity"":1,""ﾒ Bull➇t"":1,""メChox"":1,""=KaPk="":6,""Ж | Rath"":1,""🅶 I|I bollerwagen."":7,""Ж | Bert"":6,""WЖIDЖOЖW"":3,""ﾒ PiPi'sWaterPark"":1,""-TL- Monster_Corndog"":4,""Foxhole Norman"":1,""Galtia"":1,""who me"":1,""=LordBarst="":1,""🅶 I|I P0STAL"":6,""-TL- rwendler613"":1,""メ SnarkySnacks"":3,""ﾒNova"":2,""Sanzu ツ"":3,""ﾒ unixdev"":2}","629","150","520","540","{""Bren Gun"":12,""Mills Bomb"":1,""M1928A1 THOMPSON"":7,""SMLE No.1 Mk III"":69}","{""STG44"":9,""GEWEHR 43"":35,""BOMBING RUN"":2,""Sd.Kfz.181 Tiger 1"":1,""M43 STIELHANDGRANATE"":5,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":1,""KARABINER 98K"":14,""FG42 x4"":9,""MP40"":1}"
"76561198847854875","WЖIDЖOЖW","89","65","1.37","7","1.07","0.78","4","0","1","1","292","19","{""ﾒ smiLk"":1,""вит | Gangin"":3,""ﾒ ..... Did I Ask"":4,""メ R☯︎nin"":6,""ﾒ Athens"":1,""MS | Armin"":1,""P Diddy 유"":3,""• PRBr • TeTris"":2,""Data"":1,""HANGLOW SAXON"":2,""//sh4d0w"":5,""ﾒ Daddy"":1,""- TL - Alex Von Doom"":1,""ﾒ prank"":3,""ﾒData_Transfer"":4,""σ Never"":1,""ﾒ waterjug"":1,""σ Q"":4,""メ Richie B."":3,""MS | Brother9"":2,""ﾒ Viking"":3,""MS | GAS"":6,""Original K"":5,""ﾒ robRRT"":2}","{""ﾒ smiLk"":4,""вит | Gangin"":2,""Palustris"":3,""ﾒ ..... Did I Ask"":10,""ﾒ Bama"":1,""メ R☯︎nin"":5,""MS | Armin"":3,""P Diddy 유"":4,""℧ | Blackshooter"":3,""Xio-Luㄶ㊪"":2,""//sh4d0w"":10,""ﾒ Daddy"":3,""ﾒ prank"":7,""ﾒData_Transfer"":1,""σ Never"":4,""-TL- Tigers0204"":1,""ﾒ waterjug"":6,""-TL- Use The PIAT!"":1,""MS | Brother9"":4,""ﾒ Viking"":5,""MS | GAS"":2,""Original K"":5,""ﾒ robRRT"":3}","698","1377","780","440","{""MP40"":1,""GEWEHR 43"":88}","{""Rifle No.4 Mk I Sniper"":6,""Rifle No.4 Mk I"":5,""M1928A1 THOMPSON"":7,""QF 2-POUNDER [Tetrarch]"":1,""PIAT"":3,""OQF 75MM [Cromwell]"":1,""QF 2-POUNDER [Daimler]"":1,""QF 6-POUNDER [QF 6-Pounder]"":1,""SMLE No.1 Mk III"":26,""Bren Gun"":4,""Sten Gun Mk.V"":10}"
"76561198271678203","メChox","88","52","1.69","9","1.06","0.63","6","1","1","1","687","22","{""вит | Gangin"":1,""Palustris"":1,""ﾒ Bama"":1,""=Ikea="":1,""MS | Armin"":2,""P Diddy 유"":1,""• PRBr • TeTris"":1,""DeathVice"":5,""℧ | Blackshooter"":2,""Data"":4,""//sh4d0w"":1,""ﾒ Daddy"":4,""ﾒ prank"":1,""ﾒData_Transfer"":2,""σ Never"":2,""-TL-BigLion"":3,""σ Q"":2,""-TL- hippie"":3,""メ Richie B."":1,""ﾒ Dimo the Mad"":2,""MS | Brother9"":1,""🅶 I|I tscho²"":1,""Ж | GasMask"":2,""MS | GAS"":2,""Original K"":1,""ﾒ robRRT"":4,""🅶 I|I f1ce"":1}","{""ﾒ Keanu"":1,""ﾒ smiLk"":4,""вит | Gangin"":5,""Palustris"":1,""ﾒ Bama"":1,""メ R☯︎nin"":1,""MS | Armin"":2,""P Diddy 유"":2,""• PRBr • TeTris"":3,""DeathVice"":7,""℧ | Blackshooter"":3,""Data"":3,""Xio-Luㄶ㊪"":1,""//sh4d0w"":2,""ﾒ Daddy"":4,""メKX99"":1,""- TL - Alex Von Doom"":2,""ﾒ prank"":1,""ﾒData_Transfer"":3,""σ Never"":4,""ﾒ waterjug"":5,""σ Q"":5,""-TL- Use The PIAT!"":3,""-TL- hippie"":2,""メ Richie B."":7,""ﾒ Dimo the Mad"":2,""MS | Brother9"":2,""Ж | GasMask"":2,""Smurf | 我種藍莓"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MS | GAS"":1,""Original K"":1,""ﾒ robRRT"":2,""🅶 I|I f1ce"":1,""That Dog Won’t Hunt"":1}","719","169","940","300","{""MG42"":34,""STG44"":11,""SATCHEL"":2,""GEWEHR 43"":41}","{""OQF 75MM [Churchill Mk.VII]"":1,""Rifle No.4 Mk I Sniper"":3,""Rifle No.4 Mk I"":6,""M1928A1 THOMPSON"":5,""QF 2-POUNDER [Tetrarch]"":1,""HULL BESA 7.92mm [Churchill Mk.VII]"":1,""SMLE No.1 Mk III"":17,""Bren Gun"":6,""Sten Gun Mk.V"":12}"
"76561198317583009","Ж | Rath","82","42","1.95","12","0.99","0.51","4","0","1","1","460","21","{""ﾒ smiLk"":2,""вит | Gangin"":1,""ﾒ Bama"":1,""MS | Armin"":3,""P Diddy 유"":1,""Data"":1,""HANGLOW SAXON"":2,""cidi"":2,""//sh4d0w"":1,""σ Twisted Cards"":2,""ﾒ Daddy"":1,""メKX99"":1,""ﾒ prank"":1,""ﾒ waterjug"":2,""-TL-BigLion"":1,""MS | Brother9"":1,""Ж | GasMask"":2,""Smurf | 我種藍莓"":3,""ﾒ Viking"":2,""Trump's Right Ear"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MS | GAS"":5,""Original K"":2,""ﾒ robRRT"":3}","{""ﾒ smiLk"":1,""вит | Gangin"":1,""Palustris"":3,""ﾒ ..... Did I Ask"":2,""ﾒ Bama"":1,""=Ikea="":2,""ﾒ Athens"":1,""MS | Armin"":9,""P Diddy 유"":2,""• PRBr • TeTris"":1,""DeathVice"":2,""Data"":2,""=Hodgy="":4,""Xio-Luㄶ㊪"":1,""σ Twisted Cards"":3,""ﾒ Daddy"":1,""メKX99"":1,""- TL - Alex Von Doom"":1,""ﾒ prank"":2,""ﾒData_Transfer"":2,""σ Never"":4,""ﾒ waterjug"":1,""ﾒ Twad"":1,""σ Q"":5,""-TL- hippie"":1,""メ Richie B."":2,""ﾒ Dimo the Mad"":4,""MS | Brother9"":2,""🅶 I|I tscho²"":1,""Ж | GasMask"":5,""Smurf | 我種藍莓"":1,""Trump's Right Ear"":1,""ﾒ Bob!"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""MS | GAS"":3,""Original K"":1,""ﾒ robRRT"":3,""🅶 I|I f1ce"":2,""That Dog Won’t Hunt"":1}","1021","330","320","900","{""STG44"":26,""GEWEHR 43"":17,""KARABINER 98K"":25,""PANZERSCHRECK"":11,""M43 STIELHANDGRANATE"":3}","{""OQF 75MM [Churchill Mk.VII]"":3,""Rifle No.4 Mk I Sniper"":5,""Rifle No.4 Mk I"":2,""Lewis Gun"":1,""M1928A1 THOMPSON"":2,""QF 2-POUNDER [Tetrarch]"":1,""Mills Bomb"":1,""SMLE No.1 Mk III"":15,""Bren Gun"":5,""Sten Gun Mk.II"":1,""Sten Gun Mk.V"":6}"
"76561198299379657","• PRBr • TeTris","80","73","1.1","7","0.96","0.88","4","0","0","0","224","19","{""AB"":3,""(WTH) Dorbian"":1,""Bleicher Junge"":2,""MS | The 4 Time"":1,""=exel="":1,""MS | C o C o"":3,""(WTH) RisingValhalla"":1,""-TL-Mik"":1,"".spxnk"":7,""-TL- JVCK"":4,""Ж | yourmomsmother"":4,""メ Nexity"":2,""ﾒ Bull➇t"":3,""メChox"":3,""=KaPk="":6,""Ж | Rath"":1,""🅶 I|I bollerwagen."":1,""Ж | Bert"":2,""Ж | Xan"":2,""-TL- Monster_Corndog"":1,""Foxhole Norman"":1,""Galtia"":2,""who me"":1,""=LordBarst="":1,""🅶 I|I P0STAL"":1,""メ SnarkySnacks"":5,""ﾒNova"":6,""Sanzu ツ"":1,""ﾒ unixdev"":6}","{""AB"":7,""(WTH) Dorbian"":5,""Bleicher Junge"":2,""-TL- bic"":3,""Evil Santa 28"":1,""-TL- Trance"":1,""MS | The 4 Time"":2,""=exel="":4,""MS | C o C o"":1,""아빠 쿠키"":3,""Ж | WAFL Zombie"":2,""-TL- Bisper"":1,"".spxnk"":3,""Ж | yourmomsmother"":1,""ﾒ Bull➇t"":2,""メChox"":1,""=KaPk="":5,""🅶 I|I bollerwagen."":1,""Ж | Bert"":1,""WЖIDЖOЖW"":2,""Ж | Xan"":1,""-TL- Monster_Corndog"":3,""Ж | Wix"":1,""Foxhole Norman"":3,""Galtia"":4,""=LordBarst="":2,""-TL- Peif_Rimgarr"":2,""🅶 I|I P0STAL"":2,""-TL- rwendler613"":1,""メ SnarkySnacks"":7,""ﾒNova"":5,""ﾒ unixdev"":1}","628","0","420","580","{""Webley MK VI"":1,""Lewis Gun"":4,""M1928A1 THOMPSON"":8,""Mills Bomb"":2,""PIAT"":1,""Satchel"":1,""SMLE No.1 Mk III"":35,""Bren Gun"":12,""Sten Gun Mk.V"":16}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3,""KARABINER 98K x8"":1,""STG44"":13,""GEWEHR 43"":36,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""BOMBING RUN"":1,""SATCHEL"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":4,""KARABINER 98K"":9,""MP40"":3}"
