"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198280295436","MS | Major WakandaPerhaps","255","0","255","255","2.99","0","0","23","0","0","0","9999","{}","{""🅶 I|I Ditzel™"":4,""🅶 I|I Bo Frost"":2,""🅶 I|I Novers"":2,""🅶 I|I Fred._."":21,""🅶 I|I BoY_BuTTeR"":20,""🅶 I|I Ch0Psin"":16,""🅶 I|I MADINI"":1,""🅶 I|I ..,kla"":9,""🅶I|I itz_valle"":5,""🅶 I|I Kieran"":2,""🅶 I|I Flieder'"":20,""🅶 I|I Weidemilch"":19,""🅶 I|I RoyNelson"":3,""🅶 I|I Kleriker85"":17,""🅶 I|I Schumberto"":13,""🅶 I|I Ferdl"":20,""🅶 I|I limit"":1,""🅶 I|I Kayle"":3,""🅶 I|I TR1P"":23,""🅶 I|I killhouse99"":9,""🅶 I|I Düsentrieb"":11,""🅶 I|I n1ce"":1,""🅶 I|I Clean_Nap"":8,""🅶 I|I Marvin.449"":2,""🅶 I|I deen"":9,""🅶 I|I Alex23041988"":13,""kadaver -.-"":1}","1772","0","1780","0","{""M1A1 AT MINE"":1,""150MM HOWITZER [sFH 18]"":254}","{}"
"76561198009053204","🅶 I|I Temerei Ejaculadus","183","0","183","183","2.14","0","0","11","0","0","0","9999","{}","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":4,""Bleicher Junge"":10,""🅼🅴🅻🅻🅾🆆"":7,""-TL- 3fm"":1,""Hellbro"":12,""=LordFarquaad="":11,""-TL- SirSaneRabbit"":6,""-TL- Slug"":1,""MS | Armin"":10,""-TL- bic"":1,""7stoner"":8,""-TL- zemo"":10,""MS | C o C o"":10,""Data"":2,""-TL- Shane"":4,""MS | ΜΓ.DΘ"":3,""-TL- JB"":1,""MS | Soldaad"":1,""-TL- Priime"":4,""-TL- Tigers0204"":5,""MS | BommmΞl!ツ"":4,""=Klink="":11,""-TL- Use The PIAT!"":2,""-TL- Zunshin"":1,""Reduktorius"":8,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":7,""MS | Fuze"":10,""Lets"":1,""-TL- REDACTED"":3,""MS | WBσ$$mλπ"":1,""Trump's Right Ear"":4,""Galtia"":1,""MS | GAS"":7,""Dr Spetz"":2,""MACK"":2,""-TL- rwendler613"":1,""Vadiii."":3,""DooperDupinskie"":2}","1299","10","1780","0","{""155MM HOWITZER [M114]"":183}","{}"
"76561198130579400","🅶 I|I marsmyk","97","9","10.78","21","1.14","0.11","2","0","0","0","1158","116","{""MS | GAS"":1,""-TL- JVCK"":3,""Reduktorius"":1,""MS | ΜΓ.DΘ"":2,""Bleicher Junge"":1,""-TL-GIRLCOCKSUPREME"":1}","{""Palustris"":2,""-TL-GIRLCOCKSUPREME"":7,""Bleicher Junge"":4,""🅼🅴🅻🅻🅾🆆"":5,""Hellbro"":3,""=LordFarquaad="":6,""-TL- SirSaneRabbit"":2,""MS | Armin"":2,""♻ | Atrocity"":1,""7stoner"":4,""-TL- zemo"":5,""MS | C o C o"":1,""Data"":1,""-TL- Shane"":2,""-TL- Priime"":3,""MS | BommmΞl!ツ"":4,""=Klink="":9,""-TL- Use The PIAT!"":3,""Reduktorius"":7,""Smurf | 我種藍莓"":3,""MS | Fuze"":5,""Lets"":1,""-TL- REDACTED"":1,""Trump's Right Ear"":2,""MS | GAS"":5,""Dr Spetz"":1,""MACK"":1,""Vadiii."":2,""DooperDupinskie"":5}","654","0","1140","400","{""BROWNING M1919"":97}","{""MP40"":1,""FG42 x4"":1,""GEWEHR 43"":1,""KARABINER 98K"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198079470277","MS | GAS","91","72","1.26","7","1.07","0.84","7","0","3","1","222","15","{""🅶 I|I Ditzel™"":2,""🅶 I|I Temerei Ejaculadus"":7,""🅶 I|I Fred._."":2,""🅶 I|I BoY_BuTTeR"":2,""🅶 I|I Ch0Psin"":1,""🅶 I|I MADINI"":3,""🅶 I|I ..,kla"":3,""🅶 I|I Zyrion"":1,""🅶I|I itz_valle"":3,""🅶 I|I Bl@de"":1,""🅶 I|I Kieran"":2,""🅶 I|I Doctor <3"":2,""🅶 I|I Flieder'"":4,""🅶 I|I Weidemilch"":1,""🅶 I|I Kleriker85"":3,""🅶 I|I Schumberto"":3,""🅶 I|I limit"":2,""🅶 I|I Kayle"":2,""🅶 I|I TR1P"":1,""🅶 I|I Woragon"":1,""🅶 I|I killhouse99"":4,""🅶 I|I Düsentrieb"":2,""🅶 I|I KohleKumpel Steve"":2,""🅶 I|I n1ce"":1,""🅶 I|I P0STALffs"":3,""🅶 I|I Clean_Nap"":2,""🅶 I|I Marvin.449"":1,""🅶 I|I marsmyk"":5,""🅶 I|I deen"":2,""🅶 I|I Alex23041988"":2,""🅶 I|I German.DUD"":1,""GH.Vuk"":1}","{""🅶 I|I Bo Frost"":3,""🅶 I|I Fred._."":5,""🅶 I|I BoY_BuTTeR"":4,""🅶 I|I Ch0Psin"":8,""🅶 I|I MADINI"":5,""🅶 I|I ..,kla"":4,""🅶 I|I Zyrion"":1,""🅶I|I itz_valle"":5,""🅶 I|I Flieder'"":3,""🅶 I|I Weidemilch"":3,""🅶 I|I RoyNelson"":2,""🅶 I|I Kleriker85"":2,""🅶 I|I Schumberto"":3,""🅶 I|I Ferdl"":5,""🅶 I|I limit"":7,""🅶 I|I Kayle"":1,""🅶 I|I TR1P"":2,""🅶 I|I Woragon"":4,""🅶 I|I killhouse99"":2,""🅶 I|I Düsentrieb"":1,""🅶 I|I n1ce"":1,""GH noobi"":2,""🅶 I|I P0STALffs"":1,""🅶 I|I Clean_Nap"":3,""🅶 I|I marsmyk"":1,""🅶 I|I deen"":4,""🅶 I|I Alex23041988"":7,""🅶 I|I German.DUD"":1,""kadaver -.-"":1}","651","100","980","100","{""STG44"":19,""S-MINE"":1,""FG42 x4"":62,""SATCHEL"":5,""GEWEHR 43"":2,""FELDSPATEN"":1,""KARABINER 98K"":1}","{""155MM HOWITZER [M114]"":7,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":1,""MK2 GRENADE"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""M1903 SPRINGFIELD"":3,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":7,""M3 KNIFE"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":4,""BAZOOKA"":1,""M3 GREASE GUN"":2,""STRAFING RUN"":1,""M6 37mm [M8 Greyhound]"":1,""M1 GARAND"":39}"
"76561197974988485","🅶 I|I P0STALffs","84","62","1.35","10","0.98","0.73","5","0","0","0","264","20","{""Palustris"":1,""-TL- 3fm"":1,""=LordFarquaad="":1,""MS | Armin"":1,""-TL- bic"":3,""Data"":5,""MS | sNIPP"":1,""MS | Soldaad"":3,""-TL- Tigers0204"":5,""MS | BommmΞl!ツ"":2,""-TL- Use The PIAT!"":1,""-TL- hippie"":3,""-TL- Zunshin"":1,""Reduktorius"":1,""-TL- Monster_Corndog"":2,""MS | Fuze"":1,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":2,""Galtia"":4,""MS | GAS"":1,""Dr Spetz"":6,""MACK"":11,""-TL- Ken"":3,""-TL- rwendler613"":1,""Vadiii."":1}","{""Palustris"":3,""Bleicher Junge"":4,""Hellbro"":1,""=LordFarquaad="":1,""MS | Armin"":1,""-TL- bic"":4,""Data"":4,""-TL- JVCK"":1,""-TL- Grekker"":2,""MS | sNIPP"":8,""MS | Soldaad"":2,""-TL- Tigers0204"":6,""MSAP"":1,""-TL- Use The PIAT!"":8,""-TL- hippie"":2,""Reduktorius"":1,""-TL- Monster_Corndog"":5,""-TL- REDACTED"":1,""MS | WBσ$$mλπ"":1,""Galtia"":3,""MS | GAS"":3,""Dr Spetz"":3,""MACK"":5,""-TL- Ken"":6,""-TL- rwendler613"":4,""Vadiii."":4}","706","125","180","1060","{""BAZOOKA"":2,""M1 GARAND"":75,""MK2 GRENADE"":4,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":1}","{""MG42"":2,""MP40"":3,""STG44"":7,""FG42 x4"":5,""GEWEHR 43"":35,""KARABINER 98K"":7,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198142832317","🅶 I|I Kayle","82","52","1.58","9","0.96","0.61","3","0","0","0","285","24","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":1,""Bleicher Junge"":1,""🅼🅴🅻🅻🅾🆆"":2,""Hellbro"":1,""=LordFarquaad="":2,""-TL- SirSaneRabbit"":4,""-TL- bic"":1,""7stoner"":2,""-TL- zemo"":3,""MS | C o C o"":4,""-TL- Shane"":1,""-TL- JVCK"":1,""-TL- Priime"":4,""MS | BommmΞl!ツ"":2,""MS | Major WakandaPerhaps"":3,""MSAP"":1,""=Klink="":3,""-TL- hippie"":1,""-TL- Zunshin"":1,""Reduktorius"":2,""Smurf | 我種藍莓"":2,""-TL- REDACTED"":1,""Trump's Right Ear"":1,""MS | GAS"":1,""Vadiii."":1,""DooperDupinskie"":5}","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":7,""Bleicher Junge"":2,""🅼🅴🅻🅻🅾🆆"":4,""-TL- 3fm"":2,""=LordFarquaad="":2,""-TL- SirSaneRabbit"":4,""MS | Armin"":3,""7stoner"":6,""-TL- zemo"":3,""MS | C o C o"":4,""Data"":1,""-TL- Shane"":6,""-TL- JB"":2,""-TL- Priime"":2,""MSAP"":1,""-TL- Use The PIAT!"":1,""-TL- Zunshin"":1,""Reduktorius"":3,""Smurf | 我種藍莓"":6,""MS | Fuze"":1,""Lets"":3,""-TL- REDACTED"":1,""Trump's Right Ear"":3,""Galtia"":1,""MS | GAS"":2,""-TL- rwendler613"":2,""Vadiii."":2,""DooperDupinskie"":6}","666","330","380","880","{""BAZOOKA"":3,""M1 GARAND"":78,""MK2 GRENADE"":1}","{""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":5,""GEWEHR 43"":32,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":3,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":3,""KARABINER 98K"":4,""FG42 x4"":1,""MP40"":1}"
"76561197984814304","🅶 I|I Flieder'","78","65","1.2","7","0.9","0.75","5","0","2","1","328","17","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":2,""Bleicher Junge"":2,""Hellbro"":3,""=LordFarquaad="":2,""MS | Armin"":2,""♻ | Atrocity"":2,""7stoner"":1,""-TL- zemo"":2,""MS | C o C o"":1,""MS | sNIPP"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":2,""MS | Major WakandaPerhaps"":20,""=Klink="":3,""-TL- Use The PIAT!"":1,""-TL- hippie"":1,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":2,""MS | Fuze"":3,""MS | GAS"":3,""Dr Spetz"":2,""MACK"":2,""-TL- Ken"":3}","{""Palustris"":1,""Bleicher Junge"":7,""🅼🅴🅻🅻🅾🆆"":1,""Hellbro"":3,""=LordFarquaad="":3,""MS | Armin"":7,""-TL- bic"":3,""7stoner"":1,""-TL- zemo"":1,""MS | C o C o"":1,""Data"":2,""MS | Soldaad"":1,""-TL- Priime"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":6,""=Klink="":4,""-TL- Use The PIAT!"":2,""Reduktorius"":2,""-TL- Monster_Corndog"":5,""-TL- REDACTED"":2,""Galtia"":4,""MS | GAS"":4,""Dr Spetz"":3,""MACK"":6,""-TL- Ken"":4,""Vadiii."":2}","532","151","300","880","{""BAZOOKA"":3,""M1 GARAND"":70,""MK2 GRENADE"":1,""M1A1 THOMPSON"":4}","{""STG44"":7,""GEWEHR 43"":22,""S-MINE"":1,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":2,""150MM HOWITZER [sFH 18]"":20,""SATCHEL"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":1,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":6,""FG42 x4"":1,""MP40"":1}"
"76561198183549211","'-TL- zemo","76","86","0.88","7","0.89","1.01","14","1","2","1","201","15","{""🅶 I|I Ditzel™"":2,""🅶 I|I Bo Frost"":1,""🅶 I|I Temerei Ejaculadus"":10,""🅶 I|I Fred._."":3,""🅶 I|I BoY_BuTTeR"":1,""🅶 I|I Ch0Psin"":3,""🅶 I|I MADINI"":3,""🅶 I|I ..,kla"":4,""🅶I|I itz_valle"":3,""🅶 I|I Bl@de"":3,""🅶 I|I Flieder'"":1,""🅶 I|I Weidemilch"":2,""🅶 I|I RoyNelson"":1,""🅶 I|I Schumberto"":2,""🅶 I|I limit"":4,""🅶 I|I Kayle"":3,""🅶 I|I pan"":2,""🅶 I|I TR1P"":1,""🅶 I|I Woragon"":5,""🅶 I|I Düsentrieb"":1,""GH noobi"":5,""🅶 I|I tscho²"":1,""🅶 I|I Marvin.449"":1,""🅶 I|I marsmyk"":5,""🅶 I|I Alex23041988"":4,""🅶 I|I German.DUD"":10,""kadaver -.-"":5}","{""🅶 I|I Ditzel™"":1,""🅶 I|I Bo Frost"":2,""🅶 I|I Fred._."":4,""🅶 I|I McFawkes"":2,""🅶 I|I BoY_BuTTeR"":2,""🅶 I|I MADINI"":5,""🅶 I|I ..,kla"":3,""🅶 I|I Zyrion"":4,""🅶I|I itz_valle"":5,""🅶 I|I Flieder'"":2,""🅶 I|I RoyNelson"":2,""🅶 I|I Kleriker85"":1,""🅶 I|I Schumberto"":1,""🅶 I|I limit"":9,""🅶 I|I Kayle"":3,""🅶 I|I pan"":1,""🅶 I|I TR1P"":2,""🅶 I|I Woragon"":2,""🅶 I|I killhouse99"":1,""🅶 I|I bollerwagen."":1,""🅶 I|I Düsentrieb"":2,""GH noobi"":8,""🅶 I|I tscho²"":1,""🅶 I|I Alex23041988"":2,""🅶 I|I German.DUD"":3,""kadaver -.-"":7}","545","305","740","180","{""STG44"":51,""SATCHEL"":1,""GEWEHR 43"":18,""KARABINER 98K"":4,""M43 STIELHANDGRANATE"":2}","{""155MM HOWITZER [M114]"":10,""MK2 GRENADE"":2,""75MM CANNON [Sherman M4A3(75)W]"":3,""M1903 SPRINGFIELD"":5,""BROWNING M1919"":10,""BOMBING RUN"":1,""BAZOOKA"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":1,""M1 GARAND"":52}"
"76561197990353594","🅶 I|I n1ce","73","44","1.66","8","0.86","0.52","5","0","1","1","319","13","{""Palustris"":2,""Bleicher Junge"":2,""-TL- bic"":2,""Data"":5,""-TL- JVCK"":1,""MS | sNIPP"":5,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":3,""MS | Major WakandaPerhaps"":1,""-TL- Use The PIAT!"":1,""-TL- Monster_Corndog"":2,""MS | Fuze"":1,""Galtia"":5,""MS | GAS"":1,""Dr Spetz"":1,""MACK"":3,""-TL- Ken"":5,""-TL- rwendler613"":1}","{""Palustris"":1,""Bleicher Junge"":3,""-TL- 3fm"":1,""=LordFarquaad="":1,""-TL- bic"":9,""MS | C o C o"":1,""Data"":2,""MS | sNIPP"":3,""MS | Soldaad"":2,""-TL- Tigers0204"":5,""MS | BommmΞl!ツ"":4,""-TL- Use The PIAT!"":3,""-TL- Monster_Corndog"":10,""Smurf | 我種藍莓"":1,""MS | Fuze"":2,""-TL- REDACTED"":2,""Galtia"":5,""MS | GAS"":1,""Dr Spetz"":4,""MACK"":4,""-TL- Ken"":7,""Vadiii."":2}","488","830","300","1060","{""M1 GARAND"":73}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""KARABINER 98K x8"":1,""STG44"":6,""GEWEHR 43"":21,""S-MINE"":1,""150MM HOWITZER [sFH 18]"":1,""MG42"":7,""KARABINER 98K"":4,""FG42 x4"":2}"
"76561198296380992","🅶I|I itz_valle","72","57","1.26","6","0.84","0.67","5","3","0","0","254","19","{""-TL-GIRLCOCKSUPREME"":1,""🅼🅴🅻🅻🅾🆆"":4,""Hellbro"":1,""=LordFarquaad="":2,""-TL- SirSaneRabbit"":2,""-TL- bic"":1,""-TL- zemo"":5,""MS | C o C o"":2,""-TL- Shane"":2,""-TL- Priime"":4,""MS | BommmΞl!ツ"":1,""MS | Major WakandaPerhaps"":5,""=Klink="":2,""Reduktorius"":5,""Smurf | 我種藍莓"":1,""MS | Fuze"":2,""Lets"":2,""Trump's Right Ear"":1,""Galtia"":2,""MS | GAS"":5,""Dr Spetz"":2,""MACK"":1,""Vadiii."":1,""DooperDupinskie"":3}","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":2,""Bleicher Junge"":1,""🅼🅴🅻🅻🅾🆆"":2,""Hellbro"":3,""=LordFarquaad="":2,""-TL- SirSaneRabbit"":3,""MS | Armin"":7,""7stoner"":4,""-TL- zemo"":3,""MS | C o C o"":2,""Data"":1,""-TL- Shane"":2,""-TL- JB"":1,""MS | Soldaad"":1,""-TL- Priime"":3,""MS | BommmΞl!ツ"":3,""=Klink="":4,""-TL- hippie"":1,""Smurf | 我種藍莓"":3,""MS | Fuze"":2,""Lets"":1,""-TL- REDACTED"":4,""Trump's Right Ear"":3,""Galtia"":1,""MS | GAS"":3,""MACK"":1,""-TL- rwendler613"":1,""Vadiii."":4,""DooperDupinskie"":3}","532","451","420","740","{""M1 GARAND"":66,""M3 GREASE GUN"":6}","{""MG42"":5,""STG44"":9,""FG42 x4"":2,""GEWEHR 43"":33,""KARABINER 98K"":3,""150MM HOWITZER [sFH 18]"":5}"
