"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199125236819","JG | NekItar1us","32","47","0.68","5","0.38","0.55","8","0","0","0","337","36","{""Bleicher Junge"":12,""🅼🅴🅻🅻🅾🆆"":2,""-TL- SirSaneRabbit"":4,""-TL- POWD3RMONK3Y"":3,""=Vr= 7stoner"":2,""ass vandal"":2,""puck"":2,""MS | sNIPP"":6,""-TL- Use The PIAT!"":2,""Trump's Right Ear"":1,""-TL- tacotastic"":1,""GAS"":3,""Galtia"":3,""-TL- Emmanation"":1,""-TL- Ken"":3}","{""Palustris"":1,""Bleicher Junge"":1,""🅼🅴🅻🅻🅾🆆"":4,""-TL- SirSaneRabbit"":3,""-TL- POWD3RMONK3Y"":1,""=Vr= 7stoner"":3,""Data"":1,""puck"":1,""MS | sNIPP"":3,""-TL- Edotensei"":1,""-TL- Use The PIAT!"":2,""MS | Brother9"":2,""Trump's Right Ear"":2,""-TL- tacotastic"":1,""GAS"":1,""Galtia"":1,""-TL- Peif_Rimgarr"":4}","240","150","960","200","{""MG42"":26,""MP40"":3,""STG44"":2,""LUGER P08"":1}","{""M1 GARAND"":29,""M1 CARBINE"":5,""M1918A2 BAR"":4,""M1A1 THOMPSON"":1,""M3 GREASE GUN"":1,""BROWNING M1919"":4,""M6 37mm [M8 Greyhound]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198011058801","『V』VonMack =","83","56","1.48","7","0.97","0.66","5","0","4","1","290","27","{""AIM-120 AMRAAM"":5,""🅼🅴🅻🅻🅾🆆"":1,""=LordFarquaad="":2,""-TL- SirSaneRabbit"":2,""MS | Armin"":1,""-TL- bic"":2,""MS | C o C o"":3,""-TL- POWD3RMONK3Y"":2,""=Vr= 7stoner"":1,""ass vandal"":2,""puck"":2,""-TL- Koleto"":2,""(WTH) HoneyBadger"":6,""-TL- Tigers0204"":2,""-TL- MACK"":1,""=Klink="":3,""-TL- Zunshin"":3,""MS | Brother9"":5,""Reduktorius"":4,""-TL- Monster_Corndog"":2,""Trump's Right Ear"":1,""GAS"":1,""-TL- Emmanation"":2,""-TL- Ken"":1}","{""Palustris"":5,""TL NinxDrag"":1,""-TL- 3fm"":3,""-TL- SirSaneRabbit"":1,""-TL- Slug"":1,""MS | Armin"":9,""-TL- bic"":1,""MS | C o C o"":7,""-TL- POWD3RMONK3Y"":4,""Spamdini"":1,""Data"":3,""ass vandal"":2,""MS | ΜΓ.DΘ"":2,""-TL- Koleto"":1,""-TL- Edotensei"":2,""-TL- Tigers0204"":6,""-TL- MACK"":4,""=Klink="":4,""-TL- Use The PIAT!"":1,""-TL- Zunshin"":1,""MS | Brother9"":5,""Reduktorius"":2,""-TL- Monster_Corndog"":2,""-TL- REDACTED"":2,""MS | WBσ$$mλπ"":1,""Trump's Right Ear"":2,""-TL- tacotastic"":1,""GAS"":3,""-TL- Emmanation"":1,""-TL- Peif_Rimgarr"":3,""-TL- Ken"":2}","1013","75","480","640","{""STG44"":47,""GEWEHR 43"":10,""M43 STIELHANDGRANATE"":3,""SATCHEL"":11,""MG42"":2,""MG34"":2,""KARABINER 98K"":4,""FG42"":1,""MP40"":3}","{""155MM HOWITZER [M114]"":5,""M1918A2 BAR"":3,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":1,""MK2 GRENADE"":2,""37MM CANNON [Stuart M5A1]"":6,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":7,""Sherman M4A3E2(76)"":1,""BAZOOKA"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":6,""M1 GARAND"":20}"
"76561198060198767","EG | Mash3Hbka","14","12","1.17","5","0.16","0.14","5","0","0","0","945","54","{""TL NinxDrag"":1,""Bleicher Junge"":1,""-TL- Use The PIAT!"":1,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":1,""-TL- REDACTED"":1,""Trump's Right Ear"":1,""-TL- Peif_Rimgarr"":1,""-TL- rik"":1,""-TL- Ken"":1,""-TL- rwendler613"":2}","{""TL NinxDrag"":1,""-TL- 3fm"":1,""=Vr= 7stoner"":1,""Spamdini"":1,""-TL- Crewmaxio"":1,""=Klink="":1,""-TL- Use The PIAT!"":4,""Reduktorius"":1,""-TL- Peif_Rimgarr"":2,""-TL- rwendler613"":1}","158","1046","240","1120","{""MP40"":14}","{""M1 GARAND"":11,""M1 CARBINE"":1}"
"76561198167946735","JG | KaRaS","17","18","0.94","3","0.2","0.21","4","1","1","1","737","41","{""Bleicher Junge"":1,""-TL- bic"":1,""Data"":1,""ass vandal"":5,""puck"":2,""(WTH) HoneyBadger"":1,""-TL- Edotensei"":1,""-TL- Zunshin"":1,""Trump's Right Ear"":1,""GAS"":2,""-TL- Emmanation"":2}","{""🅼🅴🅻🅻🅾🆆"":1,""-TL- SirSaneRabbit"":1,""MS | Armin"":1,""-TL- bic"":2,""MS | C o C o"":1,""Spamdini"":1,""Data"":2,""puck"":1,""MS | sNIPP"":1,""MS | Brother9"":1,""Smurf | 我種藍莓"":1,""GAS"":1,""Galtia"":1,""-TL- rik"":1,""-TL- rwendler613"":1}","207","75","1180","280","{""STG44"":5,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":7,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":3,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}","{""BAZOOKA"":1,""M1 GARAND"":5,""M1 CARBINE"":2,""BROWNING M1919"":1,""37MM CANNON [Stuart M5A1]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":8}"
"76561198178186606","JG | J1ePeRs","27","35","0.77","6","0.32","0.41","5","1","1","1","381","47","{""-TL-GIRLCOCKSUPREME"":1,""Bleicher Junge"":1,""=LordFarquaad="":1,""-TL- SirSaneRabbit"":1,""MS | Armin"":2,""-TL- POWD3RMONK3Y"":1,""=Vr= 7stoner"":1,""Data"":1,""ass vandal"":1,""MS | sNIPP"":1,""(WTH) HoneyBadger"":2,""-TL- MACK"":2,""=Klink="":3,""-TL- Zunshin"":1,""MS | Brother9"":4,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":1,""Trump's Right Ear"":1,""-TL- tacotastic"":4,""GAS"":1,""-TL- Emmanation"":1,""-TL- Ken"":3}","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":1,""Bleicher Junge"":2,""MS | Armin"":4,""-TL- POWD3RMONK3Y"":1,""Data"":1,""MS | sNIPP"":1,""-TL- Edotensei"":1,""-TL- MACK"":2,""MS | Brother9"":2,""Reduktorius"":2,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":3,""-TL- tacotastic"":1,""-TL- Ken"":3,""DooperDupinskie"":1}","320","0","1120","240","{""FG42"":3,""MP40"":2,""STG44"":20,""S-MINE"":1,""SATCHEL"":1}","{""M1918A2 BAR"":2,""MK2 GRENADE"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2,""37MM CANNON [Stuart M5A1]"":1,""M2 AP MINE"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""TELLERMINE 43"":1,""M3 GREASE GUN"":2,""M1 CARBINE"":6,""M1 GARAND"":18}"
"76561198051788516","JG | Krimaks","25","66","0.38","3","0.29","0.77","11","2","0","0","239","19","{""Palustris"":3,""-TL-GIRLCOCKSUPREME"":1,""=LordFarquaad="":5,""-TL- bic"":10,""MS | C o C o"":1,""Data"":1,""(WTH) HoneyBadger"":6,""-TL- MACK"":12,""=Klink="":2,""MS | Brother9"":3,""Reduktorius"":6,""-TL- Monster_Corndog"":4,""Smurf | 我種藍莓"":4,""Trump's Right Ear"":1,""GAS"":2,""-TL- rik"":2,""-TL- Ken"":3}","{""-TL- 3fm"":2,""=LordFarquaad="":6,""-TL- bic"":1,""Data"":1,""(WTH) HoneyBadger"":1,""-TL- Crewmaxio"":1,""MS | Brother9"":2,""Reduktorius"":2,""-TL- Monster_Corndog"":5,""Smurf | 我種藍莓"":2,""-TL- tacotastic"":1,""-TL- Ken"":1}","218","448","580","560","{""MP40"":14,""STG44"":5,""KARABINER 98K"":6}","{""M1918A2 BAR"":3,""MK2 GRENADE"":1,""75MM CANNON [Sherman M4A3(75)W]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""BAZOOKA"":3,""M1 CARBINE"":4,""M1 GARAND"":48}"
"76561198068157816","'-TL- REDACTED","37","26","1.42","7","0.43","0.3","5","1","0","0","795","37","{""『Vr』nicekMD"":3,""JG | Фуфелшмерц"":2,""EG | Попущ"":2,""JG | Moclew"":4,""EG | GENERAL"":2,""『V』VonMack ="":2,""JG | Маслач"":1,""EG | ebm"":1,""『V』A Brazilian Noob"":1,""『Vr』O_Padre"":2,""JG | Povor"":3,""EG | LimO_On"":3}","{""『Vr』nicekMD"":3,""ЯF™ | Numezon"":1,""JG | Фуфелшмерц"":4,""EG | Попущ"":2,""JG | Moclew"":1,""EG | bankai"":1,""EG | GENERAL"":1,""JG | ZerG"":1,""EG | nba"":1,""JG | Маслач"":2,""EG | ebm"":1,""EG | Kartoshe4ka"":1,""EG | Virus Comeback"":1,""JG | Povor"":1,""EG | balalaika"":2,""JG | Strannik 618"":1,""EG | Mash3Hbka"":1,""EG | ANDREEV"":1,""JG | WOLF"":2,""Юкари Акияма"":3,""EG | Kirill_1gorevich"":1,""EG | LimO_On"":4,""JG | In God We Trust"":1}","355","365","1220","100","{""BAZOOKA"":2,""M1 GARAND"":33,""M97 TRENCH GUN"":2}","{""MP40"":4,""STG44"":7,""UNKNOWN"":1,""GEWEHR 43"":10,""KARABINER 98K"":3,""M43 STIELHANDGRANATE"":1}"
"76561198106215341","🅼🅴🅻🅻🅾🆆","41","43","0.95","4","0.48","0.5","9","0","3","1","598","34","{""『Vr』nicekMD"":2,""JG | Фуфелшмерц"":3,""EG | bankai"":6,""JG | NekItar1us"":4,""EG | GENERAL"":7,""JG | KaRaS"":1,""EG | nba"":4,""JG | Маслач"":5,""EG | Kartoshe4ka"":1,""EG | Virus Comeback"":2,""JG | Povor"":2,""EG | ANDREEV"":1,""JG | WOLF"":3,""EG | Hezacy"":1,""JG | Rosich"":1}","{""『Vr』nicekMD"":1,""JG | Фуфелшмерц"":6,""JG | Mandrake707"":1,""EG | bankai"":4,""JG | NekItar1us"":2,""EG | GENERAL"":4,""『V』VonMack ="":1,""EG | nba"":3,""JG | Маслач"":6,""EG | Kartoshe4ka"":2,""EG | Virus Comeback"":2,""JG | Kavun"":1,""JG | Povor"":7,""JG | WOLF"":1}","308","857","1220","80","{""M1 GARAND"":39,""M1 CARBINE"":2}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":16,""GEWEHR 43"":12,""M43 STIELHANDGRANATE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":5,""KARABINER 98K"":1,""FG42"":1,""MP40"":5}"
"76561199067573476","JG | Stalin_Haker","72","52","1.38","9","0.84","0.61","5","0","1","1","382","-26","{""Palustris"":1,""=LordFarquaad="":7,""-TL- bic"":5,""MS | C o C o"":1,""-TL- POWD3RMONK3Y"":1,""Data"":1,""puck"":1,""(WTH) HoneyBadger"":1,""-TL- Tigers0204"":1,""-TL- MACK"":7,""=Klink="":5,""MS | Brother9"":2,""Reduktorius"":5,""-TL- Monster_Corndog"":5,""Smurf | 我種藍莓"":6,""-TL- tacotastic"":1,""GAS"":1,""-TL- rik"":1}","{""=LordFarquaad="":7,""-TL- SirSaneRabbit"":1,""-TL- Slug"":1,""MS | Armin"":1,""-TL- bic"":12,""-TL- Jerry"":1,""Data"":1,""-TL- JVCK"":1,""-TL- Koleto"":1,""(WTH) HoneyBadger"":1,""-TL- Edotensei"":1,""-TL- Tigers0204"":1,""-TL- MACK"":6,""=Klink="":5,""-TL- Zunshin"":1,""MS | Brother9"":4,""Reduktorius"":7,""-TL- Monster_Corndog"":5,""Smurf | 我種藍莓"":9,""-TL- tacotastic"":4,""GAS"":1,""-TL- Ken"":1}","739","75","600","620","{""STG44"":38,""SATCHEL"":1,""GEWEHR 43"":16,""KARABINER 98K"":11,""PANZERSCHRECK"":6}","{""BAZOOKA"":2,""M1 GARAND"":39,""M1 CARBINE"":3,""M1918A2 BAR"":3,""M1A1 THOMPSON"":4,""75MM CANNON [Sherman M4A3(75)W]"":1}"
"b70f79383eb821ec28d0d0d05d621c36","Agar312","0","0","0","0","0","0","0","0","0","0","0","9999","{}","{}","0","0","0","0","{}","{}"
