"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198119360616","ЯF™️ | Avox","51","61","0.84","5","0.6","0.71","5","0","0","0","391","22","{""-TL- 3fm"":1,""Hellbro"":1,""=LordFarquaad="":8,""-TL- bic"":1,""7stoner"":1,""Data"":2,""-TL- Shane"":6,""G-R"":3,""-TL- Priime"":3,""-TL- Tigers0204"":8,""Reduktorius"":9,""-TL- Monster_Corndog"":2,""MS | Fuze"":1,""GAS"":5,""Galtia"":4,""Dr Spetz"":2,""-TL- MrInsaneBunny"":1,""DooperDupinskie"":3}","{""Hellbro"":1,""=LordFarquaad="":6,""7stoner"":1,""-TL- zemo"":1,""Data"":1,""-TL- Shane"":11,""G-R"":2,""-TL- Priime"":2,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":2,""-TL- ☂Bu𝓣𝓣eryBi𝓣s☂"":1,""Reduktorius"":7,""MS | Fuze"":4,""Galtia"":4,""MACK"":1,""-TL- MrInsaneBunny"":3,""DooperDupinskie"":2}","399","1291","1280","0","{""SVT40"":51}","{""MG42"":12,""MP40"":1,""STG44"":2,""FG42 x4"":2,""GEWEHR 43"":30,""KARABINER 98K"":13,""PANZERSCHRECK"":1}"
"76561197978775262","ЯF™ | ArobebAse","31","8","3.88","14","0.36","0.09","4","1","0","0","2759","47","{""GAS"":1,""-TL- JVCK"":1,""Palustris"":1,""-TL- Potato"":1,""-TL- Zunshin"":1,""MS | Soldaad"":1,""President of DC"":1,""MS | BommmΞl!ツ"":1}","{""Bleicher Junge"":1,""-TL- Slug"":1,""-TL- bic"":3,""7stoner"":2,""-TL- zemo"":2,""-TL- Bisper"":1,""G-R"":1,""-TL- JVCK"":1,""-TL- Grekker"":1,""-TL- Koleto"":1,""MS | Soldaad"":1,""-TL- Priime"":1,""MS | BommmΞl!ツ"":3,""MSAP"":1,""-TL- hippie"":1,""-TL- Zunshin"":1,""MS | Fuze"":2,""GAS"":1,""Vadiii.therapist"":1,""-TL- MrInsaneBunny"":3,""-TL- Potato"":2}","467","110","1660","0","{""BAZOOKA"":1,""45MM M1937 [T70]"":8,""COAXIAL DT [T70]"":1,""D-5T 85MM [IS-1]"":20,""COAXIAL DT [IS-1]"":1}","{""MG42"":2,""SATCHEL"":1,""GEWEHR 43"":1,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561199009603308","'-TL- Tigers0204","41","33","1.24","18","0.48","0.39","6","0","0","0","1401","16","{""ЯF™ | ToMy.."":1,""ЯF™ | LeBigJim"":1,""ЯF™ | QuickNickz"":5,""ЯF™ | TYSHONKA"":2,""ЯF™ | Cido"":1,""ЯF™ | Nike Job"":1,""ЯF™ | Artik"":3,""ЯF™ | Squirrel"":1,""ЯF™ | aЯeyfuze"":1,""ЯF™ | ANIO ♪"":1,""ЯF™ | Zarkhen"":1,""ЯF™ | Le JOcello"":3,""ЯF™ | pS *Coin2"":2,""ЯF™ | SMOKer"":2,""ЯF™ | Офицер88_ка"":4,""ЯF™ | PhallusDeTitan"":2,""ЯF™️ | Avox"":2}","{""ЯF™ | Erialkor"":1,""ЯF™ | Hyws"":3,""ЯF™ | tn6HOT"":1,""ЯF™ | Nike Job"":1,""ЯF™ | Семеыа"":1,""ЯF™ | Mandalore_n6"":2,""ЯF™ | aЯeyfuze"":2,""ЯF™ | ANIO ♪"":2,""ЯF™ | FataGliz"":2,""ЯF™ | Qiou"":2,""ЯF™ | Le JOcello"":5,""ЯF™ | pS *Coin2"":4,""ЯF™ | SMOKer"":5,""ЯF™ | Офицер88_ка"":2,""ЯF™️ | Avox"":8}","402","145","840","600","{""MG42"":26,""STG44"":2,""GEWEHR 43"":1,""LUGER P08"":1,""KARABINER 98K"":9,""PANZERSCHRECK"":2}","{""DP-27"":3,""PPSH 41"":3,""Unknown"":1,""SVT40"":12,""MOSIN NAGANT 91/30"":2,""COAXIAL DT [IS-1]"":1,""PPSH 41 W/DRUM"":2,""SCOPED SVT40"":3,""122MM HOWITZER [M1938 (M-30)]"":5,""D-5T 85MM [IS-1]"":1}"
"76561198077854905","ЯF™ | FataGliz","67","72","0.93","8","0.79","0.84","11","1","0","0","244","23","{""MS | PressF"":3,""Bleicher Junge"":5,""Hellbro"":2,""-TL- bic"":1,""7stoner"":1,""-TL- zemo"":8,""President of DC"":6,""Data"":4,""-TL- Shane"":1,""MS | sNIPP"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":1,""-TL- hippie"":4,""MS | Brother9"":2,""Reduktorius"":3,""-TL- Monster_Corndog"":2,""MS | Fuze"":1,""Lets"":2,""MS | WBσ$$mλπ"":1,""GAS"":7,""MACK"":8,""Vadiii.therapist"":1,""-TL- rik"":1,""thelastpizzaroll"":1,""-TL- MrInsaneBunny"":1,""-TL- Potato"":2}","{""Palustris"":1,""MS | PressF"":6,""Bleicher Junge"":1,""Hellbro"":5,""=LordFarquaad="":3,""-TL- Slug"":1,""-TL- bic"":6,""7stoner"":5,""-TL- zemo"":3,""-TL- Bisper"":2,""Data"":2,""G-R"":3,""MS | sNIPP"":4,""MS | BommmΞl!ツ"":2,""-TL- hippie"":3,""MS | Brother9"":4,""-TL- Monster_Corndog"":3,""GAS"":2,""MACK"":2,""Vadiii.therapist"":2,""-TL- rik"":2,""-TL- wendler"":1,""thelastpizzaroll"":1,""-TL- MrInsaneBunny"":1,""-TL- Potato"":2}","478","3170","1040","0","{""SVT40"":42,""BAZOOKA"":1,""PPSH 41"":10,""RG-42 GRENADE"":1,""PPSH 41 W/DRUM"":4,""MOSIN NAGANT M38"":2,""MOSIN NAGANT 91/30"":7}","{""KARABINER 98K x8"":2,""STG44"":7,""GEWEHR 43"":32,""150MM HOWITZER [sFH 18]"":6,""SATCHEL"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":7,""KARABINER 98K"":4,""FG42 x4"":8,""MP40"":4}"
"76561198136839181","Reduktorius","52","48","1.08","5","0.61","0.56","5","0","1","1","312","19","{""ЯF™ | Erialkor"":1,""ЯF™ | ToMy.."":1,""ЯF™ | Azan ツ"":1,""ЯF™ | QuickNickz"":4,""ЯF™ | Ouinston"":1,""ЯF™ | Hyws"":1,""ЯF™ | TYSHONKA"":1,""ЯF™ | Yo C Staz"":1,""ЯF™ | tn6HOT"":2,""ЯF™ | Nike Job"":4,""ЯF™ | Семеыа"":1,""ЯF™ | Artik"":4,""ЯF™ | ANIO ♪"":1,""ЯF™ | Shaolin Kayo"":4,""ЯF™ | Qiou"":1,""ЯF™ | Le JOcello"":1,""ЯF™ | pS *Coin2"":1,""ЯF™ | SMOKer"":6,""ЯF™ | Офицер88_ка"":5,""ЯF™️ | Avox"":7}","{""ЯF™ | Erialkor"":3,""ЯF™ | LeBigJim"":1,""ЯF™ | Azan ツ"":1,""ЯF™ | MAGWA"":2,""ЯF™ | Hyws"":1,""ЯF™ | Grimaldum"":2,""ЯF™ | tn6HOT"":3,""ЯF™ | Nike Job"":6,""ЯF™ | Семеыа"":2,""ЯF™ | Artik"":2,""ЯF™ | aЯeyfuze"":1,""ЯF™ | ANIO ♪"":3,""ЯF™ | Shaolin Kayo"":1,""ЯF™ | FataGliz"":3,""ЯF™ | Praday ツ"":1,""ЯF™ | Le JOcello"":3,""ЯF™ | SMOKer"":5,""ЯF™ | Офицер88_ка"":3,""ЯF™️ | Avox"":9}","425","2995","40","1120","{""MG42"":6,""MP40"":5,""GEWEHR 43"":26,""LUGER P08"":1,""KARABINER 98K"":13,""PANZERSCHRECK"":1}","{""NAGANT M1895"":1,""DP-27"":6,""PPSH 41"":3,""SVT40"":26,""MOSIN NAGANT M38"":1,""BAZOOKA"":1,""MOSIN NAGANT 91/30"":1,""PPSH 41 W/DRUM"":1,""SCOPED SVT40"":3,""122MM HOWITZER [M1938 (M-30)]"":4,""D-5T 85MM [IS-1]"":1}"
"76561198352768439","'-TL- Bisper","12","46","0.26","2","0.14","0.54","12","0","0","0","382","17","{""ЯF™ | ToMy.."":1,""ЯF™ | LeBigJim"":2,""ЯF™ | Azan ツ"":3,""ЯF™ | QuickNickz"":5,""ЯF™ | Ouinston"":2,""ЯF™ | Bleesho 嘿咻"":2,""ЯF™ | Yo C Staz"":4,""ЯF™ | Grimaldum"":1,""ЯF™ | tn6HOT"":2,""ЯF™ | Семеыа"":2,""alex1老板"":1,""ЯF™ | Ice"":2,""ЯF™ | Squirrel"":1,""ЯF™ | Mandalore_n6"":2,""ЯF™ | aЯeyfuze"":2,""ЯF™ | ANIO ♪"":1,""ЯF™ | FataGliz"":2,""ЯF™ | L'Estek"":2,""ЯF™ | Zarkhen"":2,""ЯF™ | ArobebAse"":1,""ЯF™ | GRIM™"":1,""ЯF™ | Praday ツ"":1,""ЯF™ | pS *Coin2"":1,""ЯF™ | Офицер88_ка"":2,""ЯF™ | Lananas"":1}","{""ЯF™ | GRIM™"":1,""ЯF™ | Lananas"":1,""ЯF™ | Squirrel"":1,""ЯF™ | Yo C Staz"":1,""ЯF™ | Praday ツ"":2,""ЯF™ | Mandalore_n6"":2,""ЯF™ | Bleesho 嘿咻"":4}","92","610","240","900","{""KARABINER 98K"":12}","{""DP-27"":6,""PPSH 41"":2,""UNKNOWN"":1,""SVT40"":18,""MOSIN NAGANT M38"":3,""PPSH 41 W/DRUM"":4,""SCOPED SVT40"":5,""122MM HOWITZER [M1938 (M-30)]"":5,""D-5T 85MM [IS-1]"":2}"
"76561198000541092","ЯF™ | LeBigJim","49","65","0.75","8","0.57","0.76","14","1","2","1","266","14","{""Palustris"":2,""MS | PressF"":1,""Bleicher Junge"":6,""-TL- 3fm"":2,""Hellbro"":1,""=LordFarquaad="":1,""-TL- bic"":1,""-TL- zemo"":4,""President of DC"":11,""Data"":2,""G-R"":3,""MS | sNIPP"":2,""MS | Soldaad"":4,""-TL- Priime"":2,""MS | BommmΞl!ツ"":1,""MSAP"":1,""-TL- hippie"":2,""MS | Brother9"":3,""Reduktorius"":1,""-TL- Monster_Corndog"":2,""MS | Fuze"":4,""Lets"":1,""GAS"":3,""Vadiii.therapist"":1,""thelastpizzaroll"":1,""-TL- MrInsaneBunny"":2,""-TL- Potato"":1}","{""MS | PressF"":1,""Bleicher Junge"":6,""-TL- 3fm"":1,""-TL- bic"":1,""7stoner"":7,""-TL- zemo"":7,""-TL- Bisper"":2,""G-R"":1,""MS | sNIPP"":2,""MS | Soldaad"":2,""-TL- Priime"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":3,""-TL- hippie"":1,""-TL- Zunshin"":1,""MS | Fuze"":4,""Galtia"":1,""-TL- wendler"":1,""thelastpizzaroll"":1,""-TL- MrInsaneBunny"":2,""DooperDupinskie"":1,""-TL- Potato"":2}","347","1177","1140","20","{""SVT40"":43,""RG-42 GRENADE"":2,""PPSH 41 W/DRUM"":4}","{""MG42"":12,""MP40"":1,""STG44"":7,""FG42 x4"":3,""GEWEHR 43"":20,""KARABINER 98K"":9,""KARABINER 98K x8"":2,""150MM HOWITZER [sFH 18]"":11}"
"76561198090649178","Lets","23","16","1.44","5","0.27","0.19","5","0","1","1","917","17","{""ЯF™ | QuickNickz"":1,""ЯF™ | Bleesho 嘿咻"":1,""ЯF™ | Damien_G17"":2,""ЯF™ | Cido"":1,""alex1老板"":1,""ЯF™ | Ice"":1,""ЯF™ | Mandalore_n6"":1,""ЯF™ | ANIO ♪"":1,""ЯF™ | Zarkhen"":2,""ЯF™ | pS *Coin2"":1,""ЯF™ | PhallusDeTitan"":3,""ЯF™ | Lananas"":1}","{""ЯF™ | LeBigJim"":1,""ЯF™ | Ouinston"":1,""ЯF™ | Bleesho 嘿咻"":3,""ЯF™ | Damien_G17"":4,""ЯF™ | Nike Job"":1,""ЯF™️ | Comic Golden"":1,""ЯF™ | Squirrel"":2,""ЯF™ | Mandalore_n6"":1,""ЯF™ | FataGliz"":2,""ЯF™ | Zarkhen"":2,""ЯF™ | GRIM™"":1,""ЯF™ | pS *Coin2"":1,""ЯF™ | PhallusDeTitan"":1,""ЯF™ | Mouzeille ★ツ"":1,""ЯF™ | Lananas"":1}","209","270","940","560","{""MG42"":22,""PANZERSCHRECK"":1}","{""DP-27"":2,""SVT40"":8,""Unknown"":1,""MPL-50 SPADE"":1,""PPSH 41 W/DRUM"":1,""D-5T 85MM [IS-1]"":1,""MOSIN NAGANT 91/30"":1,""122MM HOWITZER [M1938 (M-30)]"":1}"
"76561198111606443","ЯF™ | aЯeyfuze","39","74","0.53","5","0.46","0.87","9","0","1","1","290","18","{""Palustris"":1,""MS | PressF"":2,""Bleicher Junge"":2,""Hellbro"":1,""=LordFarquaad="":4,""-TL- bic"":1,""7stoner"":3,""-TL- zemo"":5,""President of DC"":6,""Data"":1,""-TL- Shane"":4,""G-R"":1,""MS | sNIPP"":1,""MS | Soldaad"":4,""-TL- Priime"":1,""-TL- Tigers0204"":2,""Reduktorius"":1,""-TL- Monster_Corndog"":3,""MS | Fuze"":4,""MS | WBσ$$mλπ"":3,""GAS"":8,""Galtia"":2,""-TL- Emmanation"":1,""MACK"":2,""Vadiii.therapist"":1,""-TL- MrInsaneBunny"":3,""DooperDupinskie"":2,""-TL- Potato"":5}","{""Palustris"":2,""MS | PressF"":2,""=LordFarquaad="":4,""-TL- bic"":2,""7stoner"":1,""-TL- Bisper"":2,""-TL- Shane"":1,""G-R"":2,""MS | ΜΓ.DΘ"":1,""dabs"":1,""MS | sNIPP"":1,""-TL- Priime"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":2,""-TL- hippie"":1,""-TL- Monster_Corndog"":1,""MS | Fuze"":2,""MS | WBσ$$mλπ"":1,""GAS"":1,""-TL- Emmanation"":1,""Dr Spetz"":3,""MACK"":2,""Vadiii.therapist"":1,""-TL- MrInsaneBunny"":2,""DooperDupinskie"":1}","411","780","960","40","{""DP-27"":3,""SVT40"":10,""BAZOOKA"":1,""PPSH 41"":19,""PPSH 41 W/DRUM"":4,""SATCHEL CHARGE"":1,""MOSIN NAGANT 91/30"":1}","{""LUGER P08"":1,""KARABINER 98K x8"":1,""STG44"":4,""GEWEHR 43"":35,""150MM HOWITZER [sFH 18]"":6,""M43 STIELHANDGRANATE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":8,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":3,""KARABINER 98K"":6,""FG42 x4"":7,""MP40"":1}"
"76561198164512748","DooperDupinskie","31","39","0.79","8","0.36","0.46","5","0","0","0","529","36","{""ЯF™ | ToMy.."":1,""ЯF™ | LeBigJim"":1,""ЯF™ | Azan ツ"":1,""ЯF™ | Ouinston"":2,""ЯF™ | MAGWA"":5,""ЯF™ | TYSHONKA"":2,""ЯF™ | Yo C Staz"":3,""ЯF™ | tn6HOT"":1,""ЯF™ | Chamy-Fr"":1,""ЯF™ | Nike Job"":3,""ЯF™ | Artik"":1,""ЯF™ | Ice"":2,""ЯF™ | aЯeyfuze"":1,""ЯF™ | ANIO ♪"":2,""ЯF™ | Qiou"":1,""ЯF™ | L'Estek"":1,""ЯF™ | Zarkhen"":3,""ЯF™ | Praday ツ"":3,""ЯF™ | Prady33"":1,""ЯF™ | pS *Coin2"":1,""ЯF™️ | Avox"":2,""ЯF™ | Mouzeille ★ツ"":1}","{""ЯF™ | Erialkor"":3,""ЯF™ | MAGWA"":5,""ЯF™ | Hyws"":1,""ЯF™ | Yo C Staz"":2,""ЯF™ | tn6HOT"":1,""ЯF™ | Nike Job"":2,""ЯF™ | aЯeyfuze"":2,""ЯF™ | ANIO ♪"":3,""ЯF™ | Shaolin Kayo"":1,""ЯF™ | Qiou"":1,""ЯF™ | L'Estek"":2,""ЯF™ | Praday ツ"":2,""ЯF™ | Le JOcello"":1,""ЯF™ | Офицер88_ка"":1,""ЯF™️ | Avox"":3,""ЯF™ | Mouzeille ★ツ"":1}","249","869","240","1180","{""GEWEHR 43"":31}","{""DP-27"":2,""SVT40"":31,""SCOPED SVT40"":1,""HULL DT [IS-1]"":1,""45MM M1937 [T70]"":1,""D-5T 85MM [IS-1]"":1,""COAXIAL DT [IS-1]"":1,""57MM CANNON [ZiS-2]"":1}"
