"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198280295436","MS | Major WakandaPerhaps","240","0","240","240","2.81","0","0","42","0","0","0","9999","{}","{""ﾒ smiLk"":2,""ﾒ KillSwitcH"":1,""ﾒ ..... Did I Ask"":3,""ﾒ Bama"":1,""KRT™dp"":11,""ﾒ Fake"":1,""メ Stormin' Mormon"":4,""℧ | Jogon"":20,""ﾒ LuCid"":2,""KRT™Neddyveded"":8,""℧ | mystiC 3>"":16,""synR | EGGS"":2,""KRT™Titus"":7,""KRT™minicoa"":5,""KRT™Xi0s"":10,""℧ | Blackshooter"":14,""メ gnarwhalsam"":3,""ﾒ Thommy"":14,""メKX99"":3,""℧ | LadyBi"":2,""ﾒ prank"":2,""Ж︎ | =Ikea="":16,""//IPoopNaked"":1,""KRT™Milk"":12,""メkoala"":20,""ﾒ waterjug"":3,""ﾒ Twad"":11,""ﾒ DocHollyday"":1,""//bib0"":3,""ﾒ Lord.Jax"":2,""ﾒ Viking"":1,""ﾒ robo"":3,""ﾒ Bob!"":1,""synR | Láska"":5,""synR | Bobothemonk"":6,""KRT™Devli"":9,""メ SnarkySnacks"":1,""ﾒNova"":14}","2087","0","1780","0","{""S-MINE"":1,""TELLERMINE 43"":1,""155MM HOWITZER [M114]"":238}","{}"
"76561198119808172","'-TL-GIRLCOCKSUPREME","9","69","0.13","1","0.11","0.81","16","0","2","1","241","13","{""ﾒ KillSwitcH"":1,""ﾒ Fake"":1,""℧ | Jogon"":3,""℧ | mystiC 3>"":3,""ﾒ chosΞn"":20,""synR | EGGS"":3,""KRT™Titus"":1,""℧ | Blackshooter"":1,""メ gnarwhalsam"":7,""DoMo"":1,""Ж︎ | =Ikea="":3,""//IPoopNaked"":4,""ﾒ Gloomy Crusty"":1,""ﾒ Twad"":1,""ﾒ DocHollyday"":4,""メ Richie B."":1,""ﾒ robo"":9,""synR | Láska"":3,""メ Lord Stratos"":2}","{""ﾒNova"":1,""ﾒ Daddy"":1,""//IPoopNaked"":3,""℧ | mystiC 3>"":1,""メ gnarwhalsam"":1,""synR | Bobothemonk"":1,""℧ | Blackshooter"":1}","74","1399","1180","0","{""M1 GARAND"":8,""MK2 GRENADE"":1}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":8,""GEWEHR 43"":10,""PANZERSCHRECK"":1,""UNKNOWN"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""TELLERMINE 43"":1,""150MM HOWITZER [sFH 18]"":20,""M43 STIELHANDGRANATE"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":15,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":2,""FG42 x4"":1,""MP40"":3}"
"76561197993304879","'-TL- Sol","56","4","14","25","0.66","0.05","1","5","0","0","1730","612","{""DoMo"":1,""メKX99"":1,""℧ | Jogon"":1,""ﾒ DocHollyday"":1}","{""ﾒ ..... Did I Ask"":1,""メ Stormin' Mormon"":1,""℧ | Jogon"":1,""ﾒ LuCid"":1,""メ Bimpus"":2,""℧ | mystiC 3>"":3,""KRT™minicoa"":2,""KRT™Xi0s"":1,""℧ | Blackshooter"":2,""ﾒ Thommy"":3,""DoMo"":2,""メKX99"":4,""℧ | LadyBi"":4,""Ж︎ | =Ikea="":2,""KRT™Milk"":2,""メkoala"":1,""ﾒ waterjug"":1,""ﾒ Gloomy Crusty"":4,""ﾒ Twad"":1,""ﾒ DocHollyday"":2,""//bib0"":3,""メ Richie B."":2,""ﾒ Lord.Jax"":4,""Branderino"":2,""メ Lord Stratos"":1,""KRT™Devli"":4}","1290","15","1680","0","{""75MM CANNON [Sherman M4A3(75)W]"":13,""76MM M1 GUN [Sherman M4A3E2(76)]"":33,""COAXIAL M1919 [Sherman M4A3(75)W]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":8}","{""SATCHEL"":1,""75MM CANNON [PAK 40]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561199375411828","ﾒ PiPi'sWaterPark","9","3","3","4","0.13","0.04","2","0","0","0","2622","69","{""Data"":1,""Ж | Sciz"":2}","{""》Sherby"":1,""Reduktorius"":3,""MS | Soldaad"":1,""MrInsaneBunny"":1,""-TL- tacotastic"":2,""(WTH) HoneyBadger"":1}","62","3208","1380","0","{""GEWEHR 43"":1,""BOMBING RUN"":4,""STRAFING RUN"":4}","{""M97 TRENCH GUN"":2,""M1903 SPRINGFIELD"":1}"
"2f7af29cde020c87328fcf9ee2b8e1fa","TL NinxDrag","28","54","0.52","4","0.33","0.63","7","0","1","1","407","22","{""ﾒ KillSwitcH"":2,""ﾒ ..... Did I Ask"":1,""KRT™dp"":4,""ﾒ Fake"":1,""KRT™Neddyveded"":4,""℧ | mystiC 3>"":1,""ﾒ chosΞn"":5,""KRT™Titus"":5,""KRT™minicoa"":1,""KRT™Xi0s"":1,""℧ | Blackshooter"":2,""ﾒ Thommy"":2,""//IPoopNaked"":1,""KRT™Milk"":6,""メkoala"":1,""ﾒ Gloomy Crusty"":5,""ﾒ Twad"":1,""ﾒ DocHollyday"":2,""メ Richie B."":2,""メ Lord Stratos"":1,""synR | Bobothemonk"":1,""KRT™Devli"":4,""ﾒNova"":1}","{""ﾒ smiLk"":2,""ﾒ KillSwitcH"":1,""KRT™dp"":1,""KRT™Neddyveded"":3,""℧ | mystiC 3>"":1,""KRT™Titus"":2,""KRT™minicoa"":3,""KRT™Xi0s"":5,""ﾒ Thommy"":1,""Ж︎ | =Ikea="":1,""KRT™Milk"":6,""ﾒ Bob!"":1,""KRT™Devli"":1}","230","290","1280","0","{""M1 GARAND"":2,""M1 CARBINE"":1,""M1A1 THOMPSON"":1,""M3 GREASE GUN"":1,""BROWNING M1919"":23}","{""STG44"":2,""GEWEHR 43"":20,""PANZERSCHRECK"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":4,""150MM HOWITZER [sFH 18]"":4,""M43 STIELHANDGRANATE"":1,""M1A1 AT MINE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3,""MG42"":5,""KARABINER 98K"":10,""FG42 x4"":1,""MP40"":2}"
"76561198061127715","メ Stormin' Mormon","11","46","0.24","2","0.13","0.54","10","0","1","1","434","32","{""🅼🅴🅻🅻🅾🆆"":3,""》Sherby"":1,""-TL- Brewtish"":1,""-TL- zemo"":3,""Ж | exel"":1,""нѕ | Mongo"":3,""-TL- Shane"":2,""Ж | Sciz"":1,""Ж WIDOW"":2,""(WTH) HoneyBadger"":1,""gibbs"":1,""-TL- Crewmaxio"":2,""MS | Major WakandaPerhaps"":4,""Reduktorius"":3,""-TL- Sol"":1,""Trump's Right Ear"":3,""GAS"":2,""Galtia"":1,""deejayy"":1,""GPH-1608"":4,""Dr Spetz"":3,""нѕ | HAZAH"":1,""Agar312"":1,""-TL- Deic1de"":1}","{""Palustris"":1,""🅼🅴🅻🅻🅾🆆"":1,""Data"":2,""-TL- Shane"":1,""-TL- Crewmaxio"":1,""(WTH) Smurf | 我種藍莓"":1,""Reduktorius"":2,""-TL- tacotastic"":1,""GPH-1608"":1}","98","489","680","520","{""KARABINER 98K"":11}","{""M1 GARAND"":32,""M1 CARBINE"":3,""M3 GREASE GUN"":2,""BROWNING M1919"":2,""M97 TRENCH GUN"":1,""155MM HOWITZER [M114]"":4,""M6 37mm [M8 Greyhound]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561197970517668","ﾒ KillSwitcH","69","68","1.01","7","0.81","0.8","5","0","1","1","239","17","{""Palustris"":5,""TL NinxDrag"":1,""Bleicher Junge"":3,""🅼🅴🅻🅻🅾🆆"":1,""》Sherby"":2,""-TL- bic"":5,""-TL- Brewtish"":5,""-TL- zemo"":6,""Xan"":2,""Ж | exel"":4,""нѕ | Mongo"":2,""Data"":4,""-TL- Shane"":1,""Ж | yourmomsmother"":1,""Ж WIDOW"":2,""gibbs"":1,""(WTH) Smurf | 我種藍莓"":5,""MS | Major WakandaPerhaps"":1,""-TL- hippie"":1,""Ж | Whiskey"":1,""Reduktorius"":2,""-TL- Monster_Corndog"":1,""Trump's Right Ear"":1,""GAS"":4,""Galtia"":2,""deejayy"":1,""Dr Spetz"":2,""нѕ | HAZAH"":1,""Agar312"":1}","{""TL NinxDrag"":2,""-TL-GIRLCOCKSUPREME"":1,""Bleicher Junge"":3,""》Sherby"":4,""-TL- bic"":7,""-TL- Brewtish"":1,""Xan"":2,""Ж | exel"":1,""-TL- Shane"":5,""Ж WIDOW"":1,""(WTH) HoneyBadger"":1,""gibbs"":4,""MS | Soldaad"":4,""(WTH) Smurf | 我種藍莓"":1,""Ж | Whiskey"":5,""MrInsaneBunny"":3,""Reduktorius"":1,""-TL- Monster_Corndog"":4,""Galtia"":1,""deejayy"":3,""Dr Spetz"":2,""нѕ | HAZAH"":2,""=KЖ︎Pk="":5,""Agar312"":5,""DooperDupinskie"":1}","653","2805","60","980","{""MP40"":1,""STG44"":61,""S-MINE"":1,""SATCHEL"":2,""PANZERSCHRECK"":1,""M43 STIELHANDGRANATE"":3}","{""155MM HOWITZER [M114]"":1,""M1918A2 BAR"":6,""M1A1 THOMPSON"":4,""M1903 SPRINGFIELD"":3,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":1,""BAZOOKA"":3,""SATCHEL"":2,""M3 GREASE GUN"":2,""M1 CARBINE"":2,""M1 GARAND"":43}"
"76561198389173604","'=KЖ︎Pk=","20","58","0.34","3","0.23","0.68","6","0","5","2","232","22","{""ﾒ KillSwitcH"":5,""ﾒ Fake"":2,""℧ | Jogon"":3,""ﾒ LuCid"":7,""ﾒ chosΞn"":3,""synR | EGGS"":4,""℧ | Blackshooter"":1,""ﾒ Thommy"":2,""ﾒ Daddy"":4,""ﾒ prank"":2,""Ж︎ | =Ikea="":1,""//IPoopNaked"":6,""ﾒ waterjug"":2,""ﾒ Twad"":2,""メ Richie B."":3,""ﾒ robo"":2,""ﾒ Bob!"":1,""synR | Láska"":5,""メ Lord Stratos"":1,""synR | Bobothemonk"":2}","{""ﾒ smiLk"":3,""℧ | Jogon"":1,""ﾒ LuCid"":2,""メ gnarwhalsam"":3,""ﾒ Thommy"":1,""ﾒ prank"":2,""//IPoopNaked"":2,""ﾒ waterjug"":1,""メ Richie B."":2,""ﾒ robo"":1,""ﾒ Bob!"":1,""メ SnarkySnacks"":1}","194","335","1140","0","{""M1 CARBINE"":20}","{""MG42"":2,""MP40"":8,""STG44"":12,""S-MINE"":2,""FG42 x4"":1,""GEWEHR 43"":24,""KARABINER 98K"":6,""150MM HOWITZER [sFH 18]"":3}"
"76561198042624118","メ Richie B.","66","50","1.32","5","0.77","0.59","8","0","0","0","486","21","{""Palustris"":5,""Ж | Propaganda"":1,""Bleicher Junge"":2,""🅼🅴🅻🅻🅾🆆"":1,""-TL- bic"":7,""-TL- Brewtish"":1,""-TL- zemo"":2,""Xan"":2,""-TL- Shane"":2,""gibbs"":3,""MS | Soldaad"":1,""(WTH) Smurf | 我種藍莓"":2,""Ж | Whiskey"":1,""MrInsaneBunny"":3,""Reduktorius"":1,""-TL- Sol"":2,""Trump's Right Ear"":1,""-TL- tacotastic"":1,""GAS"":2,""GPH-1608"":1,""Dr Spetz"":3,""нѕ | HAZAH"":1,""=KЖ︎Pk="":2,""-TL- rwendler613"":2,""Agar312"":1}","{""Palustris"":3,""TL NinxDrag"":2,""-TL-GIRLCOCKSUPREME"":1,""Bleicher Junge"":10,""🅼🅴🅻🅻🅾🆆"":1,""-TL- bic"":6,""-TL- Brewtish"":3,""нѕ | Mongo"":2,""gibbs"":2,""(WTH) Smurf | 我種藍莓"":6,""Ж | Whiskey"":2,""MrInsaneBunny"":7,""-TL- Monster_Corndog"":4,""Trump's Right Ear"":1,""-TL- tacotastic"":1,""deejayy"":2,""Dr Spetz"":4,""нѕ | HAZAH"":2,""=KЖ︎Pk="":3,""-TL- rwendler613"":4}","530","1104","220","1120","{""GEWEHR 43"":66}","{""M1918A2 BAR"":4,""M1A1 THOMPSON"":3,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""BAZOOKA"":1,""SATCHEL"":1,""M3 GREASE GUN"":4,""M1 CARBINE"":2,""M1 GARAND"":31}"
"76561198153882959","ﾒ waterjug","18","33","0.55","3","0.21","0.39","7","0","1","1","821","27","{""》Sherby"":2,""-TL- zemo"":1,""Data"":2,""-TL- Shane"":1,""-TL- Grekker"":3,""Ж WIDOW"":1,""(WTH) HoneyBadger"":1,""MS | Soldaad"":2,""MS | Major WakandaPerhaps"":3,""-TL- hippie"":1,""Ж | Whiskey"":1,""Reduktorius"":2,""-TL- Monster_Corndog"":1,""-TL- Sol"":1,""Trump's Right Ear"":1,""GAS"":3,""Galtia"":1,""deejayy"":1,""GPH-1608"":1,""Dr Spetz"":1,""нѕ | HAZAH"":1,""=KЖ︎Pk="":1,""-TL- rwendler613"":1}","{""нѕ | Mongo"":1,""Data"":2,""-TL- Shane"":1,""gibbs"":2,""MS | Soldaad"":1,""-TL- hippie"":1,""Ж | Whiskey"":4,""Trump's Right Ear"":1,""GPH-1608"":1,""Dr Spetz"":1,""нѕ | HAZAH"":1,""=KЖ︎Pk="":2}","179","445","780","360","{""MP40"":11,""KARABINER 98K"":6,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1}","{""155MM HOWITZER [M114]"":3,""M1A1 THOMPSON"":2,""M97 TRENCH GUN"":2,""MK2 GRENADE"":2,""75MM CANNON [Sherman M4A3(75)W]"":1,""M1903 SPRINGFIELD"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":3,""BAZOOKA"":1,""M1 CARBINE"":2,""M1 GARAND"":16}"
