"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198000900613","'-TL- Crewmaxio","7","6","1.17","3","0.1","0.09","2","0","1","1","1511","50","{""Λ • Moasl"":1,""Λ • SirLinie"":1,""Λ •  Stromsan"":1,""Λ • Schandadh"":1,""Λ • Kelle Klaus"":1,""Λ • Kαrmα⁶⁹"":1}","{""Λ • Franz"":1,""Λ • Primo"":1,""Λ • Kröte"":1,""Λ • Patson"":2,""Λ • puremilk"":1,""Λ • No Aim™"":1}","86","135","1160","0","{""BROWNING M1919"":7}","{""STG44"":1,""GEWEHR 43"":4,""150MM HOWITZER [sFH 18]"":1}"
"76561198086610395","'-TL- DylanRedux","0","1","0","0","0","0.01","1","0","0","0","1947","1947","{""Λ • Bot_V1nce"":1}","{}","487","0","1320","60","{}","{""SATCHEL"":1}"
"76561198018512527","Palustris","15","31","0.48","3","0.22","0.45","6","0","1","1","378","20","{""Λ • Fostex"":1,""Λ • SGT DEE"":1,""Λ • Primo"":1,""Λ • Kelle Klaus"":2,""Λ • Erique"":2,""Λ • SUN"":1,""Λρ • Houserock"":1,""Λ • Qinaii"":2,""Λ • Bot_Yuri"":1,""Λ •  Stromsan"":2,""Λ • Butar"":2,""Λ • Lammkotlett"":1,""Λ • SirLinie"":2,""Λ • Bot_V1nce"":4,""Λ • Fabaca"":1,""Λ • Kröte"":3,""Λ • Hirschi"":4}","{""Λ • Fostex"":2,""Λ • Erique"":3,""Λ •  Stromsan"":1,""Λ • Butar"":1,""Λ • MagicMarc"":1,""Λ • Kαrmα⁶⁹"":1,""Λ • Kaiserkeks"":2,""Λ • No Aim™"":1,""Λ • Bot_V1nce"":1,""Λ • Kröte"":1,""Λ • Hirschi"":1}","93","645","800","380","{""M1 GARAND"":15}","{""MG42"":3,""STG44"":8,""FG42 x4"":1,""GEWEHR 43"":13,""STRAFING RUN"":1,""KARABINER 98K"":3,""150MM HOWITZER [sFH 18]"":2}"
"76561198067994148","Λ • Lammkotlett","33","51","0.65","4","0.48","0.74","6","0","1","1","220","31","{""-TL-kebab"":1,""-TL-  Gil"":1,""-TL- bic"":2,""-TL- zemo"":9,""-TL- Trance"":1,""нs | Sherby"":2,""DONK"":1,""GingerSlushii"":3,""Data"":1,""-TL- Shane"":2,""-TL- Koleto"":1,""Ж | Rath"":1,""MS | Soldaad"":3,""-TL- Tigers0204"":2,""-TL- hippie"":4,""MS | coco"":1,""MS | Brother9"":5,""-TL- 🅼🅴🅻🅻🅾🆆"":5,""MS | GAS"":1,""-TL- Ken"":3,""-TL- Deic1de"":2}","{""Palustris"":1,""-TL- bic"":1,""-TL- zemo"":3,""-TL- Trance"":1,""GingerSlushii"":2,""Data"":3,""-TL- Shane"":1,""-TL- HoBoTayTay"":1,""-TL- Tigers0204"":2,""-TL- hippie"":4,""MS | coco"":2,""MS | Brother9"":1,""Trump's Right Ear"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""MS | GAS"":1,""-TL- Ken"":4,""-TL- Deic1de"":2}","246","1047","800","140","{""GEWEHR 43"":33}","{""M1 GARAND"":46,""MK2 GRENADE"":2,""M1903 SPRINGFIELD"":1,""HULL M1919 [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198325841174","Λρ • SyxSenpai ʢ◉ᴥ◉ʡ","2","25","0.08","2","2","25","17","0","0","0","702","8","{""-TL-kebab"":1,""Ж | Sh(-)gun!"":2,""-TL- Trance"":3,""MS | The 4 Time"":4,""-TL-Mik"":1,""Ж | Rath"":4,""MS | Soldaad"":2,""-TL- Priime"":1,""Chilly"":2,""MS | coco"":2,""MS | Brother9"":2,""MS | GAS"":1}","{""MS | GAS"":1,""Smurf | 我種藍莓"":1}","11","385","680","100","{""KARABINER 98K"":2}","{""M1 GARAND"":19,""M1903 SPRINGFIELD"":2,""155MM HOWITZER [M114]"":4}"
"76561197984905748","Λ • SoftAir","25","28","0.89","5","0.36","0.41","4","1","2","1","770","20","{""-TL-kebab"":1,""-TL- bic"":1,""-TL- zemo"":1,""-TL- Trance"":2,""MS | The 4 Time"":3,""-TL-Mik"":1,""DONK"":1,""-TL- JVCK"":1,""sNIPP"":1,""MS | Soldaad"":2,""-TL- Tigers0204"":2,""Chilly"":2,""MS | Brother9"":2,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":1,""MS | GAS"":3,""-TL- Ken"":1,""DooperDupinskie"":1,""-TL- Deic1de"":1}","{""HODOR"":1,""-TL- zemo"":1,""GingerSlushii"":3,""-TL- Shane"":1,""-TL- HoBoTayTay"":2,""sNIPP"":1,""Ж | Rath"":1,""-TL- Priime"":1,""-TL- Use The PIAT!"":1,""MrInsaneBunny"":1,""MS | Brother9"":2,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":2,""Galtia"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""MS | GAS"":2}","166","165","1080","20","{""MG42"":9,""STG44"":3,""GEWEHR 43"":3,""LUGER P08"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":9}","{""BAZOOKA"":2,""M1 GARAND"":18,""M1A1 THOMPSON"":1,""M3 GREASE GUN"":1,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":3,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198089304927","Ж | Smithers","0","0","0","0","0","0","0","0","0","0","0","9999","{}","{}","0","0","1460","0","{}","{}"
"76561197960399869","3fm","8","9","0.89","4","0.12","0.13","4","2","0","0","1185","87","{""Λ • Moasl"":1,""Λ • Fostex"":1,""Λ • Kröte"":1,""Λ • Tsavok"":1,""Λ • Schandadh"":1,""Λ • Kelle Klaus"":3,""Λ • Kαrmα⁶⁹"":1}","{""Λ • Bruno"":1,""Λ • Butar"":1,""Λ • Franz"":1,""Λ • Fostex"":1,""Λ • PSyChO"":1,""Λ • Windaloum"":1,""Λ • Freshmaker"":1,""Λρ • SnipHorst"":1}","77","3078","1160","60","{""M1 GARAND"":3,""BOMBING RUN"":5}","{""MG42"":1,""STG44"":3,""GEWEHR 43"":2,""150MM HOWITZER [sFH 18]"":3}"
"76561198009498488","Data","50","23","2.17","7","0.72","0.33","3","0","0","0","555","36","{""Λ • Fostex"":1,""Λ • Flummsi"":3,""Λ • Schandadh"":2,""Λ • Primo"":1,""Λ • Kelle Klaus"":1,""Λ • Qinaii"":1,""Λ •  Stromsan"":1,""Λ • VSRI Friedrich"":1,""Λ • Lammkotlett"":3,""Λ • Patson"":2,""Λ • Salvatore"":2,""Λ • PSyChO"":1,""Λ • Fabaca"":1,""Λ • Kröte"":1,""Λ • Hirschi"":2}","{""Λρ • mcn"":2,""Λ • SGT DEE"":2,""Λ • Bruno"":1,""Λ • Schandadh"":2,""Λ • Leman Russ"":2,""Λ • Primo"":1,""Λ • Erique"":1,""Λ • Dur´Dur"":1,""Λρ • Houserock"":2,""Λ • Hellknight"":1,""Λ • Butar"":3,""Λ • MagicMarc"":1,""Λ • VSRI Friedrich"":4,""Λ • Lammkotlett"":1,""Λρ • SnipHorst"":1,""Λ • Patson"":2,""Λ • Sylvanoor"":1,""Λ • Salvatore"":1,""Λ • SirLinie"":3,""Λ • Moasl"":3,""Λ • puremilk"":1,""Λ • PSyChO"":4,""Λ • Freshmaker"":4,""Λ • Fabaca"":1,""Λ • madeofpixels"":1,""Λ • Schnitzel"":3,""Λ • Hirschi"":1}","611","0","860","400","{""M1 GARAND"":2,""M1903 SPRINGFIELD"":48}","{""MG42"":1,""MP40"":2,""GEWEHR 43"":15,""STRAFING RUN"":1,""KARABINER 98K"":2,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":1}"
"76561198052291659","Λ • Kaiserkeks","22","50","0.44","4","0.32","0.72","10","2","0","0","286","18","{""HODOR"":1,""Palustris"":2,""Ж | Sh(-)gun!"":4,""-TL- zemo"":2,""MS | The 4 Time"":3,""нs | Sherby"":1,""-TL- Shane"":1,""sNIPP"":3,""Ж | Rath"":2,""MS | Soldaad"":3,""-TL- Priime"":6,""-TL- Tigers0204"":1,""Chilly"":2,""MS | coco"":1,""MrInsaneBunny"":5,""MS | Brother9"":2,""Smurf | 我種藍莓"":2,""Galtia"":1,""MS | GAS"":5,""-TL- Ken"":1,""DooperDupinskie"":2}","{""-TL-kebab"":1,""Ж | Sh(-)gun!"":1,""-TL- Trance"":2,""-TL-Mik"":1,""GingerSlushii"":1,""sNIPP"":2,""Ж | Rath"":1,""-TL- Priime"":4,""-TL- Use The PIAT!"":1,""Chilly"":1,""MrInsaneBunny"":1,""MS | Brother9"":1,""Trump's Right Ear"":1,""Galtia"":1,""-TL- Peif_Rimgarr"":2,""-TL- rik"":1}","150","0","540","340","{""FG42"":2,""MG42"":12,""STG44"":7,""KARABINER 98K"":1}","{""M1 GARAND"":40,""M1918A2 BAR"":1,""MK2 GRENADE"":1,""M3 GREASE GUN"":1,""BROWNING M1919"":1,""M1903 SPRINGFIELD"":2,""155MM HOWITZER [M114]"":3,""M6 37mm [M8 Greyhound]"":1}"
