"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198067455404","'-TL- hippie","49","29","1.69","7","0.59","0.35","3","0","0","0","481","17","{""[VLK] lakatoš59"":1,""斯佩曼"":1,""[VLK] Pavlos97"":1,""[VLK] KW"":2,""[VLK] ŠtěpánCZ"":1,""Mayo"":1,""Yué"":3,""[VLK] Bille_PTP"":1,""[VLK] GoLeM"":2,""[VLK] ŘíZeK1S"":1,""GBI • KELLY_"":2,""[VLK] Fejfi"":2,""[VLK] Majk"":1,""[VLK] yoss"":2,""[VLK] melounmatej"":2,""[VLK] LoreMaster"":2,""◯ | s3p"":2,""[VLK] drakobiec"":2}","{""[VLK] Sandiary"":1,""[VLK] lakatoš59"":1,""斯佩曼"":1,""[VLK] Lucifer"":1,""[VLK] KW"":1,""[VLK] ŠtěpánCZ"":6,""[VLK] Ronnar"":4,""[VLK] ☣-Thums-☣™"":2,""Yué"":2,""[VLK] Bille_PTP"":1,""[VLK] GoLeM"":3,""[VLK] ŘíZeK1S"":1,""GBI • KELLY_"":2,""[VLK] Majk"":2,""[VLK] Bratr"":3,""[VLK] yoss"":3,""[VLK] zoomik23"":2,""[VLK] melounmatej"":3,""[VLK] Hopity CZ"":1,""[VLK] Slereth"":1,""[VLK] von_Karl"":3,""◯ | s3p"":2,""[VLK] WexxAr"":2,""[VLK] drakobiec"":1}","352","978","480","900","{""UNKNOWN"":1,""M1 GARAND"":48}","{""MG42"":5,""MP40"":6,""STG44"":2,""FG42 x4"":3,""GEWEHR 43"":9,""KARABINER 98K"":3,""M43 STIELHANDGRANATE"":1}"
"76561198034832038","[VLK] ☣-Thums-☣™","48","56","0.86","7","0.58","0.67","6","2","1","1","334","19","{""645"":3,""Palustris"":1,""MS | PressF"":3,""Hellbro"":5,""MS | Armin"":4,""-TL- BIgLionnnnn"":1,""-TL- zemo"":3,""-TL- Trance"":1,""-TL- Mr.Z"":2,""Data"":3,""-TL- JVCK"":2,""Cheeks"":1,""puck"":1,""- TL - Alex Von Doom"":1,""вит | Pyrochemist"":1,""-TL- JB"":1,""MS | Soldaad"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":5,""Amon-Ra St. Brown"":1,""-TL- Use The PIAT!"":3,""-TL- hippie"":2,""-TL- Bri*isH"":1,""MS | Brother9"":1,""-TL- tacotastic"":1,""-TL- rik"":2,""-TL- MrInsaneBunny"":3,""DooperDupinskie"":2}","{""645"":3,""Palustris"":2,""MS | PressF"":1,""Hellbro"":3,""MS | Armin"":6,""-TL- BIgLionnnnn"":1,""-TL- zemo"":2,""-TL- Trance"":4,""MS | WakandaPerhaps TG"":1,""Cheeks"":2,""вит | Pyrochemist"":3,""MS | Soldaad"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":2,""-TL- Use The PIAT!"":4,""MS | Brother9"":2,""-TL- Freskyy"":1,""-TL- tacotastic"":3,""-TL- rik"":1,""-TL- MrInsaneBunny"":3,""DooperDupinskie"":2}","381","0","520","600","{""FG42 x4"":24,""WALTHER P38"":3,""KARABINER 98K x8"":21}","{""155MM HOWITZER [M114]"":1,""M1918A2 BAR"":1,""M1A1 THOMPSON"":1,""MK2 GRENADE"":2,""75MM CANNON [Sherman M4A3(75)W]"":2,""M1903 SPRINGFIELD"":3,""BROWNING M1919"":5,""BOMBING RUN"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""BAZOOKA"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":3,""M6 37mm [M8 Greyhound]"":1,""M1 GARAND"":33}"
"76561198098807919","[VLK] Ronnar","42","50","0.84","6","0.51","0.6","8","0","0","0","305","22","{""645"":9,""MS | PressF"":1,""MS | Phionix"":3,""Hellbro"":1,""-TL- BIgLionnnnn"":1,""-TL- zemo"":1,""-TL- Trance"":1,""MS | WakandaPerhaps TG"":1,""-TL- Mr.Z"":1,""Data"":1,""-TL- JVCK"":1,""Cheeks"":4,""puck"":2,""MS | sNIPP"":3,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":2,""Amon-Ra St. Brown"":4,""-TL- hippie"":4,""-TL- Bri*isH"":1,""MS | Brother9"":1,""=TL=Blackasaurus Rex"":1,""-TL- tacotastic"":2,""-TL- MrInsaneBunny"":1,""DooperDupinskie"":1}","{""645"":1,""Palustris"":1,""MS | PressF"":2,""MS | Phionix"":1,""-TL- BIgLionnnnn"":3,""-TL- zemo"":4,""-TL- Trance"":1,""MS | WakandaPerhaps TG"":2,""-TL- Mr.Z"":4,""-TL- Shane"":1,""puck"":3,""вит | Pyrochemist"":2,""MS | sNIPP"":1,""MS | Soldaad"":2,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":1,""MSAP"":1,""-TL- Use The PIAT!"":1,""=TL=Blackasaurus Rex"":2,""Trump's Right Ear"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""-TL- Emmanation"":1,""-TL- False Reality"":2,""DooperDupinskie"":1}","410","370","540","440","{""MG42"":4,""MP40"":4,""GEWEHR 43"":15,""KARABINER 98K"":15,""PANZERSCHRECK"":3,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":4,""M1A1 THOMPSON"":2,""M97 TRENCH GUN"":1,""MK2 GRENADE"":3,""M1903 SPRINGFIELD"":1,""BROWNING M1919"":8,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""BAZOOKA"":2,""M1 GARAND"":27}"
"76561198004399730","[VLK] Spifly","23","24","0.96","9","0.28","0.29","10","0","0","0","759","37","{""MS | PressF"":2,""-TL- 3fm"":1,""-TL- zemo"":1,""MS | WakandaPerhaps TG"":1,""-TL- Shane"":3,""Cheeks"":2,""вит | Pyrochemist"":1,""MS | sNIPP"":2,""-TL- JB"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":1,""-TL- Use The PIAT!"":1,""MS | Brother9"":3,""-TL- Freskyy"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- rik"":1,""-TL- MrInsaneBunny"":1}","{""Palustris"":1,""TL NinxDrag"":1,""MS | PressF"":1,""-TL- 3fm"":3,""Hellbro"":1,""MS | WakandaPerhaps TG"":3,""Data"":1,""-TL- Shane"":1,""puck"":1,""MS | sNIPP"":1,""-TL- JB"":1,""-TL- Crewmaxio"":2,""MS | Soldaad"":1,""-TL- Tigers0204"":2,""-TL- Use The PIAT!"":1,""-TL- Freskyy"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1}","194","885","700","460","{""MP40"":4,""STG44"":10,""UNKNOWN"":1,""KARABINER 98K"":8}","{""UNKNOWN"":1,""M1 GARAND"":20,""M1 CARBINE"":1,""BOMBING RUN"":1,""BROWNING M1919"":1}"
"76561198028703277","[VLK] PemiK","27","57","0.47","2","0.32","0.69","9","0","1","1","327","14","{""645"":1,""MS | PressF"":5,""Hellbro"":5,""MS | Armin"":5,""-TL- zemo"":2,""Data"":3,""-TL- JVCK"":2,""Cheeks"":3,""- TL - Alex Von Doom"":1,""вит | Pyrochemist"":2,""MS | Soldaad"":4,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":3,""Amon-Ra St. Brown"":9,""MS | Brother9"":1,""=TL=Blackasaurus Rex"":1,""Trump's Right Ear"":2,""-TL- Emmanation"":2,""-TL- MrInsaneBunny"":2,""DooperDupinskie"":3}","{""645"":1,""TL NinxDrag"":1,""MS | PressF"":3,""MS | Phionix"":1,""Hellbro"":1,""MS | Armin"":6,""-TL- zemo"":1,""Cheeks"":2,""puck"":2,""вит | Pyrochemist"":1,""-TL- Tigers0204"":1,""-TL- Use The PIAT!"":2,""MS | Brother9"":1,""Trump's Right Ear"":1,""-TL- tacotastic"":3}","177","925","520","560","{""GEWEHR 43"":26,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":9,""M97 TRENCH GUN"":1,""MK2 GRENADE"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""M1903 SPRINGFIELD"":3,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":3,""M1 CARBINE"":2,""M1 GARAND"":34}"
"76561198000668488","[VLK] 🅳🆆🅾🆁🅳","26","37","0.7","3","0.31","0.44","6","0","0","0","698","23","{""645"":3,""Palustris"":2,""TL NinxDrag"":1,""-TL- 3fm"":2,""-TL- zemo"":2,""-TL- Trance"":2,""MS | WakandaPerhaps TG"":3,""-TL- Shane"":6,""Cheeks"":1,""вит | Pyrochemist"":4,""MS | sNIPP"":1,""-TL- Tigers0204"":1,""MS | Brother9"":1,""=TL=Blackasaurus Rex"":1,""-TL- Freskyy"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""-TL- rik"":2}","{""TL NinxDrag"":2,""MS | Phionix"":1,""-TL- 3fm"":1,""-TL- BIgLionnnnn"":2,""-TL- zemo"":1,""MS | WakandaPerhaps TG"":1,""-TL- Mr.Z"":2,""-TL- Shane"":1,""puck"":1,""вит | Pyrochemist"":4,""-TL- JB"":1,""-TL- Crewmaxio"":1,""-TL- Tigers0204"":2,""=TL=Blackasaurus Rex"":1,""-TL- Freskyy"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- rik"":3}","220","664","260","980","{""MP40"":9,""UNKNOWN"":1,""GEWEHR 43"":16}","{""M1 GARAND"":34,""MK2 GRENADE"":1,""BROWNING M1919"":1,""M97 TRENCH GUN"":1}"
"76561198021565312","[VLK] HellfuhRer","16","55","0.29","2","0.19","0.66","11","0","2","1","399","20","{""645"":4,""MS | PressF"":3,""Hellbro"":5,""MS | Armin"":2,""-TL- zemo"":1,""Data"":1,""-TL- JVCK"":5,""- TL - Alex Von Doom"":1,""-TL- Koleto"":1,""MS | Soldaad"":3,""MS | BommmΞl!ツ"":1,""Amon-Ra St. Brown"":6,""MSAP"":1,""-TL- Use The PIAT!"":1,""-TL- Bri*isH"":4,""=TL=Blackasaurus Rex"":1,""Trump's Right Ear"":1,""-TL- Emmanation"":4,""-TL- rik"":1,""-TL- MrInsaneBunny"":3,""DooperDupinskie"":6}","{""MS | PressF"":2,""-TL- zemo"":1,""-TL- Trance"":1,""-TL- Mr.Z"":2,""Data"":2,""MS | BommmΞl!ツ"":1,""MSAP"":1,""-TL- Use The PIAT!"":2,""Trump's Right Ear"":1,""-TL- tacotastic"":1,""-TL- Emmanation"":1,""-TL- MrInsaneBunny"":1}","238","658","600","460","{""MP40"":2,""STG44"":5,""GEWEHR 43"":4,""75MM CANNON [PAK 40]"":2,""M43 STIELHANDGRANATE"":3}","{""155MM HOWITZER [M114]"":6,""M1A1 THOMPSON"":2,""MK2 GRENADE"":1,""M1903 SPRINGFIELD"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":6,""76MM M1 GUN [Sherman M4A3E2(76)]"":12,""Sd.Kfz.181 Tiger 1"":1,""Sherman M4A3E2(76)"":1,""M1 CARBINE"":2,""M1 GARAND"":21,""COAXIAL M1919 [Stuart M5A1]"":1}"
"76561198025397597","Spamdini","1","3","0.33","1","0.01","0.04","3","0","0","0","3857","277","{""Yué"":1,""[VLK] ULTIMATE"":2}","{""[VLK] Bratr"":1}","228","50","1560","20","{""37MM CANNON [Stuart M5A1]"":1}","{""FG42 x4"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2}"
"76561198109723924","[VLK] Bille_PTP","34","51","0.67","5","0.41","0.61","8","0","1","1","399","31","{""645"":4,""Palustris"":1,""MS | PressF"":4,""-TL- 3fm"":2,""Hellbro"":1,""-TL- BIgLionnnnn"":1,""-TL- zemo"":1,""-TL- Trance"":2,""-TL- Shane"":3,""Cheeks"":2,""puck"":3,""вит | Pyrochemist"":1,""-TL- JB"":2,""-TL- Crewmaxio"":1,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":3,""Amon-Ra St. Brown"":4,""-TL- Use The PIAT!"":2,""-TL- hippie"":1,""=TL=Blackasaurus Rex"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- Emmanation"":4,""-TL- rik"":1,""DooperDupinskie"":2}","{""645"":1,""Palustris"":3,""MS | PressF"":2,""-TL- 3fm"":2,""MS | Armin"":2,""-TL- BIgLionnnnn"":1,""-TL- zemo"":1,""-TL- Trance"":2,""MS | WakandaPerhaps TG"":1,""-TL- Mr.Z"":2,""Cheeks"":1,""puck"":1,""вит | Pyrochemist"":1,""-TL- Tigers0204"":1,""MS | BommmΞl!ツ"":1,""-TL- Use The PIAT!"":4,""-TL- hippie"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- rik"":2,""-TL- MrInsaneBunny"":2,""DooperDupinskie"":2}","257","510","440","620","{""FG42"":5,""STG44"":9,""GEWEHR 43"":13,""KARABINER 98K"":6,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":4,""MK2 GRENADE"":1,""M1903 SPRINGFIELD"":1,""37MM CANNON [Stuart M5A1]"":2,""BROWNING M1919"":7,""BOMBING RUN"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""M1 CARBINE"":2,""STRAFING RUN"":1,""M1 GARAND"":30}"
"76561197972543279","MS | sNIPP","58","52","1.12","5","0.7","0.63","6","1","1","1","445","19","{""[VLK] Sandiary"":1,""斯佩曼"":1,""[VLK] Simply"":4,""[VLK] Spifly"":1,""[VLK] BOREC"":1,""[VLK] KW"":1,""[VLK] ŠtěpánCZ"":1,""Mayo"":1,""[VLK] Ronnar"":1,""Yué"":9,""[VLK] sody"":1,""[VLK] ULTIMATE"":2,""[VLK] Gkost"":12,""[VLK] GoLeM"":4,""GBI • KELLY_"":5,""[VLK] Fejfi"":1,""[VLK] LoreMaster"":1,""[VLK] Slereth"":1,""[VLK] Dorfieee"":2,""[VLK] drakobiec"":2}","{""[VLK] Commissar S7K8"":2,""[VLK] Sandiary"":1,""斯佩曼"":2,""[VLK] Simply"":4,""[VLK] Spifly"":2,""[VLK] BOREC"":4,""[VLK] KW"":1,""Mayo"":1,""[VLK] Lucky"":1,""[VLK] Ronnar"":3,""Yué"":1,""[VLK] sody"":3,""[VLK] GoLeM"":2,""[VLK] ŘíZeK1S"":1,""GBI • KELLY_"":1,""[VLK] Fejfi"":1,""[VLK] yoss"":1,""[VLK] zoomik23"":2,""[VLK] melounmatej"":3,""[VLK] Fiskenzie"":2,""[VLK] LoreMaster"":5,""[VLK] Slereth"":3,""[VLK] Dorfieee"":4,""[VLK] Ketchupikz"":1,""[VLK] WexxAr"":1,""[VLK] 🅳🆆🅾🆁🅳"":1,""[VLK] CT-7567"":3,""[VLK] drakobiec"":2}","554","225","880","300","{""BAZOOKA"":4,""M1 GARAND"":53,""MK2 GRENADE"":1}","{""STG44"":5,""GEWEHR 43"":13,""150MM HOWITZER [sFH 18]"":12,""STRAFING RUN"":1,""MG42"":4,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":2,""KARABINER 98K"":3,""FG42 x4"":9,""MP40"":3}"
