"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198844837045","W³.［J.U.M.P］Ori","7","5","1.4","3","0.08","0.06","3","1","0","0","1751","103","{""Zunshin"":1,""-TL- Deic1de"":1,""Amon-Ra St. Brown"":1,""(WTHr) GingerSlushii"":1,""-TL- Downfall Enjoyer"":1}","{""-TL-  Gil"":1,""-TL- Potato"":1,""-TL- Trance"":1,""-TL- Tigers0204"":1,""-TL- tacotastic"":1,""℧ | Blackshooter"":1,""=TL=Blackasaurus Rex"":1}","103","0","1520","80","{""M6 37mm [M8 Greyhound]"":1,""37MM CANNON [Stuart M5A1]"":3,""76MM M1 GUN [Sherman M4A3E2(76)]"":3}","{""SATCHEL"":1,""GEWEHR 43"":1,""PRECISION STRIKE"":1,""150MM HOWITZER [sFH 18]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198128859078","gzh02darling","0","9","0","0","0","0.11","9","1","0","0","1681","-103","{""Zunshin"":1,""-TL- Ken"":1,""-TL- JVCK"":2,""-TL- Trance"":1,""Amon-Ra St. Brown"":2,""-TL- Monster_Corndog"":1,""=TL=Blackasaurus Rex"":1}","{}","320","195","1540","40","{}","{""MG42"":1,""STG44"":1,""GEWEHR 43"":1,""PANZERSCHRECK"":1,""150MM HOWITZER [sFH 18]"":2,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561197960399869","'-TL- 3fm","25","20","1.25","4","0.29","0.23","3","0","0","0","969","21","{""芜湖LoveYoona"":1,""LOFIFE"":3,""无败"":1,""做你的小太阳❀"":3,""W³.沃思妮黛蒂"":1,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":3,""W³.SNIPERBOY"":1,""Condoms Wholesale"":1,""W³.青丘"":1,""W³.SakuraTears"":1,""W³.小啊斌"":3,""W³.［J.U.M.P］zhouzimu"":1}","{""芜湖LoveYoona"":2,""LOFIFE"":1,""做你的小太阳❀"":5,""W³.沃思妮黛蒂"":2,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":2,""W³.1ance"":1,""Condoms Wholesale"":1,""赫萝"":1,""W³HilarieKing"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>房東"":4,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>战友"":2,""TsingY1"":1,""W³.小啊斌"":1,""W³.［J.U.M.P］zhouzimu"":1}","176","450","1380","0","{""GEWEHR 43"":25}","{""M1 GARAND"":18,""M3 GREASE GUN"":2}"
"76561198193020965","Amon-Ra St. Brown","197","0","197","197","2.31","0","0","14","0","0","0","9999","{}","{""555"":1,""芜湖LoveYoona"":8,""W3-最爱拳头"":6,""W³.[J.U.M.P]平塔岛象龟"":1,""W³.大杯可乐加少冰"":11,""LOFIFE"":1,""无败"":15,""W³.[J.U.M.P] Rabbit"":7,""W³.沃思妮黛蒂"":5,""青丝"":1,""W³.SNIPERBOY"":2,""W³.［J.U.M.P］Adam Kang"":4,""W³.1ance"":6,""W³.[J.U.M.P] GARY TAO"":1,""W³.[J.U.M.P] Cx330"":3,""皇家小子"":10,""𝓜𝔂𝓖𝓞 ✿ 長崎 そよ ✿"":13,""Condoms Wholesale"":16,""赫萝"":3,""W³.［J.U.M.P］Ori"":1,""W³.［J.U.M.P］墨"":1,""gzh02darling"":2,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>战友"":1,""W³.菊刺郎的冬天"":2,""W³.青丘"":7,""W³.SakuraTears"":7,""LilJinx"":4,""W³.East wind"":5,""W³.风雩KakA"":1,""W³.白天"":3,""W³.小啊斌"":7,""W³.［J.U.M.P］zhouzimu"":9,""泡泡nebula"":17,""= Watermelon"":16}","1628","10","1780","0","{""150MM HOWITZER [sFH 18]"":197}","{}"
"76561198113303427","W³.<𝓑𝓮𝓽𝓪>Warm248 ho","106","0","106","106","1.24","0","0","3","0","0","0","9999","{}","{""Para"":6,""Palustris"":5,""-TL-  Gil"":1,""ColeTrain"":10,""(WTHr) GingerSlushii"":6,""-TL- ULFBERHT"":2,""-TL- bic"":4,""OldnWashed"":11,""-TL- Trance"":3,""IV477"":2,""-TL- Mr.Z"":1,""-TL- Bisper"":1,""℧ | Blackshooter"":4,""Data"":1,""-TL- Uncle Cletus"":3,""-TL- Shane"":4,""MisterNitro"":1,""Cheeks"":2,""-TL- HotDog-7"":2,""(WTH) HoneyBunnyBadger"":6,""-TL- MACK"":3,""=TL=Blackasaurus Rex"":2,""Trump's Right Ear"":2,""-TL- tacotastic"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":10,""-TL- bueno"":1,""Dr Spetz"":1,""-TL- rik"":2,""-TL- rwendler613"":2,""DooperDupinskie"":2,""-TL- Deic1de"":4}","855","0","1780","0","{""155MM HOWITZER [M114]"":106}","{}"
"76561198129362528","W³.[J.U.M.P] GARY TAO","10","25","0.4","3","0.12","0.29","8","0","1","1","861","27","{""(WTHr) GingerSlushii"":1,""-TL- bic"":1,""-TL- Mr.Z"":2,""℧ | Blackshooter"":1,""Data"":5,""-TL- Uncle Cletus"":1,""Cheeks"":3,""-TL- Tigers0204"":1,""(WTH) HoneyBunnyBadger"":2,""-TL- MACK"":2,""Amon-Ra St. Brown"":1,""-TL- hippie"":1,""Dr Spetz"":2,""-TL- Ken"":2}","{""-TL-  Gil"":1,""-TL- ULFBERHT"":1,""-TL- bic"":1,""IV477"":1,""-TL- Uncle Cletus"":1,""-TL- Shane"":1,""Cheeks"":1,""-TL- Tigers0204"":1,""Dr Spetz"":1,""-TL- Ken"":1}","224","425","1200","160","{""M1 GARAND"":1,""M1A1 AT MINE"":1,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":2,""57MM CANNON [M1 57mm]"":4}","{""MG42"":3,""STG44"":3,""FG42 x4"":4,""GEWEHR 43"":8,""KARABINER 98K"":4,""150MM HOWITZER [sFH 18]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2}"
"76561199054187336","W³[J.U.M.P]救护医师","17","6","2.83","15","0.2","0.07","5","0","0","0","1567","107","{""Zunshin"":1,""Spamdini"":2,""-TL- JVCK"":2,""OldnWashed"":1}","{""Para"":1,""Palustris"":2,""ColeTrain"":1,""OldnWashed"":1,""℧ | Blackshooter"":1,""-TL- Uncle Cletus"":1,""-TL- hippie"":1,""=TL=Blackasaurus Rex"":4,""Trump's Right Ear"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- rik"":2,""DooperDupinskie"":1}","423","0","1520","120","{""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":1,""M6 37mm [M8 Greyhound]"":15}","{""GEWEHR 43"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":4}"
"76561199474456857","W³.<𝓣𝓪𝓸𝓖𝓾𝓷>战友","17","23","0.74","8","0.2","0.27","7","1","0","0","1150","36","{""-TL- 3fm"":2,""-TL- bic"":1,""-TL- Mr.Z"":4,""MisterNitro"":1,""Cheeks"":2,""-TL- Downfall Enjoyer"":1,""-TL- HotDog-7"":1,""-TL- Tigers0204"":2,""Amon-Ra St. Brown"":1,""-TL- hippie"":1,""Dr Spetz"":1,""-TL- Ken"":3,""-TL- rwendler613"":1,""-TL- Potato"":2}","{""-TL-  Gil"":1,""-TL- Trance"":2,""-TL- Mr.Z"":1,""-TL- Bisper"":1,""-TL- HotDog-7"":3,""-TL- MACK"":1,""-TL- Peif_Rimgarr"":1,""-TL- bueno"":1,""-TL- Ken"":1,""-TL- rwendler613"":4,""-TL- Deic1de"":1}","187","136","220","1200","{""M1 GARAND"":14,""M1A1 THOMPSON"":1,""M97 TRENCH GUN"":2}","{""MG42"":4,""MP40"":2,""STG44"":3,""FG42 x4"":2,""GEWEHR 43"":11,""150MM HOWITZER [sFH 18]"":1}"
"76561198025397597","Spamdini","16","2","8","13","0.19","0.02","1","2","0","0","4596","499","{""吾妻拂晓"":1,""𝓜𝔂𝓖𝓞 ✿ 長崎 そよ ✿"":1}","{""W3-最爱拳头"":1,""W³. 橙子姐姐"":2,""W³[J.U.M.P]救护医师"":2,""吾妻拂晓"":3,""Condoms Wholesale"":1,""山海潮起鲸落"":1,""LilJinx"":2,""TsingY1"":2,""泡泡nebula"":2}","344","0","1140","540","{""20MM KWK 30 [Sd.Kfz.121 Luchs]"":3,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":12}","{""BAZOOKA"":1,""SATCHEL"":1}"
"76561198837473279","W³HilarieKing","6","39","0.15","2","0.07","0.46","14","0","0","0","643","18","{""-TL- 3fm"":1,""(WTHr) GingerSlushii"":2,""OldnWashed"":1,""-TL- Mr.Z"":5,""-TL- Shane"":1,""MisterNitro"":1,""-TL- JVCK"":1,""-TL- Downfall Enjoyer"":1,""-TL- HotDog-7"":1,""-TL- Tigers0204"":2,""(WTH) HoneyBunnyBadger"":1,""-TL- MACK"":1,""-TL- Monster_Corndog"":3,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""-TL- Peif_Rimgarr"":9,""-TL- rwendler613"":4,""-TL- Potato"":2,""-TL- Deic1de"":1}","{""-TL- Ken"":1,""-TL- rik"":1,""-TL- MACK"":1,""-TL- HotDog-7"":1,""-TL- Tigers0204"":1,""-TL- rwendler613"":1}","58","517","180","920","{""BAZOOKA"":1,""M1 GARAND"":5}","{""MG42"":8,""MP40"":5,""STG44"":1,""GEWEHR 43"":21,""KARABINER 98K"":2,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1}"
