"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199106959790","[J.U.M.P] SolitaryValiant","197","0","197","197","2.31","0","0","7","0","0","0","9999","{}","{""Palustris"":5,""-TL-GIRLCOCKSUPREME"":19,""🅼🅴🅻🅻🅾🆆"":23,""-TL- 3fm"":2,""-TL- bic"":1,""-TL- zemo"":2,""-TL- POWD3RMONK3Y"":1,""Data"":2,""Cheeks"":2,""puck"":19,""-TL- JB"":1,""Ya Mon Jo"":3,""-TL- HotDog-7"":26,""-TL- Crewmaxio"":3,""-TL- Edotensei"":6,""MS | TEA"":16,""Ken"":2,""⼕龱丂爪龱丂"":1,""MSAP"":1,""-TL- hippie"":2,""MrInsaneBunny"":2,""MS | Brother9"":3,""Reduktorius"":7,""-TL- Monster_Corndog"":1,""=TL=Blackasaurus Rex"":9,""-TL- REDACTED"":19,""Galtia"":1,""-TL- Gino"":1,""GPH-1608"":9,""Dr Spetz"":6,""MACK"":2}","1547","0","1760","0","{""150MM HOWITZER [sFH 18]"":197}","{}"
"76561199083577252","yuko","156","48","3.25","14","1.83","0.56","4","0","0","0","347","17","{""-TL-  Gil"":3,""-TL- HCA orga SUX"":3,""-TL- zemo"":6,""-TL- POWD3RMONK3Y"":1,""Cheeks"":3,""puck"":1,""Itacklefatkids"":1,""-TL- Crewmaxio"":1,""-TL- Zunshin"":1,""MS | Brother9"":4,""Reduktorius"":8,""-TL- REDACTED"":1,""Galtia"":2,""-TL- Gino"":1,""GPH-1608"":1,""Dr Spetz"":3,""-TL- rik"":1,""🏳️‍🌈 Dr. Jill Biden 🏳️‍🌈"":1,""DooperDupinskie"":6}","{""🅼🅴🅻🅻🅾🆆"":2,""-TL- 3fm"":4,""-TL-  Gil"":8,""-TL- HCA orga SUX"":12,""-TL- zemo"":11,""-TL- POWD3RMONK3Y"":3,""Data"":6,""Cheeks"":3,""puck"":5,""-TL- Crewmaxio"":11,""MS | TEA"":3,""-TL- hippie"":1,""MrInsaneBunny"":5,""MS | Brother9"":1,""Reduktorius"":17,""=TL=Blackasaurus Rex"":1,""-TL- REDACTED"":3,""Galtia"":14,""-TL- Peif_Rimgarr"":2,""-TL- Gino"":2,""GPH-1608"":4,""Dr Spetz"":10,""MACK"":2,""-TL- rik"":5,""-TL- rwendler613"":3,""DooperDupinskie"":18}","1166","210","960","360","{""STG44"":7,""GEWEHR 43"":148,""FELDSPATEN"":1}","{""M1 GARAND"":35,""M1 CARBINE"":1,""BROWNING M1919"":2,""M1903 SPRINGFIELD"":7,""HULL M1919 [Sherman M4A3E2(76)]"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198098710159","Nightsaw9","116","0","116","116","1.36","0","0","10","0","0","0","9999","{}","{""晚点睡晚点"":2,""W³.房東"":2,""W³. 橙子姐姐"":6,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>芹菜"":3,""W³.LilJinx"":5,""幼儿园安老师"":1,""𝓢𝓛𝓚 | 柠檬泡椒"":1,""小马宝莉"":1,""W³.丹羽真"":2,""W³.[J.U.M.P]WenRo"":5,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":5,""吾妻拂晓"":2,""W³.1ance"":13,""幼儿园洗脚大师"":3,""W³.[J.U.M.P] GARY TAO"":5,""W³.[J.U.M.P] Cx330"":3,""W³.[J.U.M.P]花园宝宝"":4,""OWEN"":2,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>战友"":2,""截教弟子- 鲨鱼辣椒"":2,""W³.青丘"":11,""W³.SakuraTears"":2,""mao4der"":2,""W³.East wind"":4,""小笼包KakA∞"":1,""Kehan"":3,""【Family Guy】Pro"":3,""W³.zhouzimu"":4,""W³.[J.U.M.P] 汪汪汪"":2,""截教弟子-虚极静笃"":1,""群友欺我老无力"":3,""W³.小啊斌"":5,""W³.Miracle"":6}","966","0","1740","0","{""155MM HOWITZER [M114]"":116}","{}"
"76561198425330653","GPH-1608","102","64","1.59","12","1.2","0.75","5","0","0","0","276","12","{""yuko"":4,""🅜 ||XuanLing"":1,""晚点睡晚点"":1,""W³.房東"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>芹菜"":1,""W³.LilJinx"":3,""是橘子皮"":2,""W³.[J.U.M.P]山海潮起鲸落"":1,""W³.丹羽真"":3,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":2,""W³.1ance"":1,""W³.[J.U.M.P] GARY TAO"":2,""W³.[J.U.M.P]SARA"":2,""W³.［J.U.M.P］Ori"":1,""截教弟子- 鲨鱼辣椒"":1,""W³.青丘"":3,""[J.U.M.P] SolitaryValiant"":9,""mao4der"":3,""W³.East wind"":1,""Kehan"":6,""【Family Guy】Pro"":2,""W³.zhouzimu"":6,""W³.[J.U.M.P] 汪汪汪"":1,""截教弟子-虚极静笃"":1,""W³.小啊斌"":5,""W³.Miracle"":1}","{""yuko"":1,""🅜 ||XuanLing"":1,""W³.房東"":4,""W³. 橙子姐姐"":2,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>芹菜"":1,""W³.LilJinx"":1,""幼儿园安老师"":2,""是橘子皮"":3,""𝓢𝓛𝓚 | 柠檬泡椒"":4,""W³.丹羽真"":3,""W³.[J.U.M.P]WenRo"":2,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":4,""W³[J.U.M.P]救护医师"":1,""吾妻拂晓"":1,""W³.1ance"":5,""幼儿园洗脚大师"":3,""W³.[J.U.M.P] GARY TAO"":4,""W³.[J.U.M.P] Cx330"":6,""W³.[J.U.M.P]花园宝宝"":4,""W³.奶油獅"":1,""W³.[J.U.M.P]SARA"":1,""赫萝"":3,""截教弟子- 鲨鱼辣椒"":4,""W³.青丘"":3,""W³.SakuraTears"":1,""mao4der"":4,""W³.East wind"":7,""Kehan"":6,""【Family Guy】Pro"":1,""W³.zhouzimu"":6,""W³.[J.U.M.P] 汪汪汪"":2,""截教弟子-虚极静笃"":1,""群友欺我老无力"":1,""W³.小啊斌"":3,""W³.Miracle"":6}","768","25","920","300","{""BAZOOKA"":1,""UNKNOWN"":1,""M1 GARAND"":68,""M1A1 THOMPSON"":9,""M3 GREASE GUN"":3,""BROWNING M1919"":20}","{""KARABINER 98K x8"":1,""STG44"":7,""GEWEHR 43"":34,""150MM HOWITZER [sFH 18]"":9,""SATCHEL"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""KARABINER 98K"":5,""FG42 x4"":5,""MP40"":1}"
"76561199083606250","MS | Brother9","93","41","2.27","13","1.09","0.48","3","0","1","1","566","20","{""yuko"":1,""W³.LilJinx"":4,""是橘子皮"":1,""W³.[J.U.M.P]山海潮起鲸落"":1,""W³.丹羽真"":3,""W³.[J.U.M.P]WenRo"":3,""W³.1ance"":1,""幼儿园洗脚大师"":3,""W³.[J.U.M.P] Cx330"":2,""W³.[J.U.M.P]花园宝宝"":2,""W³.[J.U.M.P]SARA"":6,""[J.U.M.P] SolitaryValiant"":3,""Kehan"":2,""W³.zhouzimu"":5,""群友欺我老无力"":2,""W³.Miracle"":2}","{""yuko"":4,""🅜 ||XuanLing"":2,""W³. 橙子姐姐"":5,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>芹菜"":2,""是橘子皮"":1,""𝓢𝓛𝓚 | 柠檬泡椒"":2,""W³.丹羽真"":4,""W³.[J.U.M.P]WenRo"":3,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":1,""W³.1ance"":3,""幼儿园洗脚大师"":2,""W³.[J.U.M.P] GARY TAO"":5,""W³.[J.U.M.P] Cx330"":3,""W³.[J.U.M.P]花园宝宝"":3,""W³.[J.U.M.P]SARA"":6,""熬夜的熊猫"":1,""截教弟子- 鲨鱼辣椒"":2,""W³.青丘"":2,""W³.SakuraTears"":1,""mao4der"":3,""W³.East wind"":7,""Kehan"":5,""W³.zhouzimu"":6,""W³.[J.U.M.P] 汪汪汪"":2,""截教弟子-虚极静笃"":1,""群友欺我老无力"":3,""W³.小啊斌"":5,""W³.Miracle"":9}","705","0","1140","180","{""M1 GARAND"":8,""M1903 SPRINGFIELD"":85}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""KARABINER 98K x8"":1,""STG44"":6,""GEWEHR 43"":17,""150MM HOWITZER [sFH 18]"":3,""MG42"":3,""KARABINER 98K"":4,""FG42 x4"":3,""FG42"":1,""MP40"":2}"
"76561198836500403","晚点睡晚点","88","62","1.42","8","1.03","0.73","7","0","1","1","245","18","{""Palustris"":1,""-TL- 3fm"":1,""-TL-  Gil"":7,""-TL- HCA orga SUX"":3,""-TL- zemo"":5,""Nightsaw9"":2,""Data"":2,""Cheeks"":2,""Itacklefatkids"":2,""Ya Mon Jo"":1,""-TL- Zunshin"":1,""MrInsaneBunny"":4,""Reduktorius"":7,""=TL=Blackasaurus Rex"":2,""Galtia"":2,""-TL- Gino"":2,""Dr Spetz"":3,""MACK"":7,""-TL- rik"":2,""🏳️‍🌈 Dr. Jill Biden 🏳️‍🌈"":1,""DooperDupinskie"":5}","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":2,""🅼🅴🅻🅻🅾🆆"":1,""-TL- 3fm"":8,""-TL-  Gil"":5,""-TL- HCA orga SUX"":5,""-TL- zemo"":9,""-TL- POWD3RMONK3Y"":3,""Data"":2,""Cheeks"":3,""puck"":1,""Ya Mon Jo"":1,""-TL- HotDog-7"":2,""-TL- Crewmaxio"":2,""-TL- Edotensei"":2,""MS | TEA"":2,""⼕龱丂爪龱丂"":1,""MrInsaneBunny"":1,""Reduktorius"":8,""Galtia"":6,""-TL- Gino"":4,""GPH-1608"":1,""Dr Spetz"":6,""MACK"":2,""-TL- rik"":1,""-TL- rwendler613"":2,""DooperDupinskie"":7}","647","535","720","420","{""STG44"":13,""GEWEHR 43"":75}","{""155MM HOWITZER [M114]"":2,""M97 TRENCH GUN"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""M1903 SPRINGFIELD"":2,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":4,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""HULL M1919 [Sherman M4A3(75)W]"":1,""M1 GARAND"":49}"
"76561198282823500","W³.LilJinx","82","45","1.82","8","0.96","0.53","5","0","0","0","340","22","{""Palustris"":6,""-TL-GIRLCOCKSUPREME"":2,""🅼🅴🅻🅻🅾🆆"":1,""-TL- 3fm"":2,""-TL- HCA orga SUX"":2,""-TL- zemo"":1,""Nightsaw9"":5,""Data"":1,""-TL- JVCK"":1,""-TL- HotDog-7"":1,""Ken"":4,""-TL- Zunshin"":3,""MrInsaneBunny"":2,""-TL- Monster_Corndog"":1,""=TL=Blackasaurus Rex"":1,""-TL- REDACTED"":2,""Galtia"":3,""GPH-1608"":1,""Dr Spetz"":1,""MACK"":1,""🏳️‍🌈 Dr. Jill Biden 🏳️‍🌈"":2,""-TL- Potato"":2}","{""Palustris"":2,""-TL-GIRLCOCKSUPREME"":1,""🅼🅴🅻🅻🅾🆆"":3,""-TL- bic"":3,""-TL- HCA orga SUX"":1,""-TL- zemo"":5,""-TL- POWD3RMONK3Y"":3,""Spamdini"":1,""Cheeks"":1,""puck"":3,""Itacklefatkids"":1,""Ya Mon Jo"":2,""-TL- HotDog-7"":3,""-TL- Crewmaxio"":1,""-TL- Edotensei"":3,""MS | TEA"":3,""Ken"":8,""MrInsaneBunny"":3,""MS | Brother9"":4,""Reduktorius"":1,""-TL- Monster_Corndog"":2,""=TL=Blackasaurus Rex"":3,""-TL- REDACTED"":6,""Galtia"":2,""-TL- Peif_Rimgarr"":1,""GPH-1608"":3,""Dr Spetz"":7,""-TL- rwendler613"":1,""-TL- Potato"":5}","630","225","700","560","{""STG44"":2,""S-MINE"":2,""FG42 x4"":58,""SATCHEL"":2,""KARABINER 98K x8"":18}","{""155MM HOWITZER [M114]"":5,""M1918A2 BAR"":3,""M1A1 THOMPSON"":2,""MK2 GRENADE"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""BAZOOKA"":1,""M1 CARBINE"":1,""M1 GARAND"":24}"
"76561197967505155","MACK","81","44","1.84","10","0.95","0.52","3","1","0","0","420","23","{""yuko"":2,""晚点睡晚点"":2,""W³.房東"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>芹菜"":1,""幼儿园安老师"":1,""是橘子皮"":1,""W³.[J.U.M.P]山海潮起鲸落"":1,""W³.丹羽真"":2,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":3,""W³.1ance"":2,""幼儿园洗脚大师"":1,""W³.[J.U.M.P] GARY TAO"":1,""W³.[J.U.M.P]SARA"":1,""W³. Adam Kang"":1,""W³.［J.U.M.P］Ori"":1,""[J.U.M.P] SolitaryValiant"":2,""mao4der"":1,""W³.East wind"":1,""Kehan"":7,""W³.zhouzimu"":1,""W³.𝓗𝓪𝓹𝓹𝔂"":1,""截教弟子-虚极静笃"":3,""群友欺我老无力"":2,""W³.小啊斌"":4,""W³.Miracle"":1}","{""🅜 ||XuanLing"":1,""晚点睡晚点"":7,""W³.房東"":3,""W³. 橙子姐姐"":1,""W³.LilJinx"":1,""幼儿园安老师"":2,""是橘子皮"":2,""小马宝莉"":2,""W³.丹羽真"":2,""W³.[J.U.M.P]WenRo"":3,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":4,""W³.1ance"":5,""幼儿园洗脚大师"":1,""W³.[J.U.M.P] GARY TAO"":7,""W³.[J.U.M.P] Cx330"":7,""W³.[J.U.M.P]花园宝宝"":3,""W³. Adam Kang"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>战友"":1,""截教弟子- 鲨鱼辣椒"":1,""W³.青丘"":4,""mao4der"":2,""W³.East wind"":3,""Kehan"":4,""W³.zhouzimu"":1,""W³.[J.U.M.P] 汪汪汪"":2,""截教弟子-虚极静笃"":2,""W³.小啊斌"":3,""W³.Miracle"":6}","577","225","1060","320","{""BAZOOKA"":1,""M1 GARAND"":78,""MK2 GRENADE"":1,""M97 TRENCH GUN"":1}","{""STG44"":9,""GEWEHR 43"":25,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":2,""KARABINER 98K"":1,""FG42 x4"":1,""MP40"":2}"
"76561198009498488","Data","80","56","1.43","11","0.94","0.66","4","0","0","0","379","16","{""yuko"":6,""晚点睡晚点"":2,""W³.房東"":1,""W³. 橙子姐姐"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>芹菜"":2,""是橘子皮"":1,""小马宝莉"":1,""W³.丹羽真"":5,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":3,""W³.1ance"":2,""幼儿园洗脚大师"":1,""W³.[J.U.M.P] GARY TAO"":2,""W³.奶油獅"":1,""W³.[J.U.M.P]SARA"":4,""W³.［J.U.M.P］Ori"":2,""熬夜的熊猫"":1,""W³.青丘"":1,""[J.U.M.P] SolitaryValiant"":2,""「𝓞𝓓𝓢𝓣」Xpp"":1,""小笼包KakA∞"":1,""Kehan"":3,""W³.zhouzimu"":3,""W³.[J.U.M.P] 汪汪汪"":3,""W³.𝓗𝓪𝓹𝓹𝔂"":3,""截教弟子-虚极静笃"":1,""W³.小啊斌"":1,""W³.Miracle"":2}","{""🅜 ||XuanLing"":8,""晚点睡晚点"":2,""W³.房東"":2,""(=n=)"":2,""W³. 橙子姐姐"":5,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>芹菜"":2,""W³.LilJinx"":1,""幼儿园安老师"":1,""是橘子皮"":2,""W³.[J.U.M.P]山海潮起鲸落"":1,""W³.丹羽真"":2,""W³.[J.U.M.P]WenRo"":3,""W³. <𝓣𝓪𝓸𝓖𝓾𝓷>全"":3,""W³[J.U.M.P]救护医师"":1,""W³.1ance"":2,""幼儿园洗脚大师"":2,""W³.[J.U.M.P] GARY TAO"":2,""W³.[J.U.M.P] Cx330"":3,""W³.[J.U.M.P]花园宝宝"":1,""W³.[J.U.M.P]SARA"":4,""赫萝"":2,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>战友"":3,""熬夜的熊猫"":2,""W³.吃力色特了"":1,""W³.青丘"":5,""W³.East wind"":2,""小笼包KakA∞"":2,""Kehan"":1,""W³.zhouzimu"":7,""W³.[J.U.M.P] 汪汪汪"":2,""截教弟子-虚极静笃"":1,""群友欺我老无力"":1,""W³.小啊斌"":1,""W³.Miracle"":1}","807","972","640","540","{""BAZOOKA"":4,""M1 GARAND"":49,""M1 CARBINE"":6,""M2 AP MINE"":3,""M1918A2 BAR"":1,""M1A1 THOMPSON"":1,""M3 GREASE GUN"":9,""BROWNING M1919"":7}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":7,""GEWEHR 43"":29,""BOMBING RUN"":1,""150MM HOWITZER [sFH 18]"":2,""SATCHEL"":2,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3,""KARABINER 98K"":5,""FG42"":1,""MP40"":3}"
"76561199166643217","Kehan","80","59","1.36","6","0.94","0.69","10","2","3","1","301","19","{""Palustris"":6,""-TL-GIRLCOCKSUPREME"":2,""🅼🅴🅻🅻🅾🆆"":1,""♻ | Atrocity"":3,""-TL- bic"":3,""-TL- HCA orga SUX"":1,""-TL- zemo"":3,""Nightsaw9"":3,""Data"":1,""-TL- JVCK"":4,""Cheeks"":3,""puck"":1,""Itacklefatkids"":1,""-TL- JB"":1,""-TL- Edotensei"":1,""MS | TEA"":1,""Ken"":3,""-TL- hippie"":1,""-TL- Zunshin"":1,""MrInsaneBunny"":1,""MS | Brother9"":5,""Galtia"":2,""GPH-1608"":6,""MACK"":4,""-TL- Potato"":1}","{""Palustris"":7,""-TL-GIRLCOCKSUPREME"":5,""♻ | Atrocity"":2,""-TL- bic"":5,""-TL- zemo"":4,""-TL- POWD3RMONK3Y"":2,""Data"":3,""Cheeks"":2,""puck"":5,""Itacklefatkids"":1,""Ya Mon Jo"":1,""-TL- HotDog-7"":2,""MS | TEA"":3,""Ken"":7,""-TL- hippie"":1,""MS | Brother9"":2,""Reduktorius"":1,""-TL- Monster_Corndog"":8,""=TL=Blackasaurus Rex"":5,""GPH-1608"":6,""MACK"":7,""-TL- rwendler613"":1}","504","126","720","460","{""MP40"":2,""STG44"":19,""SATCHEL"":7,""GEWEHR 43"":50,""M2 AP MINE"":1,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":3,""M1918A2 BAR"":2,""M1A1 THOMPSON"":4,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3,""M1903 SPRINGFIELD"":8,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":4,""BOMBING RUN"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":1,""M1 GARAND"":29,""COAXIAL M1919 [Stuart M5A1]"":1}"
