"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199014310362","'-TL- Freskyy","15","43","0.35","3","0.18","0.5","15","0","1","1","575","25","{""W³.[J.U.M.P] 宵宫"":3,""早点吃早点"":1,""(=n=)"":1,""W³.[J.U.M.P] Rabbit"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>全"":7,""W³.LilJinx"":3,""W³.Ss少帅"":1,""W³.[J.U.M.P]WenRo"":1,""W³.lance"":2,""W³[J.U.M.P]救护医师"":1,""W³.SNIPERBOY"":1,""W³.四季斯基死寂"":5,""BOCCHI"":2,""W³.[J.U.M.P]花园宝宝FF"":3,""W³.奶油獅"":1,""[FOC]KDB17"":1,""赫萝"":1,""焦..焦的命令？"":1,""W³.East wind"":3,""W³.风雩KakA"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>夜風行"":1,""W³.小啊斌"":2}","{""W³. 橙子姐姐"":1,""W³.[J.U.M.P] Rabbit"":1,""W³.LilJinx"":2,""W³.[J.U.M.P] Cx330"":1,""W³.［J.U.M.P］Fooyou Agent"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>房東"":1,""焦..焦的命令？"":3,""W³.黃豆"":1,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":1,""W³.SakuraTears"":2,""W³.小啊斌"":1}","99","350","1240","0","{""MG34"":4,""GEWEHR 43"":8,""KARABINER 98K"":3}","{""155MM HOWITZER [M114]"":1,""M1918A2 BAR"":2,""M1A1 THOMPSON"":2,""M97 TRENCH GUN"":1,""MK2 GRENADE"":1,""75MM CANNON [Sherman M4A3(75)W]"":2,""M1903 SPRINGFIELD"":3,""37MM CANNON [Stuart M5A1]"":4,""BROWNING M1919"":12,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""S-MINE"":1,""SATCHEL"":1,""M3 GREASE GUN"":1,""M6 37mm [M8 Greyhound]"":2,""M1 GARAND"":9}"
"76561199019008097","W³.Ss少帅","28","66","0.42","5","0.33","0.77","11","2","4","1","387","25","{""-TL- Chilly Cheeks"":3,""Palustris"":1,""-TL- Data"":1,""-TL- bic"":1,""-TL- Brewtish"":4,""-TL- BrazilianCat"":1,""-TL- Trance"":1,""Nightsaw9"":3,""-TL- JVCK"":4,""Blackshooter"":3,""- TL - halfeatenchorizo"":4,""-TL- Koleto"":3,""-TL- Tigers0204"":3,""-TL- MACK"":1,""wish.com seasonal"":3,""MSAP"":1,""-TL- REDACTED"":2,""Trump's Right Ear"":1,""Galtia"":2,""-TL- 🅼🅴🅻🅻🅾🆆"":2,""-TL- Curse"":8,""-TL- Ken"":1,""-TL- MrInsaneBunny"":6,""DooperDupinskie"":7}","{""-TL- Chilly Cheeks"":1,""-TL- Data"":1,""-TL- ULFBERHT"":1,""-TL- bic"":1,""-TL- BrazilianCat"":1,""-TL- Trance"":1,""-TL- JVCK"":1,""Blackshooter"":2,""- TL - halfeatenchorizo"":1,""-TL- Koleto"":1,""-TL- HotDog-7"":1,""wish.com seasonal"":1,""-TL- REDACTED"":1,""-TL- Freskyy"":1,""deejayy"":3,""-TL- Ken"":2,""-TL- MrInsaneBunny"":5,""DooperDupinskie"":3}","510","240","580","440","{""SATCHEL"":6,""M1 CARBINE"":1,""M2 AP MINE"":7,""M1918A2 BAR"":1,""M97 TRENCH GUN"":12,""Sd.Kfz.161 Panzer IV"":1}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":7,""GEWEHR 43"":30,""M2 AP MINE"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":2,""Sd.Kfz.181 Tiger 1"":1,""150MM HOWITZER [sFH 18]"":2,""M43 STIELHANDGRANATE"":1,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":5,""KARABINER 98K"":5,""FG42 x4"":4,""MP40"":3}"
"76561199217552998","BOCCHI","58","6","9.67","37","0.68","0.07","2","4","0","0","1416","260","{""Galtia"":1,""-TL- JVCK"":1,""Blackshooter"":1,""-TL- tacotastic"":3}","{""Palustris"":4,""-TL-  Gil"":3,""-TL- Data"":1,""-TL- BIgLionnnnn"":1,""-TL- ULFBERHT"":1,""-TL- bic"":2,""-TL- Brewtish"":3,""-TL- Jerry's Zaddy"":1,""-TL- BrazilianCat"":4,""-TL- Trance"":2,""-TL- Uncle Cletus"":1,""-TL- JVCK"":1,""Blackshooter"":5,""- TL - halfeatenchorizo"":1,""-TL- Koleto"":1,""-TL- HotDog-7"":4,""-TL- Tigers0204"":1,""-TL- MACK"":3,""MSAP"":1,""-TL- Zunshin"":1,""-TL- Monster_Corndog"":2,""-TL- REDACTED"":2,""-TL- Freskyy"":2,""Galtia"":1,""-TL- Curse"":1,""deejayy"":1,""thelastpizzaroll"":3,""-TL- MrInsaneBunny"":5}","813","0","1420","280","{""75MM CANNON [Sherman M4A3(75)W]"":31,""76MM M1 GUN [Sherman M4A3E2(76)]"":23,""COAXIAL M1919 [Sherman M4A3(75)W]"":2,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2}","{""SATCHEL"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":4}"
"76561198827048466","W³.OWEN","27","26","1.04","6","0.32","0.3","7","0","2","2","596","36","{""-TL- 3fm"":1,""-TL-  Gil"":1,""-TL- Data"":2,""-TL- BIgLionnnnn"":2,""-TL- Brewtish"":2,""-TL- Jerry's Zaddy"":1,""-TL- BrazilianCat"":1,""-TL- Shane"":3,""-TL- MACK"":2,""-TL- hippie"":1,""-TL- Zunshin"":1,""-TL- Monster_Corndog"":1,""Galtia"":2,""-TL- Ken"":2,""-TL- MrInsaneBunny"":1,""-TL- Potato"":3}","{""-TL- Data"":2,""-TL- BIgLionnnnn"":1,""-TL- bic"":4,""-TL- Jerry's Zaddy"":1,""-TL- Trance"":1,""-TL- Shane"":5,""-TL- Tigers0204"":1,""-TL- MACK"":3,""wish.com seasonal"":2,""-TL- hippie"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""-TL- Ken"":3,""-TL- Potato"":2}","186","0","1340","120","{""BROWNING M1919"":27}","{""MG42"":3,""STG44"":1,""FG42 x4"":2,""GEWEHR 43"":15,""KARABINER 98K"":3,""75MM CANNON [PAK 40]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1}"
"76561198074581560","Galtia","49","57","0.86","9","0.57","0.67","7","1","3","1","366","26","{""早点吃早点"":4,""(=n=)"":2,""W³.[J.U.M.P] SolitaryValiant"":1,""W³.[J.U.M.P] Rabbit"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>全"":1,""W³.LilJinx"":4,""W³.小芒果"":2,""W³.[J.U.M.P] Sara"":1,""W³.lance"":3,""W³.SNIPERBOY"":3,""W³.四季斯基死寂"":1,""BOCCHI"":1,""W³.[J.U.M.P] GARY TAO"":1,""W³.[J.U.M.P]花园宝宝FF"":4,""W³.奶油獅"":2,""[FOC]KDB17"":1,""赫萝"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>房東"":1,""焦..焦的命令？"":1,""W³.青丘"":5,""W³.Precious（普蕾莎丝）"":2,""W³.SakuraTears"":3,""W³.[MX]123hshl"":2,""W³.East wind"":4,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>夜風行"":4,""W³.小啊斌"":1,""W³.［J.U.M.P］zhouzimu"":1}","{""W³.[J.U.M.P] 宵宫"":1,""W³.OWEN"":2,""早点吃早点"":4,""W³.[J.U.M.P]平塔岛象龟"":1,""(=n=)"":1,""W³. 橙子姐姐"":3,""W³.gzh02darling"":1,""W³.[J.U.M.P] Rabbit"":1,""W³.Ss少帅"":2,""W³.[J.U.M.P] Sara"":1,""W³.lance"":4,""W³.SNIPERBOY"":1,""BOCCHI"":1,""W³.[J.U.M.P] GARY TAO"":1,""W³.[J.U.M.P] Cx330"":3,""W³.[J.U.M.P]花园宝宝FF"":2,""[FOC]KDB17"":1,""赫萝"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>房東"":2,""焦..焦的命令？"":2,""W³.黃豆"":1,""W³.青丘"":3,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":4,""W³.East wind"":2,""W³.Koishi_514"":1,""W³.小啊斌"":3}","544","153","1020","100","{""MG42"":13,""MP40"":4,""STG44"":11,""SATCHEL"":4,""GEWEHR 43"":2,""LUGER P08"":1,""KARABINER 98K"":14}","{""155MM HOWITZER [M114]"":4,""M1918A2 BAR"":1,""M1A1 THOMPSON"":5,""M97 TRENCH GUN"":2,""MK2 GRENADE"":3,""M1903 SPRINGFIELD"":2,""BROWNING M1919"":8,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""SATCHEL"":3,""M1 CARBINE"":3,""M1 GARAND"":24}"
"76561198060625321","W³.lance","38","61","0.62","5","0.44","0.71","6","0","1","1","306","22","{""-TL- Chilly Cheeks"":1,""Palustris"":1,""-TL-  Gil"":1,""-TL- Data"":2,""-TL- bic"":3,""-TL- Brewtish"":2,""-TL- BrazilianCat"":3,""-TL- Trance"":3,""Nightsaw9"":7,""-TL- Uncle Cletus"":2,""-TL- Shane"":1,""Blackshooter"":4,""-TL- Tigers0204"":7,""-TL- MACK"":1,""wish.com seasonal"":1,""-TL- Monster_Corndog"":1,""Trump's Right Ear"":2,""Galtia"":4,""deejayy"":1,""-TL- rik"":4,""-TL- Ken"":5,""DooperDupinskie"":1,""-TL- Potato"":4}","{""Palustris"":2,""-TL- 3fm"":1,""-TL-  Gil"":1,""-TL- BIgLionnnnn"":1,""-TL- Jerry's Zaddy"":1,""-TL- BrazilianCat"":3,""-TL- Uncle Cletus"":1,""-TL- Shane"":1,""Blackshooter"":1,""-TL- Lets"":1,""-TL- HotDog-7"":1,""-TL- MACK"":2,""wish.com seasonal"":1,""-TL- hippie"":1,""-TL- Monster_Corndog"":2,""-TL- REDACTED"":2,""Trump's Right Ear"":1,""-TL- Freskyy"":2,""Galtia"":3,""-TL- Emmanation"":1,""-TL- Peif_Rimgarr"":2,""-TL- rik"":3,""-TL- Ken"":1,""thelastpizzaroll"":1,""-TL- Potato"":2}","316","1282","420","760","{""M1 GARAND"":35,""M1A1 THOMPSON"":3}","{""STG44"":3,""GEWEHR 43"":28,""S-MINE"":1,""150MM HOWITZER [sFH 18]"":7,""M43 STIELHANDGRANATE"":1,""MG42"":13,""KARABINER 98K"":3,""FG42 x4"":3,""MP40"":2}"
"76561199000965996","W³.当当","4","6","0.67","4","0.05","0.07","3","0","0","0","1482","297","{""deejayy"":1,""-TL- JVCK"":2,""Nightsaw9"":1,""-TL- Zunshin"":1,""-TL- tacotastic"":1}","{""-TL- MACK"":1,""-TL- Emmanation"":1,""-TL- tacotastic"":1,""-TL- ☂Bu𝓣𝓣eryBi𝓣s☂"":1}","755","190","1440","140","{""M1 GARAND"":1,""57MM CANNON [M1 57mm]"":3}","{""75MM CANNON [PAK 40]"":1,""150MM HOWITZER [sFH 18]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":4}"
"76561197967505155","'-TL- MACK","68","45","1.51","9","0.8","0.53","4","2","1","1","544","23","{""W³.[J.U.M.P] 宵宫"":3,""W³.OWEN"":3,""早点吃早点"":1,""W³. 橙子姐姐"":1,""W³.[J.U.M.P] SolitaryValiant"":2,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>全"":1,""W³.LilJinx"":4,""W³.[J.U.M.P] Sara"":3,""W³.[J.U.M.P]WenRo"":1,""W³.lance"":2,""W³[J.U.M.P]救护医师"":1,""W³.四季斯基死寂"":1,""BOCCHI"":3,""W³.[J.U.M.P] GARY TAO"":1,""W³.[J.U.M.P]花园宝宝FF"":3,""W³.奶油獅"":1,""[FOC]KDB17"":2,""赫萝"":2,""W³.[J.U.M.P] 易安仔"":1,""W³.当当"":1,""W³.风雩KakA"":1,""W³.[J.U.M.P]Ambition"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>夜風行"":4,""W³.［J.U.M.P］zhouzimu"":2}","{""W³.[J.U.M.P] 宵宫"":1,""W³.OWEN"":2,""早点吃早点"":1,""W³.[J.U.M.P]平塔岛象龟"":2,""W³. 橙子姐姐"":2,""W³.[J.U.M.P] SolitaryValiant"":3,""W³.[J.U.M.P] Rabbit"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>全"":1,""W³.LilJinx"":3,""W³.Ss少帅"":1,""W³.[J.U.M.P] Sara"":3,""W³.[J.U.M.P]WenRo"":2,""W³.lance"":1,""W³[J.U.M.P]救护医师"":1,""W³.SNIPERBOY"":2,""W³.[J.U.M.P] GARY TAO"":4,""W³.[J.U.M.P] Cx330"":5,""W³.奶油獅"":2,""[FOC]KDB17"":1,""赫萝"":5,""W³.[J.U.M.P] 易安仔"":4,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>房東"":2,""焦..焦的命令？"":5,""W³.黃豆"":3,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":4,""W³.Precious（普蕾莎丝）"":2,""W³.青竹"":1,""W³.East wind"":1,""W³.［J.U.M.P］zhouzimu"":3}","611","2885","860","420","{""MG34"":2,""MG42"":5,""STG44"":4,""SATCHEL"":3,""GEWEHR 43"":53,""PANZERSCHRECK"":1}","{""155MM HOWITZER [M114]"":4,""M1918A2 BAR"":1,""M1A1 THOMPSON"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [M8 Greyhound]"":1,""M1903 SPRINGFIELD"":1,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":9,""76MM M1 GUN [Sherman M4A3E2(76)]"":3,""M1 GARAND"":23}"
"76561198316126032","'-TL- HotDog-7","8","41","0.2","2","0.09","0.48","13","1","0","0","1253","22","{""早点吃早点"":2,""(=n=)"":1,""W³.[J.U.M.P] Rabbit"":4,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>全"":6,""W³.LilJinx"":1,""W³.Ss少帅"":1,""W³.小芒果"":1,""W³.[J.U.M.P] Sara"":1,""W³.lance"":1,""BOCCHI"":4,""W³.［J.U.M.P］Fooyou Agent"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>房東"":1,""W³.青丘"":2,""W³.Precious（普蕾莎丝）"":1,""W³.青竹"":1,""W³.East wind"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>夜風行"":9,""W³.小啊斌"":2,""W³.［J.U.M.P］zhouzimu"":1}","{""W³.青丘"":1,""W³.LilJinx"":1,""W³.East wind"":1,""W³.小芒果"":2,""早点吃早点"":1,""W³.[J.U.M.P] Rabbit"":1,""W³.［J.U.M.P］Fooyou Agent"":1}","133","660","1200","0","{""MP40"":1,""STG44"":2,""KARABINER 98K"":3,""M43 STIELHANDGRANATE"":2}","{""155MM HOWITZER [M114]"":9,""M1918A2 BAR"":1,""M1A1 THOMPSON"":2,""M97 TRENCH GUN"":2,""75MM CANNON [Sherman M4A3(75)W]"":2,""BROWNING M1919"":8,""M2 AP MINE"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""M3 GREASE GUN"":1,""57MM CANNON [M1 57mm]"":1,""M1 GARAND"":12}"
"76561199505730812","'-TL- BIgLionnnnn","12","34","0.35","3","0.14","0.4","18","0","0","0","778","28","{""W³.[J.U.M.P] 宵宫"":1,""W³.OWEN"":1,""(=n=)"":2,""W³.[J.U.M.P] Rabbit"":2,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>全"":3,""W³.LilJinx"":3,""W³.小芒果"":3,""W³.[J.U.M.P] Sara"":2,""W³.lance"":1,""W³.SNIPERBOY"":1,""BOCCHI"":1,""W³.[J.U.M.P]花园宝宝FF"":2,""W³.奶油獅"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>房東"":1,""W³.SakuraTears"":1,""W³.青竹"":1,""W³.<𝓣𝓪𝓸𝓖𝓾𝓷>夜風行"":6,""W³.［J.U.M.P］zhouzimu"":2}","{""W³.OWEN"":2,""(=n=)"":1,""W³. 橙子姐姐"":1,""W³.[J.U.M.P] SolitaryValiant"":1,""W³.[J.U.M.P] Rabbit"":1,""W³.小芒果"":2,""W³.[J.U.M.P]WenRo"":1,""赫萝"":1,""W³.［J.U.M.P］Fooyou Agent"":1,""W³.Precious（普蕾莎丝）"":1}","222","200","1260","0","{""MG42"":7,""STG44"":5}","{""M1 GARAND"":12,""M1 CARBINE"":2,""M1918A2 BAR"":2,""M1A1 THOMPSON"":2,""BROWNING M1919"":8,""155MM HOWITZER [M114]"":6,""57MM CANNON [M1 57mm]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1}"
