"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199446576914","[TOG]Howler2","8","45","0.18","3","0.1","0.56","14","0","0","0","571","25","{""Palustris"":1,""-TL-GIRLCOCKSUPREME"":1,""Bleicher Junge"":2,""Hellbro"":1,""♻ | Atrocity"":1,""-TL- bic"":1,""-TL- Trance"":1,""Data"":1,""ass vandal"":2,""zemo"":2,""- TL - Alex Von Doom"":1,""MS | Soldaad"":2,""MS | BommmΞl!ツ"":2,""-TL- ThadoS"":1,""MS | Major WakandaPerhaps"":7,""-TL- hippie"":1,""MS | Brother9"":1,""-TL- Monster_Corndog"":2,""Smurf | 我種藍莓"":1,""=TL=Blackasaurus Rex"":5,""Trump's Right Ear"":1,""GAS"":2,""GPH-1608"":1,""-TL- Ken"":5}","{""Hellbro"":1,""-TL- Ken"":1,""Spamdini"":2,""-TL- Shane"":1,""-TL-GIRLCOCKSUPREME"":2,""=TL=Blackasaurus Rex"":1}","76","811","560","500","{""M1 GARAND"":8}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""STG44"":7,""GEWEHR 43"":11,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":7,""MG42"":11,""KARABINER 98K"":3,""FG42 x4"":3,""MP40"":1}"
"76561198009498488","Data","102","31","3.29","17","1.27","0.39","3","0","1","1","738","37","{""『V』Sorrentino"":1,""Ξ вит | $cripture"":1,""[TOG] Kraus"":4,""『V』SpearooW"":4,""D' Bearz"":2,""『V』Napalm"":1,""вит | Archytekk"":1,""『V』Tracks_GT [CoBrA]"":2,""Hagrid_1"":4,""[TOG]TNtheReaper52"":1,""Thanathos"":2,""вит | Ventil8"":1,""『V』 Mumm-Ra"":1,""вит | Will b"":1,""『V』GATINHO"":1,""Hagrid"":4}","{""Ξ FreeTheChickens"":3,""『V』Sorrentino"":3,""Kopanpan2111"":2,""Immune"":1,""preach"":2,""[TOG] Kraus"":5,""『V』SpearooW"":5,""『V』Quintino"":5,""D' Bearz"":3,""DeathVice"":2,""『V』Napalm"":1,""вит | Archytekk"":3,""『V』Tracks_GT [CoBrA]"":3,""TheExProphet"":6,""Hagrid_1"":4,""Zog"":4,""Pilfermonkey"":5,""Killertomato"":1,""Lima 06"":4,""Bobothemonk"":1,""[TOG]TNtheReaper52"":4,""[TOG] Mantis"":2,""Thanathos"":8,""Ξ kaonashi☯季赛冠军"":5,""Ξ вит | nators"":1,""Rook"":1,""Mike Litoris"":4,""『V』 Mumm-Ra"":1,""[TOG] ScootDogg"":2,""[TOG]Howler2"":1,""『V』Edward of Saints"":4,""『V』GATINHO"":4,""Hagrid"":2}","991","75","1000","300","{""STG44"":1,""FG42 x4"":85,""GEWEHR 43"":5,""KARABINER 98K"":10,""PANZERSCHRECK"":1}","{""M1 GARAND"":28,""MK2 GRENADE"":1,""M1A1 THOMPSON"":1,""BROWNING M1919"":1}"
"76561198171285683","Ξ вит | nators","9","16","0.56","4","0.11","0.2","8","3","1","1","775","57","{""TL NinxDrag"":1,""-TL- 3fm"":1,""Data"":1,""-TL- JVCK"":5,""Cheeks"":1,""(WTH) HoneyBadger"":2,""-TL- Tigers0204"":2,""-TL- Monster_Corndog"":1,""GAS"":1,""DooperDupinskie"":1}","{""-TL- Ken"":1,""Palustris"":1,""ass vandal"":1,""-TL- Priime"":2,""MS | ΜΓ.DΘ"":1,""♻ | Atrocity"":1,""DooperDupinskie"":1,""MS | WBσ$$mλπ"":1}","756","235","1080","240","{""57MM CANNON [M1 57mm]"":3,""HULL M1919 [Sherman M4A3(75)W]"":5,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}","{""MG42"":2,""FG42 x4"":2,""GEWEHR 43"":3,""STRAFING RUN"":1,""PANZERSCHRECK"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":7}"
"76561198046717664","『V』SpearooW","69","74","0.93","8","0.86","0.92","6","0","0","0","302","18","{""Palustris"":5,""-TL-GIRLCOCKSUPREME"":1,""Hellbro"":2,""-TL- Trance"":1,""Data"":5,""ass vandal"":1,""-TL- Shane"":6,""zemo"":5,""(WTH) HoneyBadger"":1,""MS | Soldaad"":3,""-TL- Priime"":3,""-TL- Tigers0204"":2,""MS | BommmΞl!ツ"":1,""-TL- ThadoS"":1,""MS | Major WakandaPerhaps"":5,""MSAP"":1,""-TL- Use The PIAT!"":3,""MS | Brother9"":2,""Reduktorius"":3,""Smurf | 我種藍莓"":3,""=TL=Blackasaurus Rex"":1,""MS | WBσ$$mλπ"":1,""GAS"":6,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""GPH-1608"":2,""-TL- rik"":1,""-TL- Ken"":2,""DooperDupinskie"":4}","{""Palustris"":2,""TL NinxDrag"":1,""-TL-GIRLCOCKSUPREME"":2,""-TL- bic"":2,""-TL- Trance"":1,""Data"":4,""-TL- Shane"":3,""Cheeks"":4,""puck"":1,""zemo"":5,""(WTH) HoneyBadger"":1,""MS | Soldaad"":1,""-TL- Priime"":3,""MS | BommmΞl!ツ"":4,""-TL- ThadoS"":2,""-TL- Use The PIAT!"":1,""-TL- hippie"":2,""Reduktorius"":3,""-TL- Monster_Corndog"":1,""Smurf | 我種藍莓"":2,""=TL=Blackasaurus Rex"":2,""Trump's Right Ear"":1,""GAS"":1,""Galtia"":11,""-TL- 🅼🅴🅻🅻🅾🆆"":3,""GPH-1608"":2,""-TL- Ken"":1,""-TL- rwendler613"":1,""DooperDupinskie"":2}","532","655","400","580","{""M1 GARAND"":65,""MK2 GRENADE"":1,""M97 TRENCH GUN"":3}","{""HULL MG34 [Sd.Kfz.181 Tiger 1]"":2,""STG44"":6,""GEWEHR 43"":32,""150MM HOWITZER [sFH 18]"":5,""M43 STIELHANDGRANATE"":2,""SATCHEL"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":6,""KARABINER 98K"":7,""FG42 x4"":9,""MP40"":2}"
"76561198183549211","zemo","109","59","1.85","12","1.36","0.73","7","0","3","2","312","14","{""『V』Sorrentino"":1,""Ξ вит | $cripture"":2,""『V』SpearooW"":5,""『V』Quintino"":1,""『V』XDM CAMPEÃO APL"":1,""D' Bearz"":2,""вит | Archytekk"":3,""『V』Tracks_GT [CoBrA]"":1,""TheExProphet"":2,""Hagrid_1"":1,""Ξ Kiwi"":3,""Lima 06"":1,""Bobothemonk"":1,""[TOG]TNtheReaper52"":6,""[TOG] Mantis"":1,""вит | Ventil8"":2,""Jimmy"":1,""『V』 Mumm-Ra"":3,""New Artillery Player"":9,""[TOG] ScootDogg"":1,""вит | Will b"":1,""『V』Edward of Saints"":5,""『V』GATINHO"":3,""Hagrid"":3}","{""Ξ FreeTheChickens"":4,""『V』Sorrentino"":4,""Kopanpan2111"":3,""Immune"":1,""preach"":3,""[TOG] Kraus"":1,""『V』SpearooW"":5,""『V』Quintino"":1,""Ralfus"":1,""『V』XDM CAMPEÃO APL"":4,""D' Bearz"":1,""[TOG] Jorgeggc"":1,""вит | Archytekk"":1,""『V』Tracks_GT [CoBrA]"":4,""Ξ Kiwi"":5,""Zog"":6,""Pilfermonkey"":2,""Lima 06"":2,""Bobothemonk"":2,""『vит』| Pyrochemist"":4,""[TOG]TNtheReaper52"":6,""Jizzbeard The Pirate"":1,""[TOG] Mantis"":5,""вит | Ventil8"":2,""Rook"":1,""Jimmy"":4,""Mike Litoris"":2,""『V』 Mumm-Ra"":2,""[TOG] ScootDogg"":10,""[TOG]Howler2"":2,""『V』Edward of Saints"":6,""『V』GATINHO"":12,""Hagrid"":1}","940","125","800","260","{""MG42"":18,""STG44"":69,""SATCHEL"":2,""GEWEHR 43"":19,""KARABINER 98K"":1}","{""155MM HOWITZER [M114]"":9,""M97 TRENCH GUN"":1,""MK2 GRENADE"":3,""BROWNING M1919"":1,""BAZOOKA"":1,""SATCHEL"":1,""M3 GREASE GUN"":1,""STRAFING RUN"":1,""M1 GARAND"":41}"
"76561198425330653","GPH-1608","69","60","1.15","8","0.86","0.75","6","0","2","1","254","22","{""Kopanpan2111"":3,""preach"":1,""[TOG] Kraus"":2,""『V』SpearooW"":2,""『V』Quintino"":1,""『V』XDM CAMPEÃO APL"":1,""D' Bearz"":1,""DeathVice"":3,""[TOG] Jorgeggc"":1,""вит | Archytekk"":3,""『V』Tracks_GT [CoBrA]"":2,""TheExProphet"":5,""Hagrid_1"":3,""Ξ Kiwi"":1,""Killertomato"":1,""Lima 06"":1,""Bobothemonk"":1,""『vит』| Pyrochemist"":5,""[TOG]TNtheReaper52"":1,""[TOG] Mantis"":2,""вит | Ventil8"":1,""Ξ kaonashi☯季赛冠军"":3,""New Artillery Player"":8,""[TOG] ScootDogg"":1,""『V』Edward of Saints"":3,""『V』GATINHO"":3,""Hagrid"":1}","{""Ξ FreeTheChickens"":2,""『V』Sorrentino"":1,""Immune"":5,""[TOG] Kraus"":2,""『V』SpearooW"":2,""Ralfus"":2,""『V』XDM CAMPEÃO APL"":2,""D' Bearz"":3,""DeathVice"":1,""Bloody Bucket"":1,""[TOG] Jorgeggc"":1,""вит | Archytekk"":5,""『V』Tracks_GT [CoBrA]"":1,""TheExProphet"":1,""Hagrid_1"":5,""Ξ Kiwi"":4,""Zog"":1,""Pilfermonkey"":3,""Lima 06"":1,""Bobothemonk"":5,""『vит』| Pyrochemist"":1,""[TOG]TNtheReaper52"":3,""[TOG] Mantis"":1,""Rook"":1,""Jimmy"":2,""『V』 Mumm-Ra"":4,""вит | Will b"":1,""[TOG]Howler2"":1,""『V』Edward of Saints"":2,""『V』GATINHO"":2,""Hagrid"":3}","595","0","840","260","{""MG42"":25,""STG44"":27,""GEWEHR 43"":16,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":8,""M1918A2 BAR"":1,""M97 TRENCH GUN"":2,""MK2 GRENADE"":2,""M1903 SPRINGFIELD"":3,""BROWNING M1919"":2,""BAZOOKA"":1,""M1 CARBINE"":1,""M1 GARAND"":40}"
"76561198251411256","MS | WBσ$$mλπ","7","12","0.58","3","0.09","0.15","4","0","0","0","1421","34","{""Ξ FreeTheChickens"":1,""『V』XDM CAMPEÃO APL"":1,""Hagrid_1"":2,""Ξ Kiwi"":1,""Thanathos"":1,""Ξ вит | nators"":1,""Mike Litoris"":1,""『V』 Mumm-Ra"":1,""[TOG] ScootDogg"":1,""вит | Will b"":1,""『V』Edward of Saints"":1}","{""Thanathos"":1,""Bobothemonk"":1,""Mike Litoris"":1,""『V』SpearooW"":1,""вит | Ventil8"":1,""『V』Tracks_GT [CoBrA]"":1,""『vит』| Pyrochemist"":1}","782","105","1080","320","{""MP40"":1,""WALTHER P38"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":3,""HULL MG34 [Sd.Kfz.161 Panzer IV]"":2}","{""SATCHEL"":3,""M1 GARAND"":5,""BOMBING RUN"":1,""Sd.Kfz.181 Tiger 1"":1,""57MM CANNON [M1 57mm]"":2}"
"76561199056372058","[TOG]TNtheReaper52","41","69","0.59","3","0.51","0.86","7","0","0","0","299","17","{""Palustris"":2,""TL NinxDrag"":2,""-TL-GIRLCOCKSUPREME"":2,""Bleicher Junge"":2,""Hellbro"":2,""♻ | Atrocity"":2,""-TL- bic"":1,""Data"":4,""ass vandal"":1,""-TL- Shane"":3,""Cheeks"":2,""zemo"":6,""(WTH) HoneyBadger"":1,""MS | Soldaad"":2,""-TL- Tigers0204"":4,""MS | BommmΞl!ツ"":6,""MS | Major WakandaPerhaps"":1,""-TL- hippie"":2,""MS | Brother9"":1,""Reduktorius"":2,""Smurf | 我種藍莓"":3,""=TL=Blackasaurus Rex"":3,""Trump's Right Ear"":2,""GAS"":5,""Galtia"":1,""-TL- 🅼🅴🅻🅻🅾🆆"":1,""GPH-1608"":3,""-TL- rik"":1,""-TL- Ken"":2}","{""Palustris"":2,""-TL-GIRLCOCKSUPREME"":4,""Hellbro"":4,""♻ | Atrocity"":1,""-TL- bic"":2,""-TL- Trance"":3,""Data"":1,""-TL- Shane"":1,""zemo"":6,""-TL- Tigers0204"":2,""-TL- Use The PIAT!"":2,""Reduktorius"":3,""Smurf | 我種藍莓"":3,""Trump's Right Ear"":1,""GAS"":3,""Galtia"":1,""GPH-1608"":1,""-TL- Ken"":1}","291","1400","500","580","{""M1 GARAND"":40,""MK2 GRENADE"":1}","{""STG44"":4,""GEWEHR 43"":23,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""150MM HOWITZER [sFH 18]"":1,""M43 STIELHANDGRANATE"":1,""SATCHEL"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""STRAFING RUN"":1,""MG42"":18,""KARABINER 98K"":5,""FG42 x4"":9,""MP40"":4}"
"76561198082028835","'-TL- ULFBERHT","0","5","0","0","0","0.06","5","0","0","0","3677","60","{""Ξ Kiwi"":1,""[TOG] ScootDogg"":1,""Nicholi N'wahski"":2,""『vит』| Pyrochemist"":1}","{}","736","210","1440","120","{}","{""M1 GARAND"":2,""MK2 GRENADE"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198041224149","'-TL- JVCK","51","5","10.2","45","0.63","0.06","4","2","0","0","3678","50","{""Hagrid"":1,""『V』GATINHO"":1,""Nicholi N'wahski"":2,""New Artillery Player"":1}","{""Nicholi N'wahski"":4,""Kopanpan2111"":2,""Ξ вит | $cripture"":1,""[TOG] Kraus"":1,""『V』Quintino"":1,""Ralfus"":1,""『V』XDM CAMPEÃO APL"":2,""TheMasterChippy"":1,""Bloody Bucket"":1,""『V』Napalm"":1,""вит | Archytekk"":2,""『V』Tracks_GT [CoBrA]"":1,""TheExProphet"":2,""Pilfermonkey"":1,""Killertomato"":5,""Bobothemonk"":4,""Jizzbeard The Pirate"":2,""вит | Ventil8"":3,""Ξ вит | nators"":5,""Rook"":2,""Jimmy"":1,""Mike Litoris"":2,""[TOG] ScootDogg"":2,""『V』Edward of Saints"":3,""Hagrid"":1}","1064","5","1420","120","{""KARABINER 98K"":1,""PANZERSCHRECK"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":12,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":37}","{""M1 GARAND"":2,""155MM HOWITZER [M114]"":1,""75MM CANNON [Sherman M4A3(75)W]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
