"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198953912901","Ж | Heed","2","4","0.5","1","0.02","0.05","2","0","0","0","1873","239","{""Kakku."":1,""Koishi_514"":2,""[FOC]KDB17"":1}","{""W³.[J.U.M.P] Cx330"":1,""<𝓣𝓪𝓸𝓖𝓾𝓷> 黃"":1}","173","95","1580","120","{""Sd.Kfz.181 Tiger 1"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1}","{""BAZOOKA"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":2}"
"76561198866383485","W³.青竹","12","28","0.43","5","0.14","0.33","13","0","0","0","832","36","{""AB"":1,""J-walk-"":1,""Ж | ※ | ♠ kiebs"":2,""Ж | zest Ψ"":1,""Ж | Trots"":1,""ⒼЖ | Peace"":1,""D※N V1CE"":2,""=exel="":1,""=NG MilkMan="":1,""Ж | PiscisK"":1,""cidi"":2,""Throat MonЖey 3"":2,""Ж | ToXicNBK"":2,""Ж | Rath"":1,""Ж︎ | Poptart"":1,""WЖIDЖOЖW"":1,""BNN Sherby"":3,""Ж︎ | puck"":1,""Ж Dyslexics※Untied"":1,""Ж︎ | HAZAH"":1,""Hagrid"":1}","{""Ж | zest Ψ"":1,""ⒼЖ | Peace"":1,""-TL- JVCK"":1,""Ж︎ | nes"":1,""Mongo"":1,""PopeVyn"":1,""BNN Sherby"":2,""-TL- Emmanation"":1,""Ж︎ | HAZAH"":2,""Ж︎ | AlmightyFallen"":1}","247","350","1120","200","{""BAZOOKA"":1,""M1 GARAND"":4,""M2 AP MINE"":1,""M1A1 THOMPSON"":1,""57MM CANNON [M1 57mm]"":5}","{""STG44"":7,""GEWEHR 43"":9,""PANZERSCHRECK"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":1,""COAXIAL MG34 [Sd.Kfz.121 Luchs]"":1,""150MM HOWITZER [sFH 18]"":2,""MG42"":1,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":2,""FG42 x4"":2,""MP40"":1}"
"76561198141361405","BNN Sherby","68","78","0.87","6","0.8","0.91","9","3","3","1","223","19","{""「J.U.M.P」亭书"":6,""W³.[J.U.M.P] 宵宫"":2,""W³.［J.U.M.P］sCp-ration"":3,""W³.大杯可乐加少冰"":2,""<𝓣𝓪𝓸𝓖𝓾𝓷>院長"":1,""W³. 橙子姐姐"":1,""W³.柚子"":1,""MOMOKO"":3,""W³.[J.U.M.P]WenRo"":2,""W³[J.U.M.P]救护医师"":2,""聪明的一修"":1,""Kakku."":1,""W³.[J.U.M.P] Cx330"":2,""W³.[J.U.M.P]花园宝宝FF"":6,""OWEN"":4,""<𝓣𝓪𝓸𝓖𝓾𝓷>奶油獅"":1,""W³.［J.U.M.P］Fooyou Agent"":2,""B站TsingY1(青衣)"":8,""[J.U.M.P] 焦の父"":5,""[J.U.M.P] Sara"":5,""W³.青丘"":4,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":1,""[J.U.M.P] SolitaryValiant"":3,""W³.SakuraTears"":3,""XXXXXXX"":1,""W³.青竹"":2,""W³.East wind"":2,""𝓢𝓧-𝓲𝓪𝓷𝓰"":1,""W³.白天"":2,""W³.［J.U.M.P］zhouzimu"":1}","{""W³.[J.U.M.P] 宵宫"":2,""W³.房東"":1,""W³.［J.U.M.P］sCp-ration"":4,""W³.大杯可乐加少冰"":5,""W³. 橙子姐姐"":2,""W³.[J.U.M.P]WenRo"":1,""W³[J.U.M.P]救护医师"":2,""W³.SNIPERBOY"":1,""Kakku."":2,""W³.[J.U.M.P] Cx330"":3,""OWEN"":3,""[FOC]KDB17"":1,""赫萝"":2,""W³.[J.U.M.P] 易安仔"":2,""W³.［J.U.M.P］三月七可爱"":1,""W³.［J.U.M.P］Fooyou Agent"":2,""W³.[J.U.M.P]泡泡nebula"":2,""B站TsingY1(青衣)"":1,""[J.U.M.P] 焦の父"":5,""[J.U.M.P] Sara"":5,""W³.青丘"":3,""[J.U.M.P] SolitaryValiant"":2,""W³.SakuraTears"":2,""W³.[MX]123hshl"":1,""W³.青竹"":3,""W³.East wind"":1,""[J.U.M.P] GARY TAO"":3,""𝓢𝓧-𝓲𝓪𝓷𝓰"":1,""W³.白天"":5}","571","325","560","500","{""MP40"":5,""STG44"":61,""SATCHEL"":2}","{""155MM HOWITZER [M114]"":6,""M1A1 THOMPSON"":5,""M1903 SPRINGFIELD"":1,""BROWNING M1919"":7,""76MM M1 GUN [Sherman M4A3E2(76)]"":2,""BAZOOKA"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":6,""M1 GARAND"":49}"
"76561198091006256","Ж | Xan","21","26","0.81","4","0.25","0.3","7","0","0","0","1413","23","{""W³.[J.U.M.P] 宵宫"":1,""W³.柚子"":1,""W³.[J.U.M.P]WenRo"":1,""W³.SNIPERBOY"":1,""聪明的一修"":1,""Kakku."":5,""W³.[J.U.M.P]花园宝宝FF"":2,""W³.［J.U.M.P］Fooyou Agent"":1,""<𝓣𝓪𝓸𝓖𝓾𝓷> 黃"":1,""[J.U.M.P] Sara"":3,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":1,""W³.小雾批"":1,""W³.SakuraTears"":1,""W³.[MX]123hshl"":1,""XXXXXXX"":1,""[J.U.M.P] GARY TAO"":1,""W³.［J.U.M.P］zhouzimu"":3}","{""W³.[J.U.M.P] 宵宫"":2,""W³.两个黑眼圈"":1,""(=n=)"":1,""W³.柚子"":1,""W³.[J.U.M.P]WenRo"":2,""Kakku."":2,""W³.[J.U.M.P] Cx330"":1,""赫萝"":1,""W³.[J.U.M.P] 易安仔"":1,""W³.［J.U.M.P］三月七可爱"":2,""[J.U.M.P] 焦の父"":1,""W³.小雾批"":1,""W³.[MX]123hshl"":1,""XXXXXXX"":1,""[J.U.M.P] GARY TAO"":1,""W³.白天"":1,""W³.［J.U.M.P］zhouzimu"":1}","164","471","1520","0","{""GEWEHR 43"":21}","{""M1 GARAND"":19,""M1 CARBINE"":1,""M1918A2 BAR"":1,""BROWNING M1919"":1,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":2,""75MM CANNON [Sherman M4A3(75)W]"":1}"
"76561198217015808","Ж Dyslexics※Untied","77","44","1.75","13","0.9","0.52","4","0","1","1","378","31","{""「J.U.M.P」亭书"":1,""W³.大杯可乐加少冰"":2,""W³.两个黑眼圈"":1,""W³. 橙子姐姐"":2,""W³.柚子"":2,""MOMOKO"":1,""W³[J.U.M.P]救护医师"":2,""W³.SNIPERBOY"":6,""W³.[J.U.M.P]花园宝宝FF"":3,""OWEN"":1,""[FOC]KDB17"":1,""W³.[J.U.M.P] 易安仔"":1,""W³.［J.U.M.P］三月七可爱"":1,""W³.［J.U.M.P］Fooyou Agent"":1,""B站TsingY1(青衣)"":6,""[J.U.M.P] 焦の父"":1,""[J.U.M.P] SolitaryValiant"":1,""W³.[MX]123hshl"":4,""XXXXXXX"":2,""W³.风雩KakA"":1,""[J.U.M.P] GARY TAO"":1,""W³.白天"":1,""W³.［J.U.M.P］zhouzimu"":2}","{""「J.U.M.P」亭书"":2,""W³.[J.U.M.P] 宵宫"":1,""W³.大杯可乐加少冰"":3,""W³.两个黑眼圈"":1,""<𝓣𝓪𝓸𝓖𝓾𝓷>院長"":2,""W³. 橙子姐姐"":7,""W³.柚子"":1,""W³[J.U.M.P]救护医师"":5,""W³.SNIPERBOY"":7,""W³.[J.U.M.P] Cx330"":3,""OWEN"":2,""[FOC]KDB17"":2,""赫萝"":3,""<𝓣𝓪𝓸𝓖𝓾𝓷>奶油獅"":4,""W³.［J.U.M.P］三月七可爱"":2,""W³.［J.U.M.P］Fooyou Agent"":3,""W³.[J.U.M.P]泡泡nebula"":3,""B站TsingY1(青衣)"":4,""[J.U.M.P] 焦の父"":3,""[J.U.M.P] Sara"":2,""W³.青丘"":2,""W³.小雾批"":1,""W³.SakuraTears"":3,""W³.[MX]123hshl"":1,""W³.青竹"":1,""W³.East wind"":3,""[J.U.M.P] GARY TAO"":1,""𝓢𝓧-𝓲𝓪𝓷𝓰"":1,""W³.白天"":4}","623","1008","720","600","{""GEWEHR 43"":74,""M43 STIELHANDGRANATE"":3}","{""155MM HOWITZER [M114]"":3,""M1A1 THOMPSON"":4,""MK2 GRENADE"":1,""M1903 SPRINGFIELD"":6,""BROWNING M1919"":2,""M2 AP MINE"":1,""COLT M1911"":2,""UNKNOWN"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""M1 GARAND"":23}"
"76561198041224149","'-TL- JVCK","47","3","15.67","44","0.55","0.04","1","3","0","0","4571","164","{""W³.青竹"":1,""W³.风雩KakA"":1,""B站TsingY1(青衣)"":1}","{""「J.U.M.P」亭书"":1,""W³.[J.U.M.P] 宵宫"":1,""W³.房東"":2,""W³.大杯可乐加少冰"":3,""LOFIFE"":3,""<𝓣𝓪𝓸𝓖𝓾𝓷>院長"":1,""(=n=)"":1,""Koishi_514"":1,""W³.柚子"":1,""MOMOKO"":3,""W³[J.U.M.P]救护医师"":1,""吾妻拂晓"":3,""聪明的一修"":1,""Kakku."":2,""W³.[J.U.M.P] 易安仔"":1,""<𝓣𝓪𝓸𝓖𝓾𝓷>奶油獅"":1,""W³.［J.U.M.P］三月七可爱"":1,""<𝓣𝓪𝓸𝓖𝓾𝓷> 黃"":1,""W³HilarieKing"":3,""W³.[J.U.M.P]泡泡nebula"":2,""B站TsingY1(青衣)"":2,""gzh02darling"":1,""W³.菊刺郎的冬天"":2,""[J.U.M.P] Sara"":1,""W³.青丘"":1,""W³.SakuraTears"":1,""W³.East wind"":1,""𝓢𝓧-𝓲𝓪𝓷𝓰"":3,""W³.白天"":2}","1216","100","1620","60","{""KARABINER 98K"":2,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":9,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":35}","{""M1 GARAND"":1,""PRECISION STRIKE"":1,""57MM CANNON [M1 57mm]"":1}"
"76561198330663526","'=NG MilkMan=","46","25","1.84","7","0.54","0.29","2","0","1","1","596","67","{""W³.大杯可乐加少冰"":1,""Koishi_514"":1,""MOMOKO"":2,""W³.SNIPERBOY"":1,""聪明的一修"":1,""Kakku."":2,""W³.[J.U.M.P]花园宝宝FF"":1,""OWEN"":1,""[FOC]KDB17"":1,""赫萝"":1,""<𝓣𝓪𝓸𝓖𝓾𝓷>奶油獅"":1,""W³.［J.U.M.P］三月七可爱"":4,""W³.［J.U.M.P］Fooyou Agent"":1,""[J.U.M.P] Sara"":2,""W³.青丘"":1,""[J.U.M.P] SolitaryValiant"":1,""W³.小雾批"":1,""W³.East wind"":1,""W³.风雩KakA"":1}","{""W³.［J.U.M.P］sCp-ration"":1,""W³.大杯可乐加少冰"":2,""W³. 橙子姐姐"":1,""W³.柚子"":1,""W³[J.U.M.P]救护医师"":1,""W³.SNIPERBOY"":2,""Kakku."":1,""W³.[J.U.M.P] Cx330"":5,""OWEN"":5,""赫萝"":2,""W³.[J.U.M.P] 易安仔"":2,""<𝓣𝓪𝓸𝓖𝓾𝓷>奶油獅"":1,""W³.［J.U.M.P］Fooyou Agent"":1,""W³.[J.U.M.P]泡泡nebula"":3,""W³.菊刺郎的冬天"":1,""W³.青丘"":2,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":2,""[J.U.M.P] SolitaryValiant"":1,""W³.小雾批"":1,""XXXXXXX"":4,""W³.青竹"":1,""W³.East wind"":1,""[J.U.M.P] GARY TAO"":4,""W³.白天"":1}","434","225","700","780","{""FG42 x4"":46}","{""155MM HOWITZER [M114]"":1,""M1918A2 BAR"":1,""M1A1 THOMPSON"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1,""M1903 SPRINGFIELD"":4,""37MM CANNON [Stuart M5A1]"":1,""BROWNING M1919"":2,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""STRAFING RUN"":1,""M1 GARAND"":12}"
"76561199233924709","W³.[J.U.M.P] Cx330","11","79","0.14","2","0.13","0.93","18","0","1","1","166","16","{""J-walk-"":3,""Ж | ※ | ♠ kiebs"":3,""Ж | Trots"":2,""ⒼЖ | Peace"":3,""D※N V1CE"":6,""=exel="":1,""=NG MilkMan="":5,""Ж | Heed"":1,""=Wafflorz="":1,""cidi"":7,""Ж | Jalen Hurts Enjoyer"":4,""Throat MonЖey 3"":2,""Ж | Sciz"":5,""Ж︎ | nes"":1,""Ж | Smithers"":1,""Mongo"":4,""Ж︎ | Poptart"":3,""WЖIDЖOЖW"":3,""Ж | Xan"":1,""PopeVyn"":5,""BNN Sherby"":3,""Foxhole Norman"":1,""Ж Dyslexics※Untied"":3,""=LordBarst="":1,""Ж︎ | HAZAH"":4,""Ж︎ | AlmightyFallen"":3,""Hagrid"":3}","{""Mongo"":1,""Hagrid"":1,""J-walk-"":1,""PopeVyn"":3,""BNN Sherby"":2,""Ж︎ | Poptart"":1,""Ж︎ | AlmightyFallen"":2}","94","450","660","320","{""M1 CARBINE"":11}","{""STG44"":15,""GEWEHR 43"":27,""PANZERSCHRECK"":1,""Sd.Kfz.181 Tiger 1"":1,""150MM HOWITZER [sFH 18]"":7,""M43 STIELHANDGRANATE"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":2,""MG42"":8,""KARABINER 98K"":8,""FG42 x4"":8,""MP40"":1}"
"76561199022358124","W³.[J.U.M.P] 宵宫","52","68","0.76","3","0.61","0.8","10","0","0","0","272","14","{""AB"":5,""Ж | zest Ψ"":7,""Ж | Trots"":2,""Ж | iCh3ap"":1,""ⒼЖ | Peace"":1,""D※N V1CE"":1,""=exel="":2,""Ж | PiscisK"":2,""=Wafflorz="":3,""cidi"":8,""-TL- JVCK"":1,""Ж | ToXicNBK"":3,""Ж | Sciz"":6,""=KaPk="":1,""Ж︎ | nes"":2,""Ж | Rath"":5,""Swift"":1,""Ж | DJ"":1,""Mongo"":1,""Ж︎ | Poptart"":1,""WЖIDЖOЖW"":2,""Ж | Xan"":2,""BNN Sherby"":2,""Ж︎ | puck"":1,""Ж︎ | guZZ"":1,""Ж Dyslexics※Untied"":1,""=LordBarst="":1,""Ж︎ | AlmightyFallen"":2,""Hagrid"":2}","{""AB"":3,""J-walk-"":1,""Ж | zest Ψ"":3,""Ж | iCh3ap"":1,""ⒼЖ | Peace"":2,""D※N V1CE"":1,""=exel="":3,""Ж | PiscisK"":3,""=Wafflorz="":1,""Throat MonЖey 3"":3,""Ж | ToXicNBK"":1,""Ж | Sciz"":4,""=KaPk="":2,""Ж︎ | nes"":1,""Ж | Rath"":3,""WЖIDЖOЖW"":2,""Ж | Xan"":1,""Ж | GasMask"":2,""BNN Sherby"":2,""Ж︎ | puck"":4,""Foxhole Norman"":1,""Ж︎ | guZZ"":1,""=LordBarst="":5,""Ж︎ | HAZAH"":1,""Ж︎ | AlmightyFallen"":1}","379","1483","640","580","{""UNKNOWN"":1,""M1 GARAND"":49,""MK2 GRENADE"":2}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":2,""STG44"":10,""GEWEHR 43"":26,""150MM HOWITZER [sFH 18]"":8,""M43 STIELHANDGRANATE"":2,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":1,""MG42"":7,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":2,""KARABINER 98K"":4,""FG42 x4"":2,""MP40"":4}"
"76561198059577481","Ж | Jalen Hurts Enjoyer","41","44","0.93","10","0.48","0.52","7","1","2","1","381","20","{""「J.U.M.P」亭书"":1,""W³.大杯可乐加少冰"":1,""W³. 橙子姐姐"":1,""MOMOKO"":2,""W³.SNIPERBOY"":3,""吾妻拂晓"":1,""OWEN"":3,""[FOC]KDB17"":2,""赫萝"":2,""W³.[J.U.M.P] 易安仔"":1,""W³.［J.U.M.P］Fooyou Agent"":2,""<𝓣𝓪𝓸𝓖𝓾𝓷> 黃"":1,""W³HilarieKing"":1,""B站TsingY1(青衣)"":3,""[J.U.M.P] 焦の父"":5,""[J.U.M.P] Sara"":4,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":1,""[J.U.M.P] SolitaryValiant"":3,""W³.East wind"":3,""W³.风雩KakA"":1,""W³.白天"":3}","{""「J.U.M.P」亭书"":4,""W³.［J.U.M.P］sCp-ration"":1,""W³.大杯可乐加少冰"":1,""W³. 橙子姐姐"":1,""W³.[J.U.M.P]WenRo"":1,""W³[J.U.M.P]救护医师"":2,""W³.SNIPERBOY"":2,""W³.[J.U.M.P] Cx330"":4,""[FOC]KDB17"":2,""W³.[J.U.M.P] 易安仔"":4,""[J.U.M.P] 焦の父"":1,""W³.菊刺郎的冬天"":1,""[J.U.M.P] Sara"":3,""W³.青丘"":1,""W³.<𝓑𝓮𝓽𝓪>Warm248 ho"":1,""[J.U.M.P] SolitaryValiant"":6,""W³.SakuraTears"":1,""W³.[MX]123hshl"":1,""XXXXXXX"":1,""[J.U.M.P] GARY TAO"":2,""W³.白天"":1}","297","640","720","600","{""GEWEHR 43"":41}","{""M1 GARAND"":29,""BOMBING RUN"":1,""Stuart M5A1"":1,""M1A1 THOMPSON"":2,""M3 GREASE GUN"":1,""BROWNING M1919"":8,""37MM CANNON [Stuart M5A1]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
