"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561198092892923","(WTH) Nazbrock","26","25","1.04","5","0.3","0.29","5","0","0","0","815","29","{""Ж | IKrIEaTiX"":1,""J-walk-"":1,""Ж | Rowdy"":1,""=Ikea="":3,""Ж | ♠ The_Fat_Egg"":1,""Ж | Orangeblack"":1,""Жr "":1,""Ж | Joe※450"":1,""=exel="":2,""Ж | yourmomsmother"":1,""Ж | Sciz"":1,""σ Never"":1,""Ж | DJ"":2,""Mongo"":2,""Ж|Gato-Rocket※"":1,""Ж | Xan"":1,""Ж Dyslexics※Untied"":1,""SniperBoy"":1,""Hagrid"":2}","{""J-walk-"":1,""cidi Ж"":1,""Ж | Rowdy"":2,""[OP] Madcap"":2,""=Ikea="":2,""Ж | Sh(-)gun!"":1,""Ж | ♠ The_Fat_Egg"":2,""Ж | PiscisK"":3,""Ж | Jalen Hurts Enjoyer"":1,""Ж | yourmomsmother"":1,""σ Never"":2,""Ж | DJ"":2,""Ж | Whiskey"":1,""Ж | Wes"":2,""PopeVyn"":2,""Hagrid"":1}","220","1058","1340","100","{""M1 GARAND"":23,""M3 GREASE GUN"":3}","{""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":2,""GEWEHR 43"":11,""BOMBING RUN"":1,""150MM HOWITZER [sFH 18]"":1,""SATCHEL"":1,""MG42"":1,""KARABINER 98K"":2,""FG42 x4"":3,""MP40"":2}"
"76561198147507888","Ж|Gato-Rocket※","167","0","167","167","1.96","0","0","9","0","0","0","9999","{}","{""(WTH) Nikelele"":6,""(WTH) ByteSized"":14,""(WTH) Dorbian"":10,""(WTH) Alf"":2,""(WTHr) DippyDraws"":1,""(WTH) Ginger"":1,""(wth) Trotche"":2,""(WTH) Hyzer Ψ"":4,""(WTH) Guinness"":4,""(WTH) Desper"":1,""(WTH) delete"":5,""(wth) Lenny"":1,""(WTH) LazyPablo"":3,""(WTHr) Raptor uK™"":3,""(WTH) Star Lord"":2,""(WTH) Dechadou"":7,""Data"":3,""(WTH) Slappy"":2,""(WTH)Watsonater3000"":1,""(WTH) Conor"":10,""(WTH) PIVOXX ❀"":9,""-TL- JVCK"":1,""(WTHr) era"":6,""(WTH) ya boy"":1,""-TL- Grekker"":1,""(WTH) Jπ"":11,""-TL- MACK"":4,""(WTH) Blue"":1,""(WTHr) Fredsv"":5,""-TL- hippie"":4,""(WTH) ㋡ Crusaderxx ❀"":7,""(WTHr) EowlDay"":8,""(WTH) Bhaskara"":7,""(WTH) Nazbrock"":1,""(WTH) LwfiD"":9,""-TL- Ken"":4,""(WTH) SRB_Hitman"":5,""(WTH) oskar"":1}","1310","0","1780","0","{""150MM HOWITZER [sFH 18]"":167}","{}"
"76561198057851039","Ж | ※ KnightS※litaire","3","25","0.12","2","0.04","0.29","12","0","0","0","630","18","{""(WTH) Dorbian"":1,""(WTH) Hyzer Ψ"":1,""(wth) Lenny"":1,""(WTH) Dechadou"":1,""Data"":1,""(WTH) Slappy"":1,""(WTH) PIVOXX ❀"":2,""-TL- JVCK"":6,""(WTH) Blue"":1,""(WTHr) Fredsv"":2,""(WTH) clover"":1,""(WTH) SRB_Hitman"":1,""(WTH) gavrich"":2,""(WTH) oskar"":1,""(WTH)✨ Tourop ✨"":2,""Critical"":1}","{""-TL- hippie"":1,""(wth) Trotche"":1,""(WTHr) EowlDay"":1}","395","370","1040","220","{""MP40"":1,""STG44"":2}","{""155MM HOWITZER [M114]"":2,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2,""37MM CANNON [Stuart M5A1]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":6,""BAZOOKA"":1,""M3 GREASE GUN"":1,""PRECISION STRIKE"":1,""M1 GARAND"":8}"
"76561198068495997","(WTH) HoneyBadger","0","7","0","0","0","0.08","7","1","0","0","1432","142","{""=Ikea="":1,""BNN Sherby"":1,""Ж | Ghostz"":1,""Ж︎ | nes"":1,""Ж | Tadiktor"":2,""Ж︎ | HAZAH"":1}","{}","847","260","1560","40","{}","{""STG44"":2,""GEWEHR 43"":1,""PANZERSCHRECK"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":3}"
"76561198060875782","Ж | ※ | ♠ kiebs","50","48","1.04","7","0.59","0.56","8","1","0","0","376","24","{""(WTH) Nikelele"":4,""(WTH) Dorbian"":5,""(wth) Trotche"":2,""(WTH) Hyzer Ψ"":1,""(WTH) Guinness"":1,""(WTH) delete"":2,""(WTH) LazyPablo"":1,""Data"":2,""(WTH) Slappy"":1,""(WTH) Conor"":1,""(WTH) PIVOXX ❀"":2,""(WTH) ya boy"":4,""(WTH) Jπ"":1,""-TL- MACK"":3,""(WTHr) Fredsv"":2,""-TL- hippie"":1,""(WTH) ㋡ Crusaderxx ❀"":2,""(WTH) Bhaskara"":1,""(WTH) LwfiD"":3,""-TL- Ken"":1,""(WTH) GØBLYAXX ❀"":2,""(WTH) gavrich"":2,""(WTH) GΣRMANXX ❀"":4}","{""(WTH) Nikelele"":1,""(WTH) Dorbian"":2,""(WTHr) DippyDraws"":3,""(wth) Trotche"":2,""(WTH) Hyzer Ψ"":2,""(WTH) Guinness"":2,""(WTH) delete"":2,""(WTH) LazyPablo"":1,""(WTH) Dechadou"":1,""Data"":2,""(WTH)Watsonater3000"":1,""(WTH) Conor"":1,""(WTH) PIVOXX ❀"":1,""(WTHr) era"":1,""-TL- MACK"":2,""(WTHr) Fredsv"":2,""(WTH) ㋡ Crusaderxx ❀"":3,""(WTH) clover"":1,""(WTH) Bhaskara"":4,""(WTH) LwfiD"":8,""-TL- Ken"":3,""(WTH) GØBLYAXX ❀"":3,""(WTH) GΣRMANXX ❀"":2}","471","2965","860","400","{""MP40"":4,""KARABINER 98K"":44,""PANZERSCHRECK"":2}","{""BAZOOKA"":1,""M1 GARAND"":39,""BROWNING M1919"":6,""155MM HOWITZER [M114]"":2}"
"76561198021448017","(WTH) Voape","5","13","0.38","1","0.06","0.15","7","1","0","0","1191","17","{""Ж | Xan"":2,""Ж | Sciz"":2,""[OP] Madcap"":2,""Ж | R※ncon"":3,""Ж | Orangeblack"":2,""Ж | ♠ The_Fat_Egg"":1,""Ж Dyslexics※Untied"":1}","{""Ж | Xan"":1,""Ж | Sciz"":1,""Ж | GasMask"":1,""Ж | PiscisK"":1,""Ж | Sh(-)gun!"":1}","50","1545","600","840","{""M1 GARAND"":5}","{""MP40"":3,""GEWEHR 43"":6,""WALTHER P38"":1,""KARABINER 98K"":1,""M43 STIELHANDGRANATE"":2}"
"76561197966802712","Ж | Sh(-)gun!","24","45","0.53","5","0.28","0.53","11","0","0","0","524","31","{""(WTH) Nikelele"":1,""(WTH) Alf"":2,""(WTH) Voape"":1,""(wth) Trotche"":3,""(WTH) Hyzer Ψ"":1,""(WTH) Desper"":1,""(WTH) delete"":1,""(WTH) LazyPablo"":1,""(WTHr) Raptor uK™"":3,""(WTH) Dechadou"":1,""Data"":6,""(WTH) Slappy"":4,""(WTH) PIVOXX ❀"":1,""-TL- JVCK"":1,""(WTHr) era"":1,""(WTH) V!kkøxX"":1,""-TL- MACK"":1,""(WTHr) Fredsv"":3,""-TL- hippie"":1,""(WTH) ㋡ Crusaderxx ❀"":1,""(WTHr) EowlDay"":1,""(WTH) Nazbrock"":1,""(WTH) LwfiD"":1,""-TL- Ken"":1,""(WTH) gavrich"":2,""(WTH) oskar"":1,""(WTH)✨ Tourop ✨"":2,""Critical"":1}","{""(WTH) Nikelele"":1,""(WTH) Dorbian"":1,""(WTH) Alf"":3,""(wth) Trotche"":3,""(WTH) Hyzer Ψ"":1,""(WTH) Star Lord"":1,""(WTH) Dechadou"":1,""(WTHr) era"":2,""(WTH) V!kkøxX"":2,""(WTHr) Fredsv"":1,""-TL- hippie"":1,""(WTHr) EowlDay"":1,""(WTH) clover"":1,""(WTH) LwfiD"":1,""(WTH) GØBLYAXX ❀"":1,""(WTH) oskar"":2,""Critical"":1}","237","270","960","260","{""STG44"":7,""SATCHEL"":2,""KARABINER 98K"":15}","{""155MM HOWITZER [M114]"":2,""M1A1 THOMPSON"":1,""MK2 GRENADE"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":2,""M1903 SPRINGFIELD"":4,""BROWNING M1919"":4,""UNKNOWN"":1,""BOMBING RUN"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1,""Sherman M4A3E2(76)"":1,""M3 GREASE GUN"":1,""M1 CARBINE"":2,""M1 GARAND"":24}"
"76561198238629248","(WTH) Bhaskara","37","56","0.66","6","0.43","0.66","9","1","1","1","326","18","{""J-walk-"":2,""Ж | Rowdy"":2,""[OP] Madcap"":2,""Ж | ※ | ♠ kiebs"":4,""Ж | bones"":1,""ᄿ Rath"":5,""Ж | I※nS"":4,""Ж | Joe※450"":2,""Ж︎ | MuddBorne"":1,""Ж | Kalvus"":1,""Ж︎ | nes"":2,""Mongo"":2,""Ж|Gato-Rocket※"":7,""Ж | Whiskey"":3,""PopeVyn"":4,""BNN Sherby"":1,""Ж | Davako"":2,""Ж Dyslexics※Untied"":5,""SniperBoy"":4,""Hagrid"":2}","{""Ж | IKrIEaTiX"":1,""J-walk-"":1,""Ж | Rowdy"":3,""[OP] Madcap"":3,""Ж | ※ | ♠ kiebs"":1,""Ж | bones"":1,""Ж | zest Ψ"":1,""Ж | Orangeblack"":1,""Жr "":1,""ᄿ Rath"":2,""Ж | I※nS"":2,""Ж | Joe※450"":3,""bones simp"":8,""Ж | PiscisK"":3,""Ж | Kalvus"":1,""Ж | Tadiktor"":1,""PopeVyn"":1,""Ж | Davako"":3}","323","225","880","300","{""BAZOOKA"":3,""M1 GARAND"":21,""M1918A2 BAR"":12,""MK2 GRENADE"":1}","{""MG42"":5,""MP40"":2,""STG44"":10,""FG42 x4"":5,""GEWEHR 43"":20,""KARABINER 98K"":6,""KARABINER 98K x8"":1,""150MM HOWITZER [sFH 18]"":7}"
"76561199015693279","Ж | bones","17","75","0.23","2","0.2","0.88","12","0","1","1","175","23","{""(WTH) Nikelele"":4,""(WTH) Dorbian"":6,""(WTH) Alf"":5,""(WTH) Hyzer Ψ"":3,""(WTH) Guinness"":3,""(WTH) Desper"":4,""(WTH) delete"":2,""(wth) Lenny"":1,""(WTH) LazyPablo"":2,""(WTHr) Raptor uK™"":4,""(WTH) Dechadou"":1,""Data"":2,""(WTH) Slappy"":5,""(WTH) Conor"":2,""(WTH) PIVOXX ❀"":3,""-TL- JVCK"":2,""(WTHr) era"":2,""(WTH) ya boy"":6,""(WTHr) Fredsv"":1,""(WTH) ㋡ Crusaderxx ❀"":3,""(WTHr) EowlDay"":1,""(WTH) Bhaskara"":1,""(WTH) LwfiD"":3,""-TL- Ken"":1,""(WTH) gavrich"":4,""(WTH)✨ Tourop ✨"":4}","{""(WTH) Alf"":2,""(WTH) Hyzer Ψ"":2,""(WTH) Guinness"":2,""(WTH) delete"":2,""(wth) Lenny"":1,""(WTHr) Raptor uK™"":1,""(WTHr) era"":1,""(WTH) Jπ"":1,""(WTHr) EowlDay"":1,""(WTH) Bhaskara"":1,""(WTH) SRB_Hitman"":1,""(WTH) oskar"":2}","129","820","660","360","{""GEWEHR 43"":16,""M43 STIELHANDGRANATE"":1}","{""155MM HOWITZER [M114]"":4,""M1918A2 BAR"":3,""M1A1 THOMPSON"":1,""MK2 GRENADE"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3,""M1903 SPRINGFIELD"":4,""37MM CANNON [Stuart M5A1]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":11,""76MM M1 GUN [Sherman M4A3E2(76)]"":3,""HULL M1919 [Sherman M4A3(75)W]"":1,""M1 GARAND"":42}"
"76561198025267496","(WTH) Guinness","38","61","0.62","9","0.45","0.71","8","0","4","1","229","18","{""J-walk-"":4,""cidi Ж"":1,""Ж | ※ | ♠ kiebs"":2,""Ж | bones"":2,""=Ikea="":3,""Ж | Trots"":1,""Ж | ♠ The_Fat_Egg"":2,""Жr "":3,""ᄿ Rath"":2,""Ж | I※nS"":2,""Ж | Joe※450"":1,""=exel="":1,""Ж︎ | MuddBorne"":4,""bones simp"":1,""Ж | PiscisK"":1,""Ж | R※ncon"":1,""Ж | Kalvus"":1,""Ж | Sciz"":1,""σ Never"":1,""Ж | DJ"":3,""Mongo"":1,""WЖIDЖOЖW"":3,""Ж|Gato-Rocket※"":4,""Ж | Wes"":6,""PopeVyn"":1,""Ж | Ghostz"":1,""Ж Dyslexics※Untied"":1,""SniperBoy"":1,""Hagrid"":6}","{""J-walk-"":1,""Ж | ※ | ♠ kiebs"":1,""Ж | bones"":3,""Ж︎ | FenderGuy05"":1,""=Ikea="":1,""Ж | ♠ The_Fat_Egg"":1,""Ж | Orangeblack"":1,""Жr "":2,""ᄿ Rath"":1,""Ж | I※nS"":3,""=exel="":2,""Ж | R※ncon"":1,""Ж | Jalen Hurts Enjoyer"":1,""Ж | Kalvus"":1,""Ж | Tadiktor"":1,""σ Never"":2,""Ж | DJ"":2,""Mongo"":3,""WЖIDЖOЖW"":2,""Ж | Xan"":1,""Ж | Wes"":2,""PopeVyn"":2,""BNN Sherby"":1,""Ж Dyslexics※Untied"":1,""Hagrid"":1}","302","1328","1020","180","{""M1 GARAND"":34,""MK2 GRENADE"":4}","{""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""75MM CANNON [PAK 40]"":1,""STG44"":4,""GEWEHR 43"":26,""BOMBING RUN"":1,""150MM HOWITZER [sFH 18]"":4,""SATCHEL"":1,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":1,""MG42"":6,""KARABINER 98K"":7,""FG42 x4"":7,""MP40"":2}"
