"Player ID","Name","Kills","Deaths","K/D","Max kill streak","Kill(s) / minute","Death(s) / minute","Max death streak","Max TK streak","Death by TK","Death by TK Streak","(aprox.) Longest life min.","(aprox.) Shortest life secs.","Nemesis","Victim","Combat Effectiveness","Support Points","Defensive Points","Offensive Points","Weapons","Death by Weapons"
"76561199001480898","℧r | SchafSchütze","22","47","0.47","6","0.36","0.76","9","0","1","1","232","22","{""『V』iTz-NUCLEAR"":2,""『V』Milagre"":1,""-🆁- BELION ✞"":1,""-🆁- Salvador"":1,""ⒼЖ | Peace"":4,""『V』eckoroots"":1,""『V』 «† PINICO †»"":3,""『V』Sgt. Pobre"":2,""-🆁ec-Ruloo"":1,""-🆁-Fafa"":1,""-🆁- Arie"":2,""『Vr』Canta =BDB="":1,""『V』 T-rex"":2,""Ж | Bert"":2,""-🆁ec Chipamowgli"":1,""『V』Castaway"":6,""『V』MURF -fm-"":1,""Ж | Wix"":2,""Ж︎ | puck"":1,""Ж | Davako"":4,""『V』LUCIUSJULIUS"":1,""『V』 Mumm-Ra"":1,""MS | GAS"":1,""『V』SoldierMacedo"":1,""『V』Edward of Saints"":2,""『V』GATINHO"":2}","{""Ж | Sh(-)gun!"":2,""『V』Skyline:."":1,""ⒼЖ | Peace"":3,""= unknown"":1,""『V』eckoroots"":2,""『V』Sgt. Pobre"":1,""-🆁-Fafa"":1,""-🆁- Arie"":1,""『V』MURF -fm-"":1,""『V』Berlota"":1,""Ж︎ | puck"":3,""Ж | Davako"":2,""『V』Edward of Saints"":2,""『V』GATINHO"":1}","181","575","500","340","{""GEWEHR 43"":20,""KARABINER 98K"":2}","{""155MM HOWITZER [M114]"":6,""MK2 GRENADE"":2,""M1903 SPRINGFIELD"":1,""37MM CANNON [Stuart M5A1]"":2,""HULL M1919 [Sherman M4A3E2(76)]"":1,""BROWNING M1919"":3,""BOMBING RUN"":1,""M3 GREASE GUN"":1,""M6 37mm [M8 Greyhound]"":1,""M1 GARAND"":28,""COAXIAL M1919 [Stuart M5A1]"":1}"
"76561198359630884","℧r | Majooo","18","35","0.51","3","0.29","0.57","10","2","0","0","450","16","{""『Vr』Ross"":1,""『V』Milagre"":1,""『V』PingaComLimão"":3,""ⒼЖ | Peace"":1,""ᄿ Rath"":1,""= unknown"":1,""『V』 «† PINICO †»"":1,""『V』Sgt. Pobre"":1,""-🆁ec-Ruloo"":1,""『V』A Brazilian Noob"":1,""『V』Tracks_GT [CoBrA]"":1,""-🆁- Arie"":1,""-🆁- nacho"":4,""『V』 T-rex"":2,""Ж | Bert"":2,""-🆁ec Chipamowgli"":3,""『V』Castaway"":2,""『V』[CoBrA] VasH"":1,""Ж | Wix"":1,""-🆁-PECCI13"":2,""MS | GAS"":3,""『V』GATINHO"":1}","{""Ж | Sh(-)gun!"":1,""『V』Minessota"":1,""『V』Sorrentino"":1,""『V』Milagre"":1,""『V』PingaComLimão"":1,""-🆁- Salvador"":1,""ⒼЖ | Peace"":1,""ᄿ Rath"":1,""『V』Sgt. Pobre"":1,""『V』§Deagher"":1,""『V』Tracks_GT [CoBrA]"":1,""-🆁-Fafa"":1,""-🆁ec Chipamowgli"":1,""『V』[CoBrA] VasH"":1,""-🆁-PECCI13"":1,""MS | GAS"":1,""『V』 DrFritz"":1,""『V』SoldierMacedo"":1}","362","210","200","600","{""MP40"":3,""GEWEHR 43"":6,""KARABINER 98K"":6,""50mm KwK 39/1 [Sd.Kfz.234 Puma]"":3}","{""BAZOOKA"":1,""M1 GARAND"":27,""MK2 GRENADE"":1,""BROWNING M1919"":1,""M1903 SPRINGFIELD"":3,""155MM HOWITZER [M114]"":2}"
"76561198127408219","B4ttl3frog","29","40","0.72","4","0.47","0.65","9","0","2","1","332","26","{""『V』iTz-NUCLEAR"":1,""『V』Milagre"":1,""-🆁- Salvador"":1,""ᄿ Rath"":4,""= unknown"":1,""『V』eckoroots"":2,""『V』VonMack"":1,""『V』A Brazilian Noob"":2,""-🆁-Fafa"":3,""-🆁- Arie"":1,""Ж | Bert"":2,""『V』Castaway"":5,""『V』[CoBrA] VasH"":1,""『V』MURF -fm-"":1,""Ж | Wix"":2,""Ж | Davako"":6,""『V』LUCIUSJULIUS"":1,""MS | GAS"":3,""『V』Edward of Saints"":2}","{""『Vr』Ross"":1,""Ж | Sh(-)gun!"":2,""ⒼЖ | Peace"":1,""= unknown"":1,""『V』VonMack"":1,""『V』A Brazilian Noob"":2,""-🆁-Fafa"":1,""-🆁- Arie"":3,""『V』 T-rex"":1,""Ж | Bert"":4,""『V』MURF -fm-"":1,""Ж | Wix"":2,""Ж︎ | puck"":1,""Ж | Davako"":2,""-🆁- ryokodsp"":1,""MS | GAS"":2,""『V』GATINHO"":2,""Hagrid"":1}","250","165","500","300","{""STG44"":4,""SATCHEL"":2,""GEWEHR 43"":16,""KARABINER 98K"":5,""PANZERSCHRECK"":1,""M43 STIELHANDGRANATE"":1}","{""M1 GARAND"":28,""MK2 GRENADE"":2,""BROWNING M1919"":3,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":5,""COAXIAL M1919 [Sherman M4A3E2(76)]"":1}"
"76561198149177231","[CCP|IR] RisingValhalla","78","1","78","48","1.27","0.02","1","3","0","0","1928","1928","{""『V』iTz-NUCLEAR"":1}","{""『V』iTz-NUCLEAR"":3,""『Vr』Ross"":4,""Ж | Sh(-)gun!"":2,""『V』Sorrentino"":1,""『V』Skyline:."":2,""-🆁- Salvador"":1,""ᄿ Rath"":3,""= unknown"":7,""『V』VonMack"":1,""『V』Sgt. Pobre"":1,""『V』W3L1NT0N"":1,""-🆁ec-Ruloo"":1,""『V』§Deagher"":1,""『V』Tracks_GT [CoBrA]"":1,""-🆁-Fafa"":1,""-🆁- Arie"":1,""『Vr』Canta =BDB="":4,""『V』 T-rex"":1,""Ж | Bert"":2,""『V』PARDAL"":1,""『V』MURF -fm-"":1,""Ж | Wix"":5,""Ж︎ | puck"":6,""『V』ErikSala"":2,""Ж | Davako"":8,""-🆁- ryokodsp"":4,""『V』LUCIUSJULIUS"":1,""『V』 Mumm-Ra"":2,""-🆁-PECCI13"":3,""MS | GAS"":1,""『V』SoldierMacedo"":1,""『V』GATINHO"":1,""Hagrid"":4}","1173","5","980","240","{""COAXIAL MG34 [Sd.Kfz.181 Tiger 1]"":11,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":25,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":37,""COAXIAL MG34 [Sd.Kfz.161 Panzer IV]"":5}","{""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561198969208485","(WTH) Blue","2","8","0.25","1","0.03","0.13","5","0","1","1","1287","36","{""Hagrid"":2,""Ж | Wix"":1,""『V』Skyline:."":1,""『V』iTz-NUCLEAR"":3,""『Vr』Canta =BDB="":1}","{""Hagrid"":1,""Ж | Sh(-)gun!"":1}","374","150","980","100","{""FG42"":1,""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1}","{""M1 GARAND"":1,""57MM CANNON [M1 57mm]"":3,""75MM CANNON [Sherman M4A3(75)W]"":1,""COAXIAL M1919 [Sherman M4A3E2(76)]"":3}"
"76561198119806948","『V』 Mumm-Ra","8","8","1","3","0.13","0.13","3","0","1","1","1241","94","{""Meta.Phil"":1,""℧ | Nachttisch"":3,""℧ | HoneyPot ♀"":1,""[CCP|IR] RisingValhalla"":2,""[GR-3] | Spezialforcefigh"":1}","{""Meta.Phil"":2,""℧ | Hax"":1,""℧ | HoneyPot ♀"":2,""℧ | PhoenixKomet"":1,""(WTHr) ℧ | J4nnis"":1,""℧r | SchafSchütze"":1}","451","270","1020","80","{""M1 GARAND"":1,""HULL M1919 [Stuart M5A1]"":1,""HULL M1919 [Sherman M4A3E2(76)]"":6}","{""STG44"":1,""FG42 x4"":1,""75MM CANNON [PAK 40]"":1,""75MM CANNON [Sd.Kfz.161 Panzer IV]"":1,""88 KWK 36 L/56 [Sd.Kfz.181 Tiger 1]"":4}"
"76561197998502503","(WTHr) ℧ | J4nnis","47","47","1","7","0.76","0.76","10","2","2","1","242","16","{""Ж | Sh(-)gun!"":1,""『V』Milagre"":1,""『V』Skyline:."":2,""ⒼЖ | Peace"":3,""ᄿ Rath"":1,""= unknown"":4,""『V』eckoroots"":2,""『V』Sgt. Pobre"":1,""-🆁ec-Ruloo"":1,""『V』A Brazilian Noob"":2,""『V』Tracks_GT [CoBrA]"":1,""『Vr』O_Padre"":2,""-🆁-Fafa"":3,""Ж | Bert"":4,""『V』Castaway"":2,""『V』MURF -fm-"":1,""Ж | Wix"":2,""Ж | Davako"":2,""-🆁- ryokodsp"":1,""『V』LUCIUSJULIUS"":1,""『V』 Mumm-Ra"":1,""MS | GAS"":6,""『V』SoldierMacedo"":1,""Hagrid"":2}","{""Ж | Sh(-)gun!"":3,""『V』Milagre"":1,""ⒼЖ | Peace"":2,""ᄿ Rath"":1,""『V』VonMack"":2,""『V』Sgt. Pobre"":2,""『V』A Brazilian Noob"":1,""-🆁-Fafa"":4,""『V』 T-rex"":3,""Ж | Bert"":2,""『V』MURF -fm-"":2,""Ж | Wix"":4,""Ж︎ | puck"":3,""Ж | Davako"":6,""-🆁- ryokodsp"":1,""『V』LUCIUSJULIUS"":1,""MS | GAS"":1,""『V』 DrFritz"":3,""『V』Edward of Saints"":3,""Hagrid"":2}","380","1068","520","340","{""GEWEHR 43"":46,""M43 STIELHANDGRANATE"":1}","{""M1 GARAND"":36,""MK2 GRENADE"":1,""BROWNING M1919"":3,""M97 TRENCH GUN"":2,""M1903 SPRINGFIELD"":1,""155MM HOWITZER [M114]"":2,""HULL M1919 [Sherman M4A3E2(76)]"":1,""76MM M1 GUN [Sherman M4A3E2(76)]"":1}"
"76561199236163554","℧ | Axelschweis","38","24","1.58","8","0.62","0.39","5","0","0","0","508","25","{""『V』Skyline:."":1,""『V』PingaComLimão"":1,""-🆁- Salvador"":1,""ᄿ Rath"":1,""= unknown"":1,""『V』eckoroots"":1,""『V』A Brazilian Noob"":1,""『V』Tracks_GT [CoBrA]"":1,""-🆁- Arie"":1,""-🆁- nacho"":1,""-🆁ec Chipamowgli"":2,""『V』[CoBrA] VasH"":2,""Ж | Davako"":1,""『V』LUCIUSJULIUS"":1,""-🆁-PECCI13"":4,""MS | GAS"":1,""『V』Edward of Saints"":1,""『V』GATINHO"":2}","{""『Vr』Ross"":5,""『V』Milagre"":2,""『V』Skyline:."":1,""-🆁- BELION ✞"":1,""『V』PingaComLimão"":2,""-🆁- Salvador"":4,""ᄿ Rath"":1,""= unknown"":1,""『V』VonMack"":3,""『V』A Brazilian Noob"":2,""『V』Tracks_GT [CoBrA]"":1,""-🆁- Arie"":1,""-🆁- nacho"":2,""『V』 T-rex"":1,""-🆁ec Chipamowgli"":3,""『V』Berlota"":1,""-🆁-PECCI13"":1,""MS | GAS"":2,""『V』GATINHO"":4}","495","0","500","520","{""MG42"":35,""GEWEHR 43"":1,""GMC CCKW 353 (Supply)"":2}","{""BAZOOKA"":1,""M1 GARAND"":21,""M2 AP MINE"":1,""M1903 SPRINGFIELD"":1}"
"76561198044765246","『V』A Brazilian Noob","52","40","1.3","3","0.84","0.65","4","0","0","0","290","29","{""[GR-3] | Spezialforcefigh"":1,""Karl-Siegfried von Drachenfels"":3,""℧ | Nachttisch"":1,""Meta.Phil"":3,""℧ | Icarus"":4,""℧r | Forge is down"":1,""℧ | M!ke"":2,""℧ | Der Schredder"":2,""℧ | Rüsseltier"":6,""℧ | Bodinger"":1,""℧ | Axelschweis"":2,""(WTHr) ℧ | J4nnis"":1,""🅶 I|I Shifti"":2,""℧r | elBrügolo"":1,""℧r | L|J|S"":1,""℧ | RAGE.PANDA."":2,""B4ttl3frog"":2,""℧ | Freddy"":5}","{""[GR-3] | Spezialforcefigh"":1,""(WTH) Dorbian"":13,""℧  [DOG] Deltafox"":1,""Karl-Siegfried von Drachenfels"":2,""Meta.Phil"":1,""℧ | Icarus"":3,""℧ | PhoenixKomet"":2,""℧ | M!ke"":2,""🅶 I|I Kayle"":1,""℧ | Rüsseltier"":7,""(WTH) HoneyBadger"":1,""℧r | Majooo"":1,""℧ | Bodinger"":2,""℧ | Axelschweis"":1,""(WTHr) ℧ | J4nnis"":2,""🅶 I|I Shifti"":4,""℧r | L|J|S"":2,""B4ttl3frog"":2,""℧ | Freddy"":3,""℧r | ZuWild"":1}","351","653","600","300","{""M1 GARAND"":45,""MK2 GRENADE"":2,""M97 TRENCH GUN"":5}","{""HULL MG34 [Sd.Kfz.181 Tiger 1]"":1,""STG44"":2,""GEWEHR 43"":19,""PANZERSCHRECK"":1,""S-MINE"":1,""150MM HOWITZER [sFH 18]"":2,""M43 STIELHANDGRANATE"":1,""SATCHEL"":1,""MG42"":4,""20MM KWK 30 [Sd.Kfz.121 Luchs]"":1,""KARABINER 98K"":2,""FG42 x4"":4,""MP40"":1}"
"76561197960304905","℧ | nopo","49","46","1.07","8","0.8","0.75","7","0","0","0","320","18","{""『V』Skyline:."":1,""-🆁- BELION ✞"":3,""『V』PingaComLimão"":6,""『V』eckoroots"":1,""『V』Sgt. Pobre"":1,""-🆁ec-Ruloo"":3,""-🆁- Arie"":2,""-🆁- nacho"":5,""Ж | Bert"":2,""-🆁ec Chipamowgli"":13,""『V』[CoBrA] VasH"":2,""-🆁-PECCI13"":4,""『V』Edward of Saints"":3}","{""『V』Minessota"":3,""『V』Skyline:."":1,""-🆁- BELION ✞"":5,""『V』PingaComLimão"":4,""= unknown"":1,""『V』eckoroots"":1,""『V』W3L1NT0N"":1,""-🆁ec-Ruloo"":1,""-🆁- Arie"":6,""-🆁- nacho"":4,""-🆁ec Chipamowgli"":11,""『V』[CoBrA] VasH"":2,""Ж | Wix"":1,""『V』Berlota"":1,""Ж | Davako"":1,""-🆁-PECCI13"":2,""『V』Edward of Saints"":3,""Hagrid"":1}","323","808","440","440","{""GEWEHR 43"":47,""M43 STIELHANDGRANATE"":2}","{""M1 GARAND"":33,""MK2 GRENADE"":2,""BROWNING M1919"":4,""M97 TRENCH GUN"":1,""M1903 SPRINGFIELD"":6}"
